French	French	probability
ʒ	ð	1.0
ʁ_w	r_ˈɛ	1.0
ɲ	ɲ	1.0
ɛ_ʁ	ˈeə̯_r	1.0
ə_v	ɐ_v	1.0
ə	-	1.0
œ_ʁ	ˈou̯_r	1.0
z	z	1.0
w_a_#>	ˈɛ_#>	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l_a	ˈaː	1.0
k_l	ʧ	1.0
k	k	1.0
j_ɛ	ˈeː	1.0
i_ʁ	ˈi	1.0
f_#>	v_#>	1.0
f	f	1.0
d	d	1.0
b	b	1.0
a_ʁ_#>	#>	1.0
<#_ʁ	<#_r	1.0
<#_œ	<#_ˈɔə̯	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_s	1.0
<#_d	<#_d	1.0
v	v	0.92
t	t	0.842
ʁ	r	0.823
ɡ	ɡ	0.769
e_#>	ˈeə̯_#>	0.692
ʃ	k	0.667
ø	-	0.667
l	l	0.645
ɥ	ˈo	0.6
e	ˈeə̯	0.6
a_#>	#>	0.6
ɛ̃	ˈʌ̃	0.579
s	s	0.575
#>	ɐ_#>	0.575
j	-	0.474
o	ˈɛə̯_l	0.467
i	ˈi	0.452
ɔ	ˈɔə̯	0.45
œ	ˈɔə̯	0.429
ɔ̃	ˈõũ̯	0.417
ɥ	ˈɔ	0.4
e	-	0.4
a_#>	d_#>	0.4
ø	ˈu_ɡ	0.333
u	u	0.333
a	ɐ	0.333
s	θ	0.325
e_#>	#>	0.308
w	ˈeː	0.304
w	-	0.304
y	ˈu	0.3
y	-	0.3
œ	ˈou̯	0.286
œ	-	0.286
u	ˈo	0.278
ɔ̃	ˈo	0.25
ʃ	k_ɐ	0.238
ɡ	ʤ	0.231
l	j	0.226
ɛ	ˈɛ	0.209
ɔ	u	0.2
y	ˈou̯	0.2
y	ˈo	0.2
o	ˈɔ_s	0.2
o	ˈeə̯_l	0.2
ɑ̃	ˈʌ̃_n	0.176
ɑ̃	ˈʌ̃	0.176
ɑ̃	ˈɛ_n	0.176
w	ˈou̯	0.174
ɔ̃	n	0.167
ɔ̃	-	0.167
u	-	0.167
ɛ	-	0.163
i	ˈɛ	0.161
i	-	0.161
t	-	0.158
j	j	0.158
a	ˈa	0.154
ɔ	-	0.15
ɛ	ˈeə̯	0.14
o	ˈɔə̯	0.133
w	ˈi	0.13
ʁ	ɐ_r	0.129
ɑ̃	ˈʌ̃_ŋ	0.118
ɑ̃	ˈɛ	0.118
ɑ̃	ˈẽ_n	0.118
ɑ̃	ˈẽ	0.118
ɛ	ˈɛə̯	0.116
u	ˈou̯_t	0.111
u	ˈou̯	0.111
ɛ̃	ˈẽ_j̃	0.105
ɛ̃	ˈẽ	0.105
ɛ̃	ɲ	0.105
ɛ̃	-	0.105
j	ˈi	0.105
j	ɐ	0.105
j	j_ɐ	0.105
a	ˈʌ̃	0.103
a	-	0.103
ɔ	ˈou̯	0.1
ɔ	ˈo	0.1
s	-	0.1
i	i	0.097
ʃ	-	0.095
ɛ	ɐ	0.093
w	ˈɛ	0.087
v	ɐ	0.08
ɛ	ˈʌ̃	0.07
ɛ	ˈeː	0.07
#>	t_ɐ_#>	0.069
#>	n_t_#>	0.069
l	ɐ	0.065
l	u_l	0.065
i	ˈẽ	0.065
i	j_ˈɔə̯	0.065
#>	l_#>	0.057
#>	d_#>	0.057
j	ˈɛ̃	0.053
a	ˈeə̯	0.051
a	ɡ_ɐ	0.051
a	z	0.051
a	v_ˈa	0.051
a	d_ɐ	0.051
a	a	0.051
