Spanish	Spanish	probability
θ_ˈi	ˈi	1.0
θ_ˈe	ʃ_ə	1.0
β_o_#>	p_#>	1.0
β_e_#>	w_#>	1.0
β_a	β_ə	1.0
ˈu_ɾ	ˈu	1.0
ˈo_t	l_t	1.0
ˈo_n_#>	ˈo_#>	1.0
ˈi_ɾ_#>	ˈi_#>	1.0
ˈi_o	ˈi_w	1.0
ˈe_β	w	1.0
ˈe_ʧ	ˈi_t	1.0
ˈe_j	ˈi	1.0
ˈa_n	ˈa	1.0
ˈa	ˈa	1.0
ʝ_o_#>	ʎ_#>	1.0
ʝ_a	l_ə	1.0
ɾ_t	r_t	1.0
ɾ_o	ɾ_ə	1.0
ɾ_n	r_n	1.0
ɾ_k	r_k	1.0
ɾ_#>	#>	1.0
ɣ_o_#>	k_#>	1.0
ɡ_o_#>	#>	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
ð_ɾ	ɾ	1.0
x	ʎ	1.0
w_ˈe	ˈɔ	1.0
u	u	1.0
t_a	t_ə	1.0
t	t	1.0
s_#>	s_#>	1.0
r	r	1.0
p_o	s	1.0
p	p	1.0
o_#>	#>	1.0
n_t_o_#>	n_#>	1.0
n_t_e_#>	n_#>	1.0
n_o_#>	#>	1.0
n_#>	#>	1.0
l_#>	l_#>	1.0
k_o_#>	#>	1.0
k	k	1.0
f	f	1.0
b_ɾ_e_#>	#>	1.0
b_o	b_u	1.0
a_ð	ə_ð	1.0
<#_θ	<#_s	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_x	<#_ʒ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_u	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#_e	<#_ə	1.0
<#_a	<#_ə	1.0
<#	<#_f	1.0
m	m	0.974
a	ə	0.94
b	b	0.939
n	n	0.917
ˈu	ˈu	0.9
s	s	0.889
d	d	0.833
ɣ	ɣ	0.818
ɲ	ɲ	0.8
ˈi	ˈi	0.76
o	u	0.75
i	i	0.75
β	β	0.727
x_o_#>	ʎ_#>	0.714
l	l	0.708
#>	ə_#>	0.667
j_ˈe	ˈe	0.647
θ_#>	w_#>	0.6
ɾ	ɾ	0.593
θ	-	0.545
ð	ð	0.529
ʧ	t	0.5
ʧ	j_t	0.5
ʝ	ʒ	0.5
ʝ	ʎ	0.5
w	ˈɔ	0.5
w	w	0.5
ˈe	ˈɛ	0.49
ð	t	0.471
θ	s	0.455
ˈo	ˈo	0.455
j	-	0.455
ɟ͡ʝ	p_l	0.444
e	ə	0.429
e	-	0.405
θ_#>	#>	0.4
j	j	0.364
j_ˈe	ˈɛ	0.353
ɟ͡ʝ	ʒ	0.333
#>	l_#>	0.333
ˈo	ˈɔ	0.318
x_o_#>	#>	0.286
ˈe	ˈe	0.255
i	-	0.25
ɟ͡ʝ	k_l	0.222
ɾ	r	0.22
ɲ	-	0.2
β	-	0.182
ɣ	-	0.182
j	ˈɛ	0.182
l	-	0.167
d	-	0.167
ˈi	ˈe	0.16
ˈo	ˈu	0.159
o	-	0.15
l	ʎ	0.125
ˈu	-	0.1
o	ˈɔ	0.1
β	w	0.091
ɾ	-	0.085
n	-	0.083
ˈi	-	0.08
ˈe	ˈi	0.078
ˈe	w	0.078
e	ʒ_ə	0.071
ˈo	-	0.068
s	z	0.067
b	-	0.061
ˈe	-	0.059
