Scots	West Flemish	probability
b	b	1.0
d	t	0.524
d	d	0.396
d	-	0.052
e	-	0.635
e	w	0.365
f	v	0.794
f	f	0.206
h	-	0.841
h	ɦ	0.09
i	ə	1.0
iː	iə̯	1.0
j	ɦ	0.443
j	ˈu	0.198
j	ˈɛː	0.129
j	j	0.127
j	ˈiə̯	0.103
k	k	0.955
kʰ	k	0.923
kʰ	-	0.077
l	l	0.882
l	w	0.075
m	m	0.958
n	n	0.924
n	-	0.076
p	p	1.0
pʰ	p	1.0
r	ɾ	0.937
r	-	0.063
s	z	0.573
s	s	0.398
t	t	1.0
tʰ	t	0.953
v	v	1.0
w	ʋ	0.952
x	h	1.0
z	s	0.775
z	z	0.225
ð	-	0.521
ð	d	0.479
ŋ	ŋ	1.0
ə	-	0.703
ə	ə	0.278
əi̯	ə	0.662
əi̯	m	0.338
ɡ	ɦ	0.812
ɡ	-	0.149
ɪ	-	1.0
ɫ	w	0.748
ɫ	ə	0.252
ɹ	ˈi	1.0
ʃ	ʃ	0.733
ʃ	s	0.267
ʍ	ʋ	1.0
ʧ	k	1.0
ˈa	ˈɔ	1.0
ˈaːɪ̯	ˈœ	1.0
ˈe	ˈɒː	0.365
ˈe	ˈɛː	0.266
ˈe	ˈeː	0.113
ˈe	ˈæ	0.069
ˈe	ˈiə̯	0.065
ˈe	ˈɑ	0.052
ˈei̯	ˈoː	0.611
ˈei̯	ˈeː	0.119
ˈei̯	ˈiə̯	0.106
ˈei̯	ə	0.075
ˈei̯	w	0.059
ˈeː	ˈɒː	0.307
ˈeː	ˈɛ	0.233
ˈeː	ˈuə̯	0.164
ˈeː	ˈeː	0.148
ˈeː	ˈɑ	0.148
ˈi	ˈoː	0.27
ˈi	ˈæ	0.27
ˈi	ˈɛː	0.219
ˈi	ˈiə̯	0.166
ˈi	ˈuə̯	0.075
ˈiː	ˈiə̯	0.467
ˈiː	ˈoː	0.163
ˈiː	ˈuə̯	0.117
ˈiː	ˈɒː	0.113
ˈiː	ˈi	0.077
ˈø	ˈuə̯	0.561
ˈø	ˈɑ	0.152
ˈø	ˈɒː	0.132
ˈø	ˈiə̯	0.078
ˈø	ˈøː	0.078
ˈɑ	ˈɑ	0.808
ˈɑ	ˈɛ	0.144
ˈɑː	ˈɑ	0.549
ˈɑː	ˈu	0.159
ˈɑː	w	0.12
ˈɑː	ə	0.072
ˈɑː	l	0.052
ˈɔ	ˈoː	0.427
ˈɔ	ˈɔ	0.317
ˈɔ	ˈøː	0.136
ˈɔ	ˈu	0.098
ˈəi̯	ˈi	0.364
ˈəi̯	ˈɪ	0.235
ˈəi̯	ˈiə̯	0.129
ˈəi̯	ˈeː	0.111
ˈəi̯	ˈɛ	0.059
ˈəi̯	ˈæ	0.052
ˈɛ	ˈæ	0.342
ˈɛ	ˈiə̯	0.22
ˈɛ	ˈɒː	0.145
ˈɛ	ˈeː	0.129
ˈɛ	ˈɑ	0.081
ˈɪ	ˈɪ	0.412
ˈɪ	ˈæ	0.094
ˈɪ	ˈɑ	0.081
ˈɪ	ˈuə̯	0.075
ˈɪ	ˈœ	0.061
ˈɪ	-	0.058
ˈɪ	ˈɛ	0.057
ˈʉ	ˈyː	0.295
ˈʉ	ʋ	0.272
ˈʉ	ˈu	0.209
ˈʉ	ˈœ	0.06
ˈʉː	ˈyː	1.0
ˈʌ	ˈɔ	0.304
ˈʌ	ˈɛː	0.198
ˈʌ	ˈu	0.183
ˈʌ	ˈoː	0.127
ˈʌ	ˈœ	0.117
ˈʌ	ˈæ	0.072
ˈʌʉ̯	ˈu	0.359
ˈʌʉ̯	ˈoː	0.292
ˈʌʉ̯	w	0.217
ˈʌʉ̯	ˈiə̯	0.132
θ	d	0.664
θ	n_t	0.184
θ	t	0.152
