West Flemish	Ripuarian	probability
b	b	1.0
d	d	0.765
d	-	0.13
d	t	0.054
d	k	0.047
f	f	0.693
f	p	0.278
h	ɕ	0.394
h	x	0.371
h	-	0.202
j	j	0.488
k	k	0.629
k	ɕ	0.185
k	x	0.068
k	h	0.062
k	-	0.053
l	l	1.0
m	m	1.0
n	n	0.515
n	ə	0.304
n	ŋ	0.141
n	-	0.038
p	p	0.611
p	f	0.377
s	ʃ	0.538
s	s	0.423
s	z	0.037
t	t	0.4
t	-	0.169
t	ʦ	0.158
t	s	0.145
t	k	0.119
v	f	0.843
v	v	0.156
w	l	0.758
w	-	0.18
z	z	0.774
z	ʃ	0.18
z	-	0.048
ç	ɕ	0.488
ŋ	ŋ	1.0
ə	-	0.866
ə	ə	0.103
ə	ɪ	0.032
ɦ	j	0.492
ɦ	-	0.173
ɦ	ɣ	0.159
ɦ	x	0.072
ɦ	ɕ	0.072
ɦ_ə	k	1.0
ɪ	ɪ	1.0
ɾ	ɐ	0.542
ɾ	ʀ	0.37
ɾ	-	0.083
ɾ_t	ʦ	0.784
ɾ_t	t	0.123
ʃ	ʃ	1.0
ʋ	ʋ	0.801
ʋ	-	0.142
ʋ	v	0.05
ˈeː	ˈɛ	0.367
ˈeː	ˈɛː	0.32
ˈeː	ˈɪ	0.096
ˈeː	ˈʏ	0.093
ˈeː	ˈeː	0.073
ˈi	ˈiː	0.593
ˈi	ˈeɪ̯	0.176
ˈi	ˈɪ	0.113
ˈi	ˈɛ	0.076
ˈiə̯	ˈeː	0.415
ˈiə̯	ˈiː	0.186
ˈiə̯	ˈyː	0.096
ˈiə̯	ˈeɪ̯	0.081
ˈiə̯	ˈɔʏ̯	0.055
ˈoː	ˈuː	0.312
ˈoː	ˈɔ	0.182
ˈoː	ˈoː	0.168
ˈoː	ˈyː	0.132
ˈoː	ˈʏ	0.115
ˈoː_ɾ	ˈoː	1.0
ˈu	ˈa_l	0.347
ˈu	ˈo	0.32
ˈu	ˈuː	0.125
ˈu	ˈaʊ̯	0.093
ˈu	ˈɔ	0.09
ˈuə̯	ˈoː	0.719
ˈuə̯	ˈøː	0.271
ˈyː	ˈuː	0.336
ˈyː	ˈʏ	0.193
ˈyː	ˈiː	0.193
ˈyː	ˈyː	0.13
ˈyː	ˈaʊ̯	0.087
ˈæ	ˈɛː	0.509
ˈæ	ˈɛ	0.223
ˈæ	ˈe	0.111
ˈæ	ˈiː	0.084
ˈæ	ˈɪ	0.062
ˈøː	ˈaː	0.5
ˈøː	ˈu	0.5
ˈœ	ˈœ	0.428
ˈœ	ˈɔ	0.149
ˈœ	ˈo	0.117
ˈœ	ˈɛ	0.117
ˈœ	ˈeː	0.079
ˈɑ	ˈa	0.531
ˈɑ	ˈaː	0.353
ˈɑ	ˈɛ	0.11
ˈɒː	ˈoː	0.393
ˈɒː	ˈaː	0.221
ˈɒː	ˈɛː	0.173
ˈɒː	ˈɔ	0.074
ˈɒː	ˈa	0.074
ˈɔ	ˈɔ	0.531
ˈɔ	ˈaʊ̯	0.117
ˈɔ	ˈo	0.089
ˈɔ	ˈɛ	0.087
ˈɔ	ˈa	0.084
ˈɛ	ˈɛ	0.351
ˈɛ	ˈe	0.245
ˈɛ	ˈaː	0.113
ˈɛ	ˈiː	0.113
ˈɛ	ˈɪ	0.113
ˈɛː	ˈeː	0.57
ˈɛː	ˈiː	0.22
ˈɛː	ˈɛː	0.126
ˈɛː	ˈeɪ̯	0.065
ˈɪ	ˈɪ	0.416
ˈɪ	ˈe	0.225
ˈɪ	ˈa	0.145
ˈɪ	ˈœ	0.072
ˈʏ	ˈœ	0.488
