West Flemish	Ripuarian	probability
b	b	0.97
d	d	0.877
d	-	0.072
f	f	0.887
f	v	0.072
h	-	0.434
h	ɕ	0.434
h	x	0.131
iə̯	e	1.0
j	j	1.0
k	k	0.692
k	ɕ	0.241
l	l	1.0
m	m	0.853
m	n	0.147
n	n	0.419
n	ə	0.328
n	ŋ	0.212
p	f	0.71
p	p	0.29
s	ʃ	0.477
s	s	0.474
t	t	0.32
t	s	0.291
t	ʦ	0.157
t	k	0.151
t	l_t	0.06
v	f	0.77
v	v	0.201
w	l	0.955
z	z	0.835
z	ʃ	0.064
z	h	0.063
ç	ɕ	1.0
ŋ	ŋ	1.0
ə	-	0.594
ə	ə	0.374
ɦ	j	0.516
ɦ	-	0.312
ɦ	k	0.085
ɦ	ɣ	0.083
ɪ	ɪ	1.0
ɾ	ɐ	0.561
ɾ	ʀ	0.385
ɾ	-	0.054
ʃ	ʃ	1.0
ʋ	ʋ	0.835
ʋ	-	0.149
ˈeː	ˈɛ	0.292
ˈeː	ˈɛː	0.259
ˈeː	ˈiː	0.254
ˈeː	ˈɪ	0.085
ˈeː	ˈeː	0.062
ˈi	ˈɪ	0.384
ˈi	ˈiː	0.296
ˈi	ˈyː	0.136
ˈi	ˈe	0.089
ˈi	ˈɛ	0.061
ˈiə̯	ˈeː	0.448
ˈiə̯	ˈiː	0.22
ˈiə̯	ˈyː	0.103
ˈoː	ˈoː	0.3
ˈoː	ˈuː	0.18
ˈoː	ˈyː	0.165
ˈoː	ˈɔ	0.152
ˈoː	ˈʏ	0.095
ˈu	ˈo	0.603
ˈu	ˈa	0.15
ˈu	ˈaʊ̯	0.141
ˈu	ˈuː	0.063
ˈuə̯	ˈoː	0.657
ˈuə̯	ˈøː	0.343
ˈyː	ˈuː	0.661
ˈyː	ˈyː	0.123
ˈyː	ˈaʊ̯	0.072
ˈyː	ˈʏ	0.072
ˈyː	ˈiː	0.072
ˈæ	ˈɛː	0.355
ˈæ	h_ˈɛ	0.23
ˈæ	ˈɛ	0.166
ˈæ	ˈiː	0.134
ˈæ	ˈøː	0.086
ˈøː	ˈoː	0.325
ˈøː	ˈyː	0.179
ˈøː	ˈo	0.169
ˈøː	ˈoʊ̯	0.169
ˈøː	ˈaː	0.159
ˈœ	ˈœ	0.546
ˈœ	ˈɔ	0.216
ˈœ	ˈeː	0.124
ˈœ	ˈo	0.062
ˈœ	ˈɛ	0.051
ˈɑ	ˈa	0.784
ˈɑ	ˈaː	0.153
ˈɑ	ˈɛ	0.062
ˈɒː	ˈoː	0.483
ˈɒː	ˈaː	0.174
ˈɒː	ˈɛː	0.171
ˈɒː	ˈa	0.109
ˈɔ	ˈɔ	0.552
ˈɔ	-	0.138
ˈɔ	ˈa	0.076
ˈɔ	ˈʊ	0.076
ˈɔ	ˈɛ	0.074
ˈɔ	ˈu	0.056
ˈɛ	ˈe	0.326
ˈɛ	ˈɛ	0.237
ˈɛ	ˈiː	0.181
ˈɛ	ˈɪ	0.181
ˈɛ	ˈaː	0.075
ˈɛː	ˈeː	0.566
ˈɛː	ˈu	0.186
ˈɛː	ˈiː	0.117
ˈɛː	ˈɛː	0.08
ˈɛː	ˈeɪ̯	0.052
ˈɪ	ˈe	0.501
ˈɪ	ˈɪ	0.369
ˈɪ	ˈa	0.089
