Luxembourgish	Luxembourgish	probability
ˈʊ	ˈʊː	1.0
ˈɛ	ˈe	1.0
ˈɔ	ˈu	1.0
ˈæːʊ̯	ˈyː	1.0
ˈæ	-	1.0
ˈuː	-	1.0
ˈuə̯	ˈɒː	1.0
ˈiː_ɐ	ʁ	1.0
ˈi	-	1.0
ˈe_ŋ	ˈiː_n	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ʀ_#>	ʁ_n_#>	1.0
ʀ	ʁ	1.0
ɡ	ɡ̊	1.0
ə_ɕ	i	1.0
ə_n	ə	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
z	s	1.0
v̥	b̥	1.0
v	ʋ	1.0
tʰ	t	1.0
t	t	1.0
s	s	1.0
n_ʃ	n_ʃ	1.0
m	m	1.0
l_ə	l	1.0
kʰ	kʰ	1.0
k	k	1.0
h	h	1.0
f	f	1.0
e	eː	1.0
d̥_#>	#>	1.0
d_ʀ	t_ʁ	1.0
b	b̥	1.0
<#_ʀ	<#_ʁ	1.0
l	l	0.947
d	d̥	0.864
ˈəʊ̯	ˈoː	0.8
n	n	0.788
ˈɑʊ̯	ˈyː	0.75
ˈoː	ˈoː	0.714
χ	x	0.667
ˈiə̯	-	0.667
ˈe	ˈu	0.667
p	-	0.667
ˈɑɪ̯	ˈiː	0.625
ˈo	ˈu	0.615
ˈə	ˈi	0.6
ˈeː	ˈəi̯	0.6
ɕ	ʃ	0.6
w	ʋ	0.6
ɐ	ə_ʁ	0.562
ˈaː	ˈɒ	0.538
ˈɑ	ˈi	0.526
d̥	t	0.526
ˈɑ	ˈɒ	0.474
d̥	d̥	0.474
ˈæːɪ̯	ˈiː	0.444
ɐ	ʁ	0.438
ˈiː	ˈiː	0.429
ə	-	0.417
w	w	0.4
ˈo	ˈo	0.385
ˈɜɪ̯	ˈiː	0.375
ˈɑɪ̯	-	0.375
χ	ʃ	0.333
ˈæːɪ̯	ˈi	0.333
ˈu	ˈʊː	0.333
ˈiə̯	ˈe	0.333
ˈe	ˈi	0.333
p	p	0.333
ˈɜɪ̯	ˈeː	0.312
ˈoː	ˈaː_ʋ	0.286
ˈiː	ˈi	0.286
ˈiː	ˈeː	0.286
ˈə	ˈe	0.267
ˈɑʊ̯	ˈøi̯	0.25
ə	j	0.25
ə	i	0.25
ˈaː	ˈɒː	0.231
ˈæːɪ̯	ˈei̯	0.222
ˈu	ˈɒ	0.222
ˈu	ˈu	0.222
ˈu	-	0.222
ˈəʊ̯	-	0.2
ˈeː	-	0.2
ɕ	x	0.2
ɕ	-	0.2
ˈɜɪ̯	-	0.188
ˈaː	ˈʊː	0.154
d	t	0.136
ˈə	ˈu	0.133
ˈeː	ˈei̯	0.133
ˈɜɪ̯	ˈæː	0.125
n	n_d̥	0.096
ə	e	0.083
ˈaː	ˈo	0.077
n	ə	0.077
ˈeː	ˈai̯	0.067
l	l_t	0.053
