East Low German	Limburgish	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_v	1.0
<#_h	<#_ɦ	1.0
<#_kʰ	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_r	<#_ʀ	1.0
<#_tʰ	<#_t	1.0
<#_v	<#_β	1.0
<#_z	<#_z	1.0
<#_ɡ	<#_ɣ	1.0
<#_ʃ_w	z_β	1.0
<#_ˈae̯	<#_ˈɛː	1.0
<#_ˈuː	<#_ˈuː	1.0
d	j	1.0
d_#>	d̥_#>	1.0
k	x	1.0
k_n	k_ə	1.0
l_#>	l_#>	1.0
n_ɪ	n_ɪ	1.0
r	ʀ	1.0
s	s_#>	1.0
s_t	ʀ_s	1.0
t_#>	j_#>	1.0
v	β	1.0
x	x	1.0
x_t	x	1.0
æ_#>	ʀ_#>	1.0
ɡ	ɣ_ə	1.0
ɪ_ç	ə_x	1.0
ɾ	j_ə	1.0
ʃ_#>	s_#>	1.0
ˈa_n	ˈɑː_n	1.0
ˈa_t	ˈɑ_t	1.0
ˈae̯_#>	ˈi_#>	1.0
ˈae̯_t	ˈɛː_t	1.0
ˈeː	ˈi	1.0
ˈiː	ˈiː	1.0
ˈiː_æ	ˈeː_ʀ	1.0
ˈoː	ˈɒː	1.0
ˈuː_æ	ˈʊː_ʀ	1.0
ˈyː_æ	ˈyː_ʀ	1.0
ˈɔʏ̯	ˈøː	1.0
ˈɛː	ˈeː	1.0
ˈʏ	ˈʏː	1.0
ˈʏ_ç	ˈœ_k	1.0
<#_ʃ	<#_ʃ	0.471
n_#>	ə_#>	0.581
k_#>	ɡ̊_#>	0.182
ç	ŋ_#>	0.2
ˈae̯	ˈeː	0.562
ˈuː	ˈuː	0.692
ˈɪ	ˈɪ	0.192
f_#>	f_#>	0.333
m_#>	ə_m	0.333
t	t_ə	0.093
ˈɪ	ˈɪː	0.423
<#_j	<#_ɣ	0.714
n	n	0.864
p	p	0.364
ˈa	ˈɑ	0.4
ˈɔ	ˈɔ	0.714
ˈɛ	ˈeː	0.714
ˈɪ	ˈɛ	0.154
<#_ˈa	<#_ˈɑ	0.5
<#_ˈa	<#_ˈɑː	0.5
l	-	0.115
l	l	0.615
m	m_ə	0.25
m	v_ə	0.25
m	m	0.5
ŋ	ŋ_#>	0.125
ŋ	ɡ_ə	0.125
ŋ	ŋ	0.375
ˈaʊ̯	ˈaː_j	0.095
ˈaː	ʀ	0.25
ˈaː	ə	0.25
ˈaː	ˈaː	0.25
ˈaː	ˈɑ	0.25
ˈœː	ˈʊː	0.5
ˈœː	ˈøː	0.5
ˈɒː	ˈaː	0.235
ˈɪ	ˈeː	0.115
ˈɪ	ˈɛː	0.115
ˈʊ	ˈɔ	0.455
ˈʊ	ˈʊː	0.545
<#_j	<#_j	0.286
n	n_ə	0.136
p	p_#>	0.636
t	d̥	0.256
t	t_#>	0.256
æ	ʀ	0.286
æ	ʀ_#>	0.286
ˈa	ˈaː	0.6
ˈaʊ̯	ˈʊː	0.286
ˈɔ	ˈoː	0.286
ˈɛ	ˈɛ	0.286
f_#>	v̥_#>	0.667
m_#>	ə	0.667
t	-	0.07
k_#>	k_#>	0.818
ç	x_#>	0.8
ŋ	ɣ_ə	0.188
ŋ	ŋ_ə	0.188
ˈae̯	ˈɛː	0.438
ˈaʊ̯	ˈu	0.238
ˈuː	ˈɔu̯	0.308
ˈɒː	ˈʊː	0.118
ˈɒː	ˈoː	0.118
<#_ʃ	<#_s	0.529
l	l_ə	0.269
n_#>	n_#>	0.419
t	t	0.279
æ	ʀ_ə	0.429
ˈaʊ̯	ˈɔː	0.19
ˈaʊ̯	ˈoː	0.19
ˈɒː	ˈɒː	0.529
