Polish	Slovak	probability
a	a	1.0
b	b	1.0
d	d	1.0
f	ʋ	1.0
i	iː	1.0
m	m	1.0
n	n	1.0
r	r	1.0
s	s	1.0
t	t	1.0
x	x	1.0
z	z	1.0
ɕ	s	1.0
ɡ	ɦ	1.0
ɲ	ɲ	1.0
ʑ	z	1.0
ʥ	ɟ	1.0
ʦ	ʦ	1.0
ʨ	c	1.0
ˈɨ	ˈi	1.0
w	l	0.191
ɔ	ɔ	0.921
ʈ͡ʂ	ʧ	0.621
ˈu	ˈa	0.141
ˈɛ	ɪ̯ˈɛ	0.111
ɨ	i	0.282
ˈi	ˈi	0.702
ˈɔ	ˈa	0.182
l	l	0.493
v	v	0.33
ʂ	ʃ	0.803
ˈɔ	ˈɔ	0.433
k	x	0.094
ˈa	ˈɛ	0.194
ˈɛ	ˈæ	0.074
j	ɔ	0.265
ʐ	ʒ	0.255
ʐ	r	0.745
j	j	0.26
j	-	0.476
k	k	0.906
p	p	0.976
ɛ	a	0.066
ˈu	ˈɔ	0.456
ˈɔ	ʊ̯ˈɔ	0.146
v	ʋ	0.67
ɛ	ɪ̯ɛ	0.157
ɛ	ɛ	0.777
ʂ	r	0.197
ˈa	ˈa	0.197
ˈu	-	0.087
ˈu	ˈuː	0.227
ˈɔ	ˈu	0.057
ˈɛ	ˈa	0.197
l	ʎ	0.348
w	ɫ	0.68
ɨ	iː	0.718
ˈa	ɪ̯ˈɛ	0.38
ˈi	-	0.298
ˈɛ	ˈɛ	0.618
l	ɫ	0.159
w	ˈɫ̩	0.129
ɔ	ˈɔ	0.079
ʈ͡ʂ	c	0.379
ˈa	-	0.199
ˈu	ˈu	0.089
ˈɔ	-	0.089
