Ladin	Spanish	probability
a	a	0.946
b	b	0.757
b	β	0.119
b	k	0.064
b	-	0.06
d	ð	0.451
d	d	0.331
d	-	0.179
e	e	0.289
e	-	0.185
e	ˈe	0.147
e	a	0.1
e	ɾ	0.075
e	o	0.072
e	j	0.063
f	f	0.543
f	β	0.153
f	β_o	0.147
f	θ	0.114
i	i	0.435
i	u	0.175
i	e	0.112
i	-	0.11
i	ˈe	0.11
i	o	0.058
j	j	0.339
j	-	0.338
j	ɾ	0.11
j	e	0.079
j	ɣ	0.064
k	k	0.84
k	ɣ_o	0.15
l	l	0.571
l	-	0.116
l	ʝ	0.114
l	ʝ_o	0.082
l	l_o	0.065
m	m	0.932
m	-	0.062
n	n	0.911
n	-	0.05
o	o	0.598
o	ˈe	0.136
o	-	0.124
o	e	0.055
p	p	0.954
r	ɾ	0.688
r	ɾ_o	0.141
r	r	0.095
r	ð_ɾ	0.065
s	s	0.77
s	x	0.054
s	θ	0.054
t	t	0.38
t	ʧ	0.164
t	ð	0.158
t	ð_o	0.102
t	t_o	0.099
t	-	0.068
u	u	0.543
u	e	0.295
u	-	0.163
v	b	0.569
v	β	0.285
v	p	0.06
w	w	0.417
w	-	0.18
w	β	0.107
w	ɾ	0.087
w	l	0.076
w	ˈo	0.066
w	ˈu	0.066
z	s	1.0
ŋ	ŋ	0.922
ŋ	ɲ	0.078
ɡ	ɡ	0.561
ɡ	ɣ	0.377
ɲ	ɲ_o	0.47
ɲ	ɲ	0.458
ɲ	b	0.071
ʃ	θ	0.434
ʃ	s	0.429
ʃ	-	0.118
ʒ	θ	0.4
ʒ	x	0.262
ʒ	ɟ͡ʝ	0.153
ʒ	-	0.126
ʤ	-	1.0
ʥ	-	0.55
ʥ	k	0.29
ʥ	ɡ	0.083
ʥ	x	0.078
ʦ	θ	0.87
ʦ	ʝ	0.13
ʧ	θ	0.893
ʧ	-	0.072
ʨ	k	0.804
ʨ	θ	0.157
ˈa	ˈa	0.915
ˈe	ˈe	0.574
ˈe	ˈa	0.206
ˈe	ˈi	0.084
ˈe	-	0.074
ˈi	ˈi	0.773
ˈi	j	0.175
ˈo	ˈo	0.65
ˈo	ˈu	0.163
ˈo	ˈe	0.052
ˈo	w	0.052
ˈu	ˈu	0.655
ˈu	o	0.142
ˈu	ˈo	0.13
ˈɔ	w	0.617
ˈɔ	ˈo	0.201
ˈɔ	o	0.136
ˈɛ	ˈe	0.305
ˈɛ	j	0.297
ˈɛ	ˈa	0.256
