Icelandic	American English	probability
a	-	0.332
a	ɚ	0.255
a	oʊ̯	0.213
a	ˈɪ	0.194
b̥	b	0.92
c	ʧ	0.502
c	-	0.283
c	k	0.215
cʰ	ʧ	1.0
d̥	d	0.946
d̥	-	0.054
f	f	0.988
h	h	1.0
i	ɪ	1.0
j	ˈɛ	0.446
j	-	0.348
j	ˈaɪ̯	0.137
k	k	0.819
k	ʧ	0.181
kʰ	kʰ	1.0
l	l	0.606
l	ɫ	0.326
l	-	0.068
l̥	ɫ	0.647
l̥	l	0.259
l̥	-	0.094
m	m	0.916
n	n	0.946
nː	n	0.529
nː	θ	0.322
nː	ð	0.149
n̥	n	0.452
n̥	-	0.239
n̥	m	0.155
n̥	ɚ	0.154
p	p	0.756
p	-	0.141
p	v	0.104
r	ɹ	0.841
r	-	0.117
rː̥	ˈaɪ̯	1.0
r̥	-	0.833
r̥	ɚ	0.122
s	s	0.907
sː	s	1.0
t	t	0.748
t	-	0.252
tʰ	tʰ	1.0
u	ˈu	0.518
u	i	0.241
u	ˈɛ	0.241
v	w	0.506
v	v	0.312
v	-	0.15
x	-	1.0
ç	h	0.97
ð	d	0.72
ð	-	0.15
ð	ð	0.089
ŋ	ŋ	0.83
ŋ	n	0.088
ŋ	-	0.083
ɑu̯	i	1.0
ɛ	ˈɛ	1.0
ɛː	i	1.0
ɟ̊	ɡ	0.671
ɟ̊	-	0.329
ɟ̊ː	ʤ	1.0
ɡ̊	-	0.715
ɡ̊	ɡ	0.233
ɡ̊	f	0.053
ɡ̊ː	ɡ	0.671
ɡ̊ː	ʤ	0.329
ɣ	-	0.976
ɪ	ɚ	0.784
ɪ	-	0.192
ɲ	ŋ	1.0
ʏ	-	0.927
ʰk	ŋ_k	0.542
ʰk	k	0.458
ʰp	p	1.0
ʰt	t	0.695
ʰt	ɾ	0.225
ʰt	-	0.08
ˈa	ˈɑ	0.42
ˈa	ˈæ	0.309
ˈa	ˈɔ	0.13
ˈa	ˈʌ	0.05
ˈai̯	w	0.433
ˈai̯	ˈɛ	0.386
ˈai̯	ˈi	0.181
ˈaː	ˈeɪ̯	0.385
ˈaː	ˈæ	0.303
ˈaː	ˈi	0.118
ˈaː	j	0.103
ˈaː	ˈɑ	0.058
ˈaːi̯	ˈi	0.371
ˈaːi̯	ˈɛ	0.305
ˈaːi̯	ˈæ	0.175
ˈaːi̯	ˈu	0.149
ˈaːu̯	ˈoʊ̯	0.654
ˈaːu̯	ˈeɪ̯	0.346
ˈeːi̯	ˈi	0.714
ˈeːi̯	ˈoʊ̯	0.286
ˈi	ˈɪ	0.911
ˈi	ˈoʊ̯	0.089
ˈiː	ˈi	0.414
ˈiː	ˈaɪ̯	0.386
ˈiː	ˈɪ	0.089
ˈiː	ˈu	0.067
ˈou̯	ˈɪ	0.417
ˈou̯	ˈoʊ̯	0.392
ˈou̯	w	0.192
ˈoːu̯	-	0.509
ˈoːu̯	ˈu	0.151
ˈoːu̯	ˈʌ	0.125
ˈoːu̯	ˈɔ	0.106
ˈoːu̯	ˈʊ	0.08
ˈu	ˈʌ	0.677
ˈu	w	0.122
ˈu	ˈʊ	0.106
ˈu	ˈɪ	0.095
ˈuː	ˈaʊ̯	0.573
ˈuː	ˈi	0.254
ˈuː	ˈaɪ̯	0.172
ˈœ	ɚ	0.576
ˈœ	ˈu	0.206
ˈœ	ˈæ	0.106
ˈœ	ˈɝ	0.075
ˈœy̯	ˈɛ	1.0
ˈœː	ə	0.655
ˈœː	ˈu	0.229
ˈœː	ˈɛ	0.116
ˈœːy̯	ˈi	0.601
ˈœːy̯	ˈɛ	0.309
ˈœːy̯	ˈaɪ̯	0.091
ˈɑu̯	ˈɑ	0.69
ˈɑu̯	ˈaɪ̯	0.118
ˈɑu̯	ˈæ	0.118
ˈɑu̯	ˈeɪ̯	0.074
ˈɑːu̯	ˈi	0.325
ˈɑːu̯	ˈɛ	0.217
ˈɑːu̯	ˈu	0.182
ˈɑːu̯	j	0.127
ˈɑːu̯	ˈaɪ̯	0.115
ˈɔ	ˈɔ	0.546
ˈɔ	w	0.325
ˈɔ	ˈʌ	0.104
ˈɔu̯	ˈɪ	0.448
ˈɔu̯	ˈaɪ̯	0.26
ˈɔu̯	ˈu	0.146
ˈɔu̯	ˈɑ	0.146
ˈɔː	l	0.553
ˈɔː	ˈʌ	0.447
ˈɛ	ˈɛ	0.384
ˈɛ	ˈɔ	0.164
ˈɛ	ˈæ	0.161
ˈɛ	ˈi	0.126
ˈɛ	ˈɪ	0.055
ˈɛi̯	ˈoʊ̯	1.0
ˈɛː	ˈi	0.362
ˈɛː	-	0.255
ˈɛː	ˈɛ	0.157
ˈɛː	ˈeɪ̯	0.135
ˈɛː	ˈoʊ̯	0.091
ˈɛːi̯	ˈoʊ̯	0.393
ˈɛːi̯	ˈi	0.283
ˈɛːi̯	ˈeɪ̯	0.27
ˈɛːi̯	ˈɑ	0.054
ˈɪ	ˈɪ	0.385
ˈɪ	ˈaɪ̯	0.253
ˈɪ	ˈɔ	0.156
ˈɪ	ˈɝ	0.156
ˈɪː	ˈɪ	0.807
ˈɪː	ˈi	0.193
ˈʏ	ˈaʊ̯	0.464
ˈʏ	ˈɪ	0.306
ˈʏ	ɹ	0.122
ˈʏ	ˈʌ	0.108
ˈʏː	ˈʌ	0.537
ˈʏː	ˈɑ	0.199
ˈʏː	ˈaɪ̯	0.152
ˈʏː	j	0.112
θ	θ	0.88
θ	d	0.108
