Icelandic	American English	probability
a	-	0.876
a	ɚ	0.056
a	oʊ̯	0.045
a	ə	0.037
b̥	b	0.891
b̥	-	0.06
b̥	ɹ	0.051
c	ʧ	0.66
c	k	0.158
cʰ	ʧ	0.644
cʰ	kʰ	0.239
d̥	d	1.0
f	f	0.95
f	v	0.053
f_j	f	0.49
h	h	1.0
i	ɪ	0.24
j	-	0.632
j	ˈɛ	0.27
j	ˈɪ	0.075
j_ˈoːu̯	ˈi	0.85
j_ˈoːu̯	ˈaɪ̯	0.076
j_ˈɛ	ˈaɪ̯	0.723
j_ˈɛ	ˈi	0.203
j_ˈɛː	ˈi	0.653
j_ˈɛː	ˈaɪ̯	0.326
k	k	0.855
k	ʧ	0.122
kʰ	kʰ	1.0
kʰ_v	w	1.0
l	l	0.554
l	ɫ	0.388
l	-	0.057
l̥	ɫ	0.483
l̥	l	0.366
l̥	-	0.143
l̥_ʏ	ɫ	1.0
m	m	0.885
m	-	0.06
m	v	0.059
m_ʏ	m	1.0
n	n	0.903
n	-	0.067
n	d	0.036
nː	n	0.492
nː	θ	0.336
nː	ð	0.13
n̥	n	0.451
n̥	-	0.203
n̥	m	0.137
n̥	ɚ	0.131
p	p	0.538
p	v	0.263
p	-	0.148
p_ʏ	p	1.0
r	ɹ	0.852
r	-	0.062
r	ˈɝ	0.051
r	ɚ	0.031
r	ɾ	0.03
r_t	ɹ	1.0
rː̥	ˈaɪ̯	0.49
r̥	-	0.82
r̥	ɚ	0.125
r̥	ɹ	0.053
s	s	0.933
s	z	0.051
s	t	0.03
s_c	ʃ	1.0
s_j	s	1.0
s_k	ʃ	1.0
sː	s	1.0
t	t	0.675
t	-	0.321
t_a	t	1.0
t_j	t	1.0
t_l̥	ɫ	1.0
t_n̥	n	1.0
t_ʏ	t	1.0
tʰ	tʰ	0.964
tʰ	b	0.04
u	ˈu	0.415
u	i	0.203
u	ˈɛ	0.203
v	w	0.611
v	-	0.238
v	v	0.081
v	z	0.06
v_a	v	0.683
v_a	p	0.221
v_ʏ	f	0.38
v_ʏ	v	0.349
x	-	1.0
ç	h	0.74
ç	w	0.192
ð	d	0.581
ð	-	0.175
ð	ð	0.149
ð	t	0.053
ð	θ	0.047
ð_a	d	1.0
ð_ʏ	ð	0.349
ð_ʏ	d	0.304
ð_ʏ	θ	0.304
ŋ	ŋ	0.792
ŋ	-	0.125
ŋ	n	0.071
ɑu̯	i	1.0
ɛ	ˈɛ	0.118
ɛː	i	0.49
ɟ̊	-	0.461
ɟ̊	ɡ	0.392
ɟ̊	ʤ	0.089
ɡ̊	-	0.681
ɡ̊	ɡ	0.27
ɡ̊	ʤ	0.05
ɡ̊_ʏ	ɡ	0.644
ɡ̊_ʏ	f	0.239
ɣ	-	0.826
ɣ	t	0.141
ɪ	ɚ	0.536
ɪ	-	0.409
ɪ	ɪ	0.051
ɲ	ŋ	0.24
ʏ	-	0.931
ʏ	oʊ̯	0.04
ʏ	ə	0.033
ʏ	i	0.033
ʏ_ð	d	0.24
ʰk	k	0.517
ʰk	ŋ_k	0.45
ʰp	p	1.0
ʰt	t	0.53
ʰt	-	0.181
ʰt	ɾ	0.171
ʰt_ʏ	t	1.0
ˈa	ˈɑ	0.369
ˈa	ˈæ	0.207
ˈa	ˈi	0.113
ˈa	ˈeɪ̯	0.095
ˈa	ˈɔ	0.086
ˈai̯	w	0.275
ˈai̯	ˈi	0.155
ˈai̯	ˈɛ	0.135
ˈaː	ˈeɪ̯	0.4
ˈaː	ˈæ	0.295
ˈaː	j	0.101
ˈaː	ˈʌ	0.076
ˈaː	ˈɑ	0.058
ˈaːi̯	ˈi	0.401
ˈaːi̯	ˈɛ	0.171
ˈaːi̯	ˈu	0.162
ˈaːi̯	ˈæ	0.111
ˈaːu̯	ˈoʊ̯	0.371
ˈaːu̯	ˈeɪ̯	0.182
ˈeːi̯	ˈoʊ̯	0.323
ˈeːi̯	ˈi	0.323
ˈi	ˈɪ	0.778
ˈi	ˈoʊ̯	0.166
ˈiː	ˈaɪ̯	0.589
ˈiː	ˈi	0.192
ˈiː	ˈɪ	0.105
ˈiː	ˈu	0.052
ˈiː	-	0.051
ˈiː_r̥	ˈaʊ̯	0.683
ˈiː_r̥	ˈi	0.221
ˈou̯	ˈoʊ̯	0.415
ˈou̯	w	0.203
ˈou̯	ˈɪ	0.203
