Eastern Lombard	Ligurian	probability
b	b	1.0
i	i	1.0
j	ʤ	1.0
w	w	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ʋ	v	1.0
ʤ	ʤ	1.0
ʧ	t	1.0
ɲ	ɲ_u	0.331
ˈy	ˈy	0.061
l	-	0.092
l	l_u	0.212
m	m	0.842
n	ŋ	0.452
p	p	0.992
s	ʒ_e	0.082
ˈa	ˈaː	0.422
ˈe	ˈe	0.432
ˈi	ˈi	0.152
ˈø	ˈøː	0.382
ˈɛ	ˈɛ	0.092
ˈɛ	ˈɛː	0.2
e	j	0.133
f	f	0.883
t	-	0.153
z	z	0.573
ˈi	e	0.253
ˈu	ˈu_ŋ	0.143
ˈu	ˈuː	0.753
ˈɛ	ˈeː	0.113
d	-	0.34
o	w	0.074
s	s_e	0.054
ˈa	ˈa_ŋ	0.084
ˈu	ˈu	0.104
e	e	0.505
r	-	0.075
r	r	0.575
s	ʃ	0.105
t	t	0.555
ˈe	ˈi	0.235
ˈi	ˈi_ŋ	0.115
ˈo	ˈaː	0.065
ˈɔ	ˈɔ	0.335
ˈɛ	ˈe	0.595
d	d	0.66
o	u	0.926
ˈe	ˈeː	0.306
e	-	0.327
f	v_e	0.117
l	l	0.627
r	j	0.077
r	u	0.137
z	ʒ	0.427
ˈa	ˈa	0.437
ˈo	ˈu	0.477
ˈɔ	ˈɔː	0.437
k	k	0.838
m	m_e	0.158
t	t_u	0.238
ˈa	ˈɛː	0.058
ˈo	ˈɔː	0.458
ˈø	ˈy	0.618
a	a	0.969
k	ɡ_u	0.119
l	r	0.069
n	n	0.539
r	r_u	0.079
s	s	0.669
ɲ	ɲ	0.669
ˈi	ˈe	0.09
ˈi	ˈiː	0.39
ˈy	ˈyː	0.939
ˈɔ	ˈø	0.229
