Neapolitan	Neapolitan	probability
ˈɛ_ɾ	ˈe	1.0
ˈɔ_k	ɡ	1.0
ˈi_#>	e_#>	1.0
ˈa_#>	ˈe_#>	1.0
ʧ	z	1.0
ʦː	s	1.0
ʦ_ə	s_a	1.0
ʤː_ə	e	1.0
ʎː	j	1.0
ʃː_ə	s_e	1.0
ʃː	s	1.0
ʃ_ə	z	1.0
ʃ_p	s_p	1.0
ɾ_ˈe	dː	1.0
ɾ_t	r_t	1.0
ɾ_n	r_n	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z	z	1.0
w_ə	a	1.0
sː_ə_#>	s_#>	1.0
s_ˈa	s_ˈa	1.0
s	s	1.0
rː	r	1.0
o	-	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kː_ə	k_a	1.0
kː_j	j	1.0
k_w	k	1.0
j_ˈɛ	ˈɛ	1.0
fː	f	1.0
f	f	1.0
dː	j_d	1.0
d	d	1.0
bː	b	1.0
b	b	1.0
a_w	u	1.0
a_t	a_d	1.0
a	a	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#_ʤ	1.0
#>	j_#>	1.0
k	k	0.946
ˈa	ˈa	0.884
v	v	0.875
n_ə_#>	ŋ_#>	0.875
p	p	0.821
tː	t	0.818
ˈi	ˈi	0.793
ˈɛ	ˈɛ	0.778
ɾ_ə_#>	r_#>	0.778
r	r	0.778
ˈo	ˈu	0.769
t	t	0.758
ə	a	0.732
ɲː	ɲ	0.714
i	-	0.688
k_j	p_j	0.667
ɾ	r	0.639
ʃ	s	0.632
w	w	0.625
n	ŋ	0.621
nː	ŋ	0.6
e	-	0.6
<#_a	<#_a	0.6
ˈɔ	ˈɔ	0.591
ʤ	ʤ	0.571
j	j	0.571
w_ˈɔ	ˈu	0.556
u	u	0.5
ˈe	ˈe	0.474
ˈu	ˈy	0.472
ˈu	ˈu	0.472
w_ˈɔ	ˈɔ	0.444
ʤ	z	0.429
j	-	0.429
ˈɔ	ˈø	0.409
nː	-	0.4
e	e	0.4
<#_a	<#	0.4
n	n	0.379
w	ˈø	0.375
u	-	0.333
k_j	ʧ	0.333
ˈe	ˈɛ	0.316
i	i	0.312
ɲː	ʤ	0.286
ˈo	ˈɔ	0.231
ˈɛ	ˈe	0.222
ɾ_ə_#>	#>	0.222
r	ə	0.222
ˈe	-	0.211
ʃ	z	0.211
tː	j_t	0.182
p	v	0.179
ə	e	0.169
u	y	0.167
ʃ	f_j	0.158
t	-	0.152
ɾ	-	0.139
ˈi	ˈɛ	0.138
v	b	0.125
n_ə_#>	#>	0.125
ˈa	ˈe	0.116
t	d	0.091
ə	-	0.07
ˈi	ˈe	0.069
ˈu	ˈi	0.056
ɾ	ˈi	0.056
ɾ	n	0.056
ɾ	j_r	0.056
ɾ	e	0.056
k	-	0.054
