Czech	Lithuanian	probability
ˈɛː	ɫ̌	1.0
ˈɛ_z̥	ˈɛ	1.0
ˈuː	-	1.0
ˈr̩	ɪ_rʲ	1.0
ˈou̯	-	1.0
ˈo_r	rʲ	1.0
ˈl̩	-	1.0
ˈaː	-	1.0
ʧ	kʲ	1.0
ʒ̊	ŋ	1.0
ʒ	ɡʲ	1.0
ʃ	ɕ	1.0
ɲ	nʲ	1.0
ɦ_ˈu	aː	1.0
ɦ_ɛ	ɡ	1.0
ɛː	ɪ_s	1.0
s_a	sʲ	1.0
r̩	r	1.0
r̝_ˈiː	æ̂ː	1.0
r̝	-	1.0
p	pʲ	1.0
m̩	nʲ	1.0
l̩	uə̯	1.0
l_ˈu	ɫ	1.0
l_ɛ	lʲ	1.0
j	ɐɪ̯	1.0
f	-	1.0
c	tʲ	1.0
b̥	m̌_b	1.0
ɦ	ɡ	0.876
iː	ɐ	0.824
r	r	0.72
b	b	0.674
ˈiː	ûː	0.638
ˈa	-	0.6
d̥	d_ɐ	0.6
ʦ	k	0.557
z	ʑ	0.555
v	vʲ	0.533
n	n	0.522
a	ˈɐ	0.5
m	mʲ	0.484
ˈɪ	-	0.475
v	v	0.467
l	lʲ	0.451
z	ʒ	0.445
ˈu	ɐ_ŋ	0.443
ʦ	-	0.443
ɛ	-	0.424
ˈo	ɐ	0.414
ɛ	ɐ	0.402
m	m	0.4
d̥	d	0.4
t	t	0.396
x	s	0.394
l	ɫ	0.394
d	d	0.386
n	-	0.376
k	k	0.372
ˈu	âʊ̯	0.362
o	ˈɪ	0.342
o	s	0.342
d	-	0.326
b	bʲ	0.326
o	-	0.316
x	-	0.308
d	dʲ	0.288
ˈɛ	ɛ	0.264
ˈa	oː	0.252
a	eː	0.25
ˈiː	-	0.241
t	tʲ_ɪ	0.24
ˈo	æ̌ː	0.237
ˈo	ǎː	0.237
k	s	0.234
ˈɛ	-	0.228
ˈɛ	æ̌ː	0.208
s	ɕ	0.195
ˈu	ɐʊ̯	0.194
s	s	0.188
s	sʲ_ɪ	0.182
ˈɪ	uː	0.18
iː	ˈʊ	0.176
ˈɛ	ǎː	0.175
s	ʃ	0.175
ɛ	ɛ	0.174
x	ʃ	0.159
s	ɕ_ɪ	0.159
r	-	0.157
k	-	0.147
k	kʲ	0.141
x	ɡ	0.139
ˈɛ	ɪ	0.125
a	ɐ	0.125
a	ěː	0.125
ɦ	-	0.124
r	rʲ	0.123
ˈiː	æ̂ɪ̯	0.121
m	m_ɐ	0.116
ˈɪ	ɛ̂ʊ̯	0.115
ˈɪ	ɛɪ̯	0.115
ˈɪ	îː	0.115
ˈo	-	0.112
t	t_ôː	0.108
t	-	0.105
k	k_ɐ	0.105
n	n_ôː	0.102
s	sʲ	0.099
t	tʲ	0.088
l	-	0.086
ˈa	z	0.074
ˈa	ǒː	0.074
l	ɫ_ɐ	0.068
t	ŋʲ	0.064
