Sichuanese	Sichuanese	probability
⁵⁵	³³	1.0
ʨ	k	1.0
ɥ_e	u_t̚	1.0
ɥ_a	u	1.0
ɥ	-	1.0
ɚ	ᵑɡ_e	1.0
ə_n	a_ŋ	1.0
z	ᵑɡ	1.0
y	u_j	1.0
x_w	v	1.0
x	h	1.0
w_⁵⁵	w_³³	1.0
w_ə	ᵐb_u	1.0
v_u	m̩	1.0
tʰ	h	1.0
pʰ	pʰ	1.0
p	p	1.0
nʲ	ⁿd	1.0
m	ᵐb	1.0
k	k	1.0
j_ɛ	e	1.0
j_ə	i	1.0
f	f	1.0
<#_t	<#	1.0
<#	<#_ᵑɡ	1.0
w	w	0.882
ŋ	ŋ	0.85
⁵³	⁵⁵	0.808
o	ɵ	0.727
ɕ	ɬ	0.714
ʦʰ	ʦʰ	0.7
s	s	0.7
u	u	0.667
ʦ	t	0.625
²¹	²²	0.588
n	n	0.585
j	j	0.579
²¹³	³²	0.522
ɛ	a_k̚	0.5
ə	i	0.5
ə	e	0.5
a	a	0.478
ʨʰ	tʰ	0.429
ʨʰ	h	0.429
z̩	u	0.429
²¹³	³³	0.391
ʦ	ʦ	0.375
u	ɵ_k̚	0.333
kʰ	h_w	0.333
kʰ	h	0.333
kʰ	f	0.333
ʦʰ	tʰ	0.3
s	ɬ	0.3
ɕ	h	0.286
z̩	i	0.286
z̩	e_j	0.286
o	ɔ	0.273
j	ɔ_j	0.263
ɛ	j_ɛ	0.25
ɛ	e	0.25
a	ɔ	0.217
i	e_j	0.214
i	a_j	0.214
n	l	0.171
j	-	0.158
⁵³	²¹	0.154
ŋ	-	0.15
n	m	0.146
ʨʰ	kʰ	0.143
i	j_i	0.143
i	j	0.143
i	i	0.143
i	e	0.143
w	-	0.118
a	w	0.109
²¹	t̚_⁵⁵	0.098
²¹³	-	0.087
a	j_a	0.087
²¹	⁵⁵	0.078
²¹	³³	0.078
²¹	³²	0.078
a	w_ɔ	0.065
