Latin	Neapolitan	probability
h	-	1.0
mː	mː	1.0
nː	nː	1.0
sː	sː	1.0
tʰ	t	1.0
ɡʷ	ɡ	1.0
ɪ̃	ə	1.0
ʊ̃ː	ə	1.0
ˈae̯	ˈɛ	1.0
ˈau̯	ˈɔ	1.0
ˈe	ˈi	1.0
ˈi	ˈi	1.0
ˈĩː	ˈi	1.0
ˈoe̯	ˈe	1.0
ˈyː	ˈi	1.0
ˈɛ̃ː	ˈi	1.0
ae̯	ə	0.281
l	l	0.741
m	m	0.671
oː	-	0.111
oː	u	0.121
rː	-	0.111
t	t	0.691
u	o	0.341
ɛ̃	-	0.291
ɛ̃	i	0.291
ɪ	i	0.251
ɫ	l	0.531
ʊ	u	0.071
ˈaː	ˈa	0.931
ˈeː	ˈi	0.421
ˈɪ	ˈɛ	0.061
b	b	0.212
d	d	0.392
i	u	0.052
i	-	0.392
i	ə	0.442
j	j	0.832
kː	kː	0.972
m	mː	0.212
oː	o	0.152
s	ʃ	0.122
t	-	0.172
tː	ʃː	0.252
ŋ	ŋ	0.552
ɔ	ˈɔ	0.072
ɡ	ʤː	0.072
ɪ	-	0.482
ˈɛ	ˈe	0.082
ˈɛ	j_ˈɛ	0.472
ˈɪ	ˈi	0.462
ˈʊ	ˈɔ	0.112
ˈʊ	ˈo	0.22
au̯	-	0.623
aː	ˈi	0.103
aː	a	0.663
b	bː	0.073
iː	ə	0.203
lʲː	lː	0.813
n	ɲː	0.083
oː	i	0.083
w	v	0.723
ŋ	n	0.223
ɡ	dː	0.063
ɡ	-	0.393
ɫ	j	0.103
ʊ	ʎː	0.053
ʊ	-	0.243
ˈoː	-	0.073
a	a	0.744
eː	i	0.54
kʷ	ɡ	0.204
kʷ	k	0.474
n	-	0.154
n	n	0.724
w	-	0.214
ɛ	ˈɛ	0.054
ˈeː	ˈɛ	0.234
ˈo	-	0.714
ˈuː	ˈu	0.94
ˈɔ	w_ˈɔ	0.684
a	-	0.085
aː	ə	0.145
d	ʦː	0.065
e	i	0.085
e	-	0.915
i	ɲː	0.095
lʲ	-	0.125
lʲː	-	0.05
o	u	0.255
o	-	0.745
r	-	0.345
t	ʦː	0.05
uː	ə	0.245
ɔ	o	0.125
ʊ	ə	0.225
ˈeː	ˈe	0.345
ˈu	ˈo	0.225
ˈu	ˈu	0.775
ae̯	j	0.06
d	-	0.256
eː	e	0.46
f	f	0.966
m	-	0.06
oː	ˈo	0.166
r	ɾ	0.516
s	-	0.16
uː	u	0.496
ɛ	ə	0.846
ɪ	ɾ	0.086
ˈo	ˈɔ	0.286
ˈɪ	ˈa	0.086
a	ˈa	0.147
au̯	a	0.377
b	-	0.117
d	ɾ	0.287
iː	i	0.357
iː	-	0.397
k	ʃ	0.267
kʷ	ʃ	0.287
lʲ	ʎː	0.777
oː	ə	0.367
ɛ̃	ə	0.417
ɡ	d	0.077
ɡ	ʤ	0.177
ɪ	ə	0.117
ˈiː	ˈi	0.787
ˈɪ	ˈe	0.317
b	v	0.568
j	ʤ	0.168
k	k	0.48
l	j	0.248
lʲ	l	0.098
m	nː	0.058
p	p	0.918
s	s	0.618
tː	tː	0.748
ɔ	-	0.288
ɔ	u	0.48
ɡ	ɡ	0.218
ʊ	j	0.408
ˈiː	i	0.068
ˈoː	ˈu	0.298
ˈoː	ˈo	0.598
ˈʊ	ˈu	0.668
ae̯	a	0.329
ae̯	u	0.329
aː	w	0.089
ãː	ə	0.959
k	-	0.159
lʲː	sː	0.109
r	r	0.139
rː	rː	0.889
u	ˈu	0.659
uː	ˈu	0.259
ŋ	ɲː	0.19
ɛ̃ː	ə	0.909
ɫ	-	0.329
ˈa	ˈa	0.99
ˈɔ	ˈɔ	0.239
ˈɛ	ˈɛ	0.349
