Megleno-Romanian	Brazilian Portuguese	probability
e̯ˈa	ˈe	1.0
f	f	1.0
kʲ	p	1.0
v	v	1.0
w	-	1.0
ŋ	-	1.0
ɲ	-	1.0
ʧ	-	1.0
ˈɔ	ˈɐ̃	1.0
b	b	0.691
k	-	0.071
k	k	0.641
l	-	0.301
r	h	0.051
ʎ	-	0.541
ʦ	t	0.1
ˈe	ˈɛ	0.201
ˈo	ˈu	0.061
b	-	0.242
d	d	0.932
m	m	0.812
p	p	0.572
s	s_u	0.062
s	ʃ	0.32
t	ʧ	0.172
ə	ɐ	0.842
ɡ	ɡ	0.652
ˈi	f_ˈi	0.052
ˈu	ˈũ	0.352
i	u	0.113
k	ɡ	0.073
p	b	0.153
r	ɦ	0.23
z	<#_e	0.073
z	ʒ	0.573
ə	u	0.053
ə	i	0.053
ə	-	0.053
ʦ	j	0.073
ʦ	s	0.643
k	ɡ_u	0.214
n	n	0.354
o̯ˈa	ˈo	0.104
z	-	0.354
ʃ	ʃ	0.214
i	-	0.205
i	i	0.615
j	-	0.835
ˈa	ˈa	0.535
ˈi	ˈi	0.5
ˈu	ˈõ	0.135
i	w	0.066
n	-	0.646
o̯ˈa	ˈɔ	0.896
t	t_u	0.246
ʃ	s	0.786
ˈa	ˈɛ	0.346
ˈu	ˈu	0.156
b	v	0.067
j	j_ʃ	0.097
p	j	0.157
t	d	0.207
u	u	0.917
ʦ	-	0.077
ʦ	k	0.107
ˈu	ˈɔ	0.067
d	-	0.068
l	u_#>	0.18
l	l	0.488
m	-	0.188
p	-	0.118
r	-	0.208
s	s	0.618
t	-	0.088
t	t	0.288
ɡ	-	0.348
ˈi	ˈĩ	0.448
j	w̃	0.069
r	ɾ	0.489
ʎ	ʎ	0.459
ˈe	ˈe	0.799
ˈo	ˈo	0.939
ˈu	ˈo	0.29
