German	Ripuarian	probability
b	b	0.729
b	v	0.185
b	-	0.081
d	d	0.886
d	t	0.065
d	-	0.053
f	f	0.961
f	p	0.036
f	v	0.029
h	h	0.92
h	k	0.08
j	j	1.0
k	k	0.682
k	ɕ	0.171
k	-	0.066
k	x	0.066
kʰ	k	0.91
kʰ	-	0.083
l	l	0.979
l	n	0.028
m	m	0.989
m	n	0.031
n	n	0.497
n	-	0.303
n	ŋ	0.098
n	ə	0.084
p	f	0.544
p	p	0.38
p	-	0.055
p͡f	p	0.74
p͡f	f	0.191
s	s	0.955
s	t	0.049
t	t	0.557
t	-	0.175
t	k	0.15
t	d	0.112
tʰ	d	0.921
tʰ	t	0.078
v	ʋ	0.882
v	v	0.075
v	-	0.044
x	x	0.935
x	-	0.055
z	z	0.839
z	s	0.151
ç	ɕ	0.859
ç	ŋ	0.138
ç_t	ɕ	1.0
ŋ	ŋ	1.0
ɐ	ɐ	0.908
ɐ	-	0.06
ɐ	ˈyː	0.033
ɐ_n	n	1.0
ɐ_t	t	1.0
ə	-	0.552
ə	ə	0.446
ɡ	j	0.487
ɡ	ɣ	0.207
ɡ	-	0.166
ɡ	ɕ	0.062
ɡ	x	0.061
ɪ	ɪ	0.561
ɪ	ə	0.425
ʁ	ʀ	1.0
ʃ	ʃ	1.0
ʃ_v	z	0.488
ʦ	ʦ	1.0
ˈa	ˈa	0.672
ˈa	ˈaː	0.18
ˈa	ˈɛ	0.073
ˈa	ˈɛː	0.064
ˈaɪ̯	ˈeː	0.416
ˈaɪ̯	ˈiː	0.277
ˈaɪ̯	ˈeɪ̯	0.132
ˈaɪ̯	ˈɛ	0.1
ˈaɪ̯	ˈɪ	0.066
ˈaʊ̯	ˈaʊ̯	0.336
ˈaʊ̯	ˈuː	0.296
ˈaʊ̯	ˈoː	0.217
ˈaʊ̯	ˈɔ	0.136
ˈaː	ˈaː	0.421
ˈaː	ˈoː	0.285
ˈaː	ˈa	0.183
ˈaː	ˈøː	0.052
ˈaː	ˈɛː	0.052
ˈeː	ˈiː	0.315
ˈeː	ˈɛː	0.268
ˈeː	ˈɛ	0.198
ˈeː	ˈeː	0.187
ˈiː	ˈeː	0.553
ˈiː	ˈiː	0.229
ˈiː	ˈɪ	0.136
ˈiː	ˈeɪ̯	0.071
ˈoː	ˈuː	0.595
ˈoː	ˈu	0.251
ˈoː	ˈɔ	0.077
ˈoː	ˈoː	0.049
ˈuː	ˈoː	1.0
ˈyː	ˈøː	0.826
ˈyː	ˈʏ	0.141
ˈøː	ˈyː	0.594
ˈøː	ˈʏ	0.392
ˈœ	ˈœ	0.66
ˈœ	ˈɛ	0.157
ˈɔ	ˈɔ	0.595
ˈɔ	ˈoː	0.139
ˈɔ	ˈo	0.121
ˈɔ	ˈaʊ̯	0.065
ˈɔ	ˈyː	0.065
ˈɔ_ɐ	ˈoː	1.0
ˈɔɪ̯	ˈøː	1.0
ˈɔʏ̯	ˈyː	0.421
ˈɔʏ̯	ˈʏ	0.178
ˈɔʏ̯	ˈøː	0.175
ˈɔʏ̯	ˈɔʏ̯	0.079
ˈɔʏ̯	ˈœ	0.041
ˈɛ	ˈɛ	0.44
ˈɛ	ˈɛː	0.352
ˈɛ	ˈe	0.066
ˈɛ	ˈœ	0.066
ˈɛ	ˈɪ	0.053
ˈɛ_ɐ	ˈɛː	0.488
ˈɛː	ˈoː	0.415
ˈɛː	ˈiː	0.202
ˈɛː	ˈɛː	0.202
ˈɪ	ˈe	0.373
ˈɪ	ˈɪ	0.352
ˈɪ	ˈɛ	0.093
ˈɪ	ˈa	0.061
ˈɪ	ˈiː	0.059
ˈʊ	ˈo	0.378
ˈʊ	ˈɔ	0.174
ˈʊ	ˈʊ	0.174
ˈʊ	ˈoː	0.1
ˈʊ	ˈuː	0.077
ˈʏ	ˈœ	0.639
ˈʏ	ˈʏ	0.194
ˈʏ	ʀ	0.131
