Mecklenburgisch-Vorpommersch	Mecklenburgisch-Vorpommersch	probability
ˈʊ	ˈɔ	1.0
ˈɛɪ̯	ˈaː	1.0
ˈɔ_l	ˈɑu̯	1.0
ˈœ	-	1.0
ˈøː	ˈoː	1.0
ˈoː_æ	ɾ	1.0
ˈiː_æ	ˈi_ɾ	1.0
ˈiː_n	ˈɛi̯_n	1.0
ˈiː	ˈɛi̯	1.0
ˈa	ˈɑ	1.0
ʃ_w	z_ʋ	1.0
ɾ_æ	ɾ	1.0
ɾ	d	1.0
ɪ_ç	ə_χ	1.0
ɪ	ɪ	1.0
ɣ̊	χ	1.0
ɣ	χ	1.0
ɡ̊	-	1.0
z̥	z̥	1.0
z_ˈeː	z	1.0
z	z	1.0
x	χ	1.0
v̥	v̥	1.0
v	ʋ	1.0
r	ɾ	1.0
pʰ	p	1.0
p	p	1.0
n_t	n_t	1.0
l	ɫ	1.0
kʰ	k	1.0
j	j	1.0
h	ɦ	1.0
f_#>	v̥_#>	1.0
f	v	1.0
d̥	d̥	1.0
d	d	1.0
ae̯	i	1.0
<#_tʰ	<#_t	1.0
<#_j	<#_χ	1.0
ˈɪ	ˈɪ	0.926
n	n	0.92
b	b	0.917
ˈɛː	ˈeː	0.857
ˈuː	ˈœy̯	0.846
ˈɒː	ˈaː	0.842
ˈɛ	ˈɛ	0.786
t	t	0.786
ˈɔ	ˈɔ	0.75
m	m	0.735
ˈuː_æ	ˈoː_ɾ	0.714
s	s	0.714
ɡ	χ	0.692
ç	χ	0.692
ŋ	ŋ	0.688
ˈɔʏ̯	ˈu	0.667
ˈœː	ˈoː	0.667
ʃ	s	0.652
æ	ə_ɾ	0.64
ˈyː	ˈœy̯	0.6
k	k	0.6
ˈʏ	ˈʏ	0.545
ˈoː	ˈaː	0.5
ˈoː	-	0.5
ˈaʊ̯	ˈu	0.5
ˈaʊ̯	ˈoː	0.5
#>	ə_#>	0.5
#>	v̥_#>	0.5
ˈae̯	ˈeː	0.481
ˈae̯	ˈi	0.444
ˈyː	ˈyː	0.4
ˈaː	ˈɛ_ɾ	0.375
ˈaː	ˈɑ_ɾ	0.375
ʃ	s_χ	0.348
ˈɔʏ̯	ˈoː	0.333
ˈœː	-	0.333
ŋ	χ_ə	0.312
ɡ	χ_ə	0.308
k	k_ə	0.3
ˈuː_æ	ɾ	0.286
s	ɾ_s	0.286
ˈʏ	-	0.273
m	ə_n	0.265
ˈɔ	ˈoː	0.25
ˈaː	ˈɑ	0.25
æ	ɾ	0.24
ˈɛ	ˈeː	0.214
ˈʏ	ˈɛ	0.182
t	t_ə	0.167
ˈɒː	ˈoː	0.158
ˈuː	ˈɑu̯	0.154
ç	χ_t	0.154
ç	ŋ	0.154
ˈɛː	ˈøː	0.143
æ	ə	0.12
k	-	0.1
b	-	0.083
n	n_d	0.08
ˈɪ	ˈɛi̯	0.074
ˈae̯	ˈɛi̯	0.074
