Lithuanian	Kashubian	probability
ʑ	z	1.0
ʊ	-	1.0
ɫ	w	1.0
ɛʊ̯	ə	1.0
ɕ_ɪ	s	1.0
ɕ	s	1.0
ɐʊ̯	-	1.0
ɐɪ̯	j_ɞ	1.0
ɐ_ŋ	ã	1.0
z	ɔ	1.0
v	v	1.0
uː	ə	1.0
uə̯	a	1.0
tʲ_ɪ	ʦ	1.0
tʲ	ʦ	1.0
pʲ	p	1.0
nʲ	-	1.0
n_d	d	1.0
mʲ	m	1.0
lʲ	l	1.0
j_ɐ	ɛ	1.0
iː	ə	1.0
eː_̌	a	1.0
d_ɐ	d̥	1.0
bʲ	b	1.0
aʊ̯	w_u	1.0
aɪ̯	-	1.0
b	b	0.859
̂	ˈ	0.818
r	r	0.811
̌	ˈ	0.8
eː	j	0.782
vʲ	v	0.729
dʲ	ʣ	0.72
oː	-	0.68
n	n	0.662
sʲ	s	0.606
d	d	0.603
ɡʲ	ʒ	0.592
t	t	0.58
iə̯	ɛ	0.576
k	k	0.558
ʃ	s	0.552
m	m	0.54
ɡ	ɡ	0.534
kʲ	-	0.524
aː	-	0.513
ʒ	z	0.51
rʲ	r̝	0.509
ˈ	ˈ	0.5
ˈ	-	0.5
rʲ	r	0.491
ʒ	ɡ	0.49
kʲ	k	0.476
m	-	0.46
ʃ	x	0.448
k	-	0.442
iə̯	e	0.424
t	-	0.42
ɛ	j	0.416
ɡʲ	-	0.408
æː	u̯ɛ	0.408
s	s	0.406
ɪ	-	0.4
d	d̥	0.397
sʲ	-	0.394
s	i	0.348
æː	ɛ	0.339
n	-	0.338
ɐ	i	0.322
oː	ɞ	0.32
aː	ɛ	0.307
ɡ	ɡ̊	0.285
dʲ	-	0.28
vʲ	f	0.271
ɛ	-	0.262
æː	-	0.253
s	-	0.246
ɪ	ã	0.236
eː	a	0.218
̌	-	0.2
ɛ	ɛ_ˈ	0.198
r	-	0.189
̂	-	0.182
ɡ	ʤ	0.18
aː	u	0.18
ɪ	ɞ	0.149
ɪ	ɛ	0.149
ɐ	-	0.145
ɐ	ɔ_ˈ	0.143
b	b̥	0.141
ɐ	õ	0.14
ɐ	a	0.126
ɛ	ɛ	0.124
ɐ	ɔ	0.124
ɪ	ɔ	0.066
