Swabian	German	probability
a	ə_n	0.704
a	n	0.245
a	ə	0.043
a	ɐ	0.031
b	b	0.877
b	p	0.109
b̥	p	0.494
b̥͡f	p͡f	1.0
d	t	0.608
d	tʰ	0.188
d	d	0.186
e	ə	0.74
e	-	0.137
f	f	1.0
h	h	1.0
i	ɪ	1.0
j	j	1.0
k	k	0.244
kʰ	kʰ	0.862
kʰ	-	0.119
l	l	0.987
l	-	0.031
m	m	0.902
m	-	0.054
m	n	0.047
n	n	0.922
n	n_ə	0.078
p͡f	p	0.326
p͡f	p͡f	0.326
s	s	0.589
s	z	0.396
s	-	0.03
t	t	1.0
x	x	0.855
x	ç	0.144
ç	ç	0.603
ç	ç_ə	0.389
ŋ	ŋ	1.0
ɐ	ə	0.494
ə	ə	0.494
ɡ	ɡ	0.531
ɡ	k	0.342
ɡ	ç	0.118
ɡ	-	0.03
ɪ	ɪ	1.0
ʁ	ʁ	0.991
ʁ	-	0.032
ʃ	ʃ	0.851
ʃ	s	0.147
ʋ	v	1.0
ʌ	ɐ	1.0
ʕ	-	1.0
ʦ	ʦ	1.0
ˈa	ˈa	0.926
ˈa	ˈaː	0.07
ˈae̯	ˈɔʏ̯	0.476
ˈae̯	ˈaɪ̯	0.391
ˈae̯	ˈɔɪ̯	0.112
ˈao̯	ˈaʊ̯	0.886
ˈao̯	ˈoː	0.073
ˈao̯	ˈʊ	0.047
ˈaː	ˈaː	0.789
ˈaː	ˈa_n	0.203
ˈe	ˈɪ	0.574
ˈe	ˈɛ	0.265
ˈe	ˈœ	0.152
ˈeə̯	ˈeː	0.333
ˈeə̯	ˈyː	0.333
ˈeə̯	ˈɛ	0.333
ˈeː	ˈeː	0.464
ˈeː	ˈøː	0.413
ˈeː	ˈɪ	0.106
ˈi	ˈɪ	0.663
ˈi	ˈiː	0.17
ˈi	ˈɪ_ç	0.088
ˈi	ˈyː	0.068
ˈiə̯	ˈiː	0.517
ˈiə̯	ˈyː	0.45
ˈiː	ˈiː	0.758
ˈiː	ˈyː	0.183
ˈo	ˈɔ	0.488
ˈo	ˈʊ	0.398
ˈo	ˈoː	0.088
ˈoː	ˈoː	0.856
ˈoː	ˈaː	0.068
ˈoː	ˈaʊ̯	0.067
ˈu	ˈʊ	0.538
ˈu	ˈʏ	0.457
ˈuə̯	ˈuː	1.0
ˈuː	ˈuː	1.0
ˈɔ	ˈɔ	0.824
ˈɔ	ˈaʊ̯	0.123
ˈɔ	ˈʏ	0.042
ˈɔe̯	ˈaɪ̯	0.746
ˈɔe̯	ˈaɪ̯_n	0.252
ˈɔə̯	ˈuː	0.494
ˈɔː	ˈaː	0.889
ˈɔː	ˈa_n	0.086
ˈəi̯	ˈaɪ̯	0.782
ˈəi̯	ˈɔʏ̯	0.167
ˈɛ	ˈɛ	0.787
ˈɛ	ˈa	0.089
ˈɛ	ˈʏ	0.063
ˈɛ	ˈeː	0.062
ˈɛː	ˈeː	0.533
ˈɛː	ˈɛː	0.464
ˈɪ	ˈɪ	0.852
ˈɪ	ˈʏ	0.102
ˈʌ	ɐ	0.326
ˈʌ	ˈɛ	0.326
