Afrikaans	East Low German	probability
b	b	1.0
d	d	0.793
d	-	0.127
d	ɾ	0.08
f	f	0.949
f	m	0.051
j	j	1.0
k	k	0.537
k	kʰ	0.413
m	m	1.0
n	n	0.931
p	p	0.892
p	b	0.108
r	æ	0.457
r	r	0.394
r	-	0.149
s	ʃ	0.333
s	s	0.332
s	z	0.3
t	t	0.586
t	d	0.209
t	tʰ	0.121
t	-	0.072
v	v	0.835
v	w	0.092
w	v	0.498
w	w	0.349
w	-	0.153
ŋ	ŋ	0.73
ŋ	n	0.154
ŋ	ç	0.116
ə	æ	0.671
ə	-	0.177
ə	ɪ	0.11
ɦ	h	1.0
ɫ	l	0.98
ˈa	ˈa	0.809
ˈa	ˈɛː	0.062
ˈa	-	0.051
ˈi	ˈae̯	0.563
ˈi	ˈiː	0.278
ˈi	ˈʏ	0.075
ˈoːi̯	ˈaʊ̯	1.0
ˈu	ˈaʊ̯	0.48
ˈu	ˈɔʏ̯	0.431
ˈu	ˈʊ	0.088
ˈuː	ɾ	1.0
ˈuːi̯	ˈaʊ̯	1.0
ˈyː	ˈyː	1.0
ˈæ	ˈɪ	0.863
ˈæ	ˈaː	0.137
ˈæː	ˈaː	0.5
ˈæː	ˈiː	0.5
ˈœ	ˈʏ	0.749
ˈœ	ˈoː	0.251
ˈœi̯	ˈiː	1.0
ˈœu̯	ˈɔ_l	0.628
ˈœu̯	ˈaʊ̯	0.289
ˈœu̯	ˈuː	0.083
ˈœɪ̯	ˈuː	0.915
ˈœɪ̯	ˈyː	0.085
ˈɑː	ˈɒː	0.676
ˈɑː	ˈoː	0.117
ˈɑː	ˈa	0.112
ˈɔ	ˈʊ	0.623
ˈɔ	ˈɔ	0.142
ˈɔ	ˈuː	0.098
ˈɔ	ˈaʊ̯	0.092
ˈɔː	ˈɔ	0.847
ˈɔː	ˈɒː	0.153
ˈə	ˈɪ	1.0
ˈəɪ̯	ˈiː	0.679
ˈəɪ̯	ˈɪ	0.202
ˈəɪ̯	ˈae̯	0.12
ˈɛ	ˈɛ	0.595
ˈɛ	ˈiː	0.227
ˈɛ	ˈɪ	0.095
ˈɛ	ˈʏ	0.061
ˈɛː	ˈɛ	1.0
ˈɪ	ˈɪ	1.0
ˈɪø̯	ˈœː	0.564
ˈɪø̯	ˈɔ	0.288
ˈɪø̯	ˈɛː	0.148
ˈɪə̯	ˈɛː	0.35
ˈɪə̯	ˈae̯	0.293
ˈɪə̯	ˈɛ	0.185
ˈɪə̯	ˈeː	0.073
ˈɪə̯	ˈoː	0.056
ˈʊə̯	ˈaʊ̯	0.344
ˈʊə̯	ˈuː	0.244
ˈʊə̯	ˈɔʏ̯	0.121
ˈʊə̯	ˈyː	0.119
ˈʊə̯	ˈøː	0.066
χ	x	0.298
χ	ç	0.246
χ	ɡ	0.21
χ	j	0.132
χ	k	0.05
χ	ŋ	0.05
