Old English	Old Norse	probability
a	i	1.0
b	b	0.968
bː	v	1.0
d	ð	0.461
d	d	0.435
dː	ð	1.0
e	ɑ	0.34
e	r	0.239
e	-	0.193
e	i	0.15
e	a	0.059
eo̯	i	1.0
f	f	0.733
f	v	0.181
f	mː	0.06
h	h	0.851
h	ç	0.123
i	ɑ	0.44
i	-	0.237
i	u	0.179
i	a	0.144
iː	i	1.0
iːy̯	ɑː	1.0
j	ɣ	0.404
j	ɡ	0.211
j	-	0.183
j	ɟ	0.144
j	ɡː	0.057
k	k	0.648
k	kʰ	0.263
kː	kː	1.0
l	l	0.839
l	lː	0.109
l	-	0.053
lː	lː	1.0
l̥	l̥	1.0
m	m	0.908
m	-	0.063
mː	mː	1.0
n	n	0.759
n	ŋ	0.088
n	-	0.078
n	nː	0.075
nː	nː	0.869
nː	ð	0.131
o	i	0.555
o	-	0.207
o	ˈɑu̯	0.128
o	u	0.111
p	p	0.776
p	-	0.126
p	v	0.098
pː	p	0.533
pː	pː	0.467
r	r	0.898
r	rː	0.067
rː	rː	0.544
rː	ˈɑ	0.456
r̥	r̥	1.0
s	s	0.934
s	sː	0.066
t	t	0.68
t	tʰ	0.188
t	-	0.082
t	tː	0.05
tː	t	1.0
u	r	0.641
u	-	0.359
v	v	0.883
v	-	0.117
w	v	0.602
w	-	0.292
w	ˈoː	0.07
x	tː	0.434
x	-	0.353
x	s	0.213
z	s	0.844
z	v	0.156
ç	tː	0.896
ç	j	0.104
ð	ð	0.694
ð	nː	0.306
ŋ	ŋ	1.0
ɑ	ɑ	0.713
ɑ	a	0.108
ɑ	i	0.082
ɑ	-	0.07
ɡ	ɡ	0.951
ɣ	ɣ	0.747
ɣ	-	0.14
ɣ	ɟ	0.064
ɫ	l	0.967
ʃ	s	0.713
ʃ	k	0.194
ʃ	f	0.093
ʃː	s	0.565
ʃː	c	0.435
ʍ	x	1.0
ʤ	ɡː	0.761
ʤ	ɟː	0.239
ʤː	ʝː	1.0
ʧ	k	0.507
ʧ	kʰ	0.279
ʧ	cʰ	0.184
ʧː	cː	1.0
ˈe	ˈe	0.514
ˈe	ˈøː	0.114
ˈe	j_ˈɔ	0.096
ˈe	-	0.093
ˈe	ˈɛ	0.066
ˈe	ˈɑ	0.062
ˈeo̯	j	0.495
ˈeo̯	ˈe	0.181
ˈeo̯	ˈu	0.102
ˈeo̯	ˈɑ	0.097
ˈeo̯	ˈɛ	0.097
ˈeː	ˈøː	0.483
ˈeː	ˈeː	0.337
ˈeː	ˈu	0.071
ˈeː	ˈi	0.067
ˈeːo̯	j	0.558
ˈeːo̯	ˈyː	0.154
ˈeːo̯	ˈeː	0.096
ˈeːo̯	ˈɛ	0.057
ˈi	ˈi	0.658
ˈi	ˈy	0.114
ˈi	ˈe	0.097
ˈi	ˈɑː	0.062
ˈiy̯	ˈe	0.622
ˈiy̯	ˈɛ	0.157
ˈiy̯	ˈɛː	0.135
ˈiy̯	ˈɔ	0.086
ˈiː	ˈiː	0.884
ˈiː	ˈi	0.116
ˈiːy̯	ˈøy̯	0.478
ˈiːy̯	ˈyː	0.449
ˈiːy̯	ˈiː	0.072
ˈo	ˈo	0.615
ˈo	ˈy	0.249
ˈo	ˈu	0.068
ˈoː	ˈoː	0.438
ˈoː	ˈɑː	0.314
ˈoː	ˈɔː	0.118
ˈoː	ˈɑ	0.072
ˈoː	ˈɔ	0.057
ˈu	ˈu	0.903
ˈu	ˈo	0.08
ˈuː	ˈuː	0.694
ˈuː	ˈu	0.118
ˈuː	ˈyː	0.097
ˈuː	ˈo	0.091
ˈy	ˈu	0.449
ˈy	ˈy	0.343
ˈy	ˈo	0.208
ˈyː	ˈuː	0.261
ˈyː	ˈøː	0.261
ˈyː	ˈyː	0.201
ˈyː	-	0.138
ˈyː	ˈɛ	0.138
ˈæ	ˈɑ	0.773
ˈæ	w	0.198
ˈæɑ̯	ˈɑ	0.949
ˈæɑ̯	ˈɑː	0.051
ˈæː	ˈɑː	0.632
ˈæː	ˈɛ	0.16
ˈæː	ˈo	0.112
ˈæːɑ̯	ˈɑː	0.421
ˈæːɑ̯	ˈɑu̯	0.288
ˈæːɑ̯	ˈɑ	0.065
ˈæːɑ̯	ˈɔ	0.061
ˈɑ	ˈɑ	0.554
ˈɑ	ˈa	0.223
ˈɑ	ˈɔ	0.12
ˈɑ	ˈe	0.103
ˈɑː	ˈɛi̯	0.711
ˈɑː	ˈɑː	0.151
ˈɑː	ˈɑ	0.071
ˈɛ	j	0.648
ˈɛ	ˈɛ	0.352
θ	θ	0.734
θ	ð	0.195
θ	nː	0.071
