Hessian	Hessian	probability
ˈɛ̃ː	ˈeː_ə	1.0
ˈɑ̃i̯	ˈaɪ̯_n	1.0
ˈæː_ɐ	ʁ_ə	1.0
ˈæː	-	1.0
ˈuː	ˈuː	1.0
ˈõː	ˈoː	1.0
ˈoː	ˈoː	1.0
ˈoi̯	ˈɔʏ̯	1.0
ˈoĩ̯	ˈɔʏ̯_n	1.0
ˈo	ˈɔ	1.0
ˈĩː	ˈyː_n	1.0
ˈãː	ˈaɪ̯_n	1.0
ˈau̯	ˈaʊ̯	1.0
ˈai̯	ˈaɪ̯	1.0
ˈa	ˈa	1.0
ʦ	ʦ	1.0
ʣ̥	-	1.0
ʀ	ʁ	1.0
ɛː	eː	1.0
ɑ	a	1.0
ɐ_n	ɐ_n	1.0
ɐ	ɐ	1.0
ŋ	ŋ	1.0
æ̆	ɐ	1.0
z̥	s	1.0
x	x	1.0
v̥	f	1.0
v_ə	b_n	1.0
pʰ	p͡f	1.0
oː	ˈoː	1.0
l	l	1.0
kʰ	kʰ	1.0
k_n	kʰ_n	1.0
i	ɪ	1.0
h	h	1.0
n	n	0.932
m	m	0.929
v	v	0.897
p	b	0.889
f	f	0.882
ˈiː	ˈiː	0.867
ˈɑː	ˈaː	0.833
ˈu	ˈʊ	0.786
ˈɑ	ˈa	0.75
ˈe	ˈɛ	0.75
ˈi	ˈɪ	0.743
b̥	b	0.722
ˈɔ	ˈɔ	0.714
#>	n_#>	0.714
ˈɛ	ˈɛ	0.7
ˈæ	ˈɛ	0.667
ˈeː	ˈeː	0.667
ɣ̊	ɡ	0.667
ɡ̊	ɡ	0.667
t	t	0.636
ə	n	0.632
ˈɛː	ˈeː	0.6
ʃ	ʃ	0.529
j	ɡ	0.5
j	j	0.5
s	z	0.489
ˈaː	ˈaʊ̯	0.429
ˈaː	ˈaɪ̯	0.429
ˈɛː	-	0.4
ʃ	ç	0.382
d̥	t	0.352
ˈæ	-	0.333
ˈeː	-	0.333
ʒ̊	ʃ	0.333
ʒ̊	ɡ	0.333
ʒ̊	-	0.333
ɣ̊	x	0.333
ɡ̊	k	0.333
s	s	0.333
k	ɡ	0.333
k	k_ə	0.333
k	k	0.333
ˈɛ	ˈeː	0.3
d̥	d	0.296
ˈɔ	ˈʊ	0.286
#>	ɐ_#>	0.286
b̥	b̥	0.278
ˈe	ˈœ	0.25
ə	ə_n	0.237
t	tʰ	0.227
d̥	d̥	0.222
ˈu	ˈuː	0.214
ˈi	ˈʏ	0.2
ˈɑː	ˈa_ɐ	0.167
ˈaː	-	0.143
t	d	0.136
ˈiː	ˈyː	0.133
s	z̥	0.133
d̥	tʰ	0.13
ˈɑ	ˈaː	0.125
ˈɑ	ˈa_ɐ	0.125
p	p	0.111
v	b	0.103
ʃ	ɡ̊	0.088
ə	ə	0.079
m	-	0.071
n	n_d	0.068
f	p͡f	0.059
f	f_ˈyː	0.059
ˈi	ˈyː	0.057
ə	d_n	0.053
