Upper Sorbian	Upper Sorbian	probability
ʧ	-	1.0
ʥ	dʲ	1.0
ʒ	ɡʲ	1.0
ʃ	-	1.0
ɲ	nʲ	1.0
ɛ_ɲ	̌	1.0
ɔ_m	nʲ	1.0
z̥	-	1.0
u_x	sʲ	1.0
s_a	sʲ	1.0
p	pʲ	1.0
o	-	1.0
mʲ	mʲ	1.0
kʲ_i	ʊ	1.0
<#_w	<#	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
ɥ	vʲ	0.857
ɦ	ɡ	0.833
a_#>	ɐ_ˈ_#>	0.8
m	m	0.75
l	lʲ	0.75
ʀ	r	0.722
ʀʲ	rʲ	0.714
z	ʑ	0.7
k	k	0.7
n	n	0.667
b	b	0.667
t	t	0.636
ʨ	tʲ_ɪ	0.6
d̥	̌_d	0.6
ɪ	ɐ_s	0.556
x	̌_ɡ	0.5
x	-	0.5
w_ɔ	ɐ	0.5
w_ɔ	v_ɐ	0.5
w	ɫ	0.5
j	j	0.5
j	-	0.5
i	iː	0.5
i	-	0.5
d	d	0.5
d	-	0.5
<#	<#_tʲ	0.5
<#	<#_kʲ	0.5
ɛ	-	0.429
#>	ɐ_s_#>	0.418
ʨ	ɪ	0.4
d̥	d	0.4
t	-	0.364
u	ɐ	0.333
n	-	0.333
b	bʲ	0.333
z	ʒ	0.3
k	kʲ	0.3
a	-	0.292
ʀʲ	-	0.286
#>	s_#>	0.273
ɔ	ɪ_ˈ	0.25
u	-	0.25
s	ʃ	0.25
s	ɕ	0.25
s	sʲ	0.25
m	mʲ	0.25
l	ɫ	0.25
a	oː	0.25
a	eː	0.25
e	ɪ	0.231
e	ɛ	0.231
e	-	0.231
ɛ	ɛ	0.214
ɛ	iə̯	0.214
a_#>	#>	0.2
ɔ	ɐ	0.188
ʀ	rʲ	0.167
ɦ	ʒ	0.167
u	uː_̂	0.167
u	aː	0.167
ɔ	ɪ	0.156
e	æː_̌	0.154
e	eː_̂	0.154
#>	ˈ_s_#>	0.145
ɥ	ɐɪ̯	0.143
ɛ	aː_̌	0.143
s	ʃ_k	0.125
s	s	0.125
a	ɐ	0.125
ʀ	r_̌	0.111
ɪ	ʊ	0.111
ɪ	ɛ	0.111
ɪ	uː_̂	0.111
ɪ	-	0.111
#>	ˈ_#>	0.109
w	ʊ	0.1
w	vʲ	0.1
w	v	0.1
w	iː_̌	0.1
w	-	0.1
ɔ	ɛ	0.094
ɔ	æː_̌	0.094
u	ɛʊ̯	0.083
a	eː_̌	0.083
ɔ	s	0.062
ɔ	aː_̌	0.062
ɔ	-	0.062
#>	ɪ_ˈ_#>	0.055
