Saterland Frisian	Afrikaans	probability
a	-	1.0
b	b	0.92
b	-	0.08
d	t	0.422
d	d	0.326
d	-	0.192
f	f	0.963
h	ɦ	0.95
h	k	0.05
i	i	1.0
j	ˈi	0.344
j	-	0.3
j	χ	0.164
j	j	0.128
j	ˈɪə̯	0.064
k	k	0.933
k	-	0.06
l	ɫ	0.931
m	m	0.974
n	n	0.954
p	p	0.99
r	r	0.993
s	s	0.957
t	t	0.807
t	d	0.108
t	r_t	0.085
v	v	0.718
v	w	0.153
v	f	0.075
v	-	0.055
w	f	0.796
w	w	0.204
x	χ	0.826
x	f	0.092
x	ŋ	0.069
z	s	1.0
ŋ	ŋ	0.942
ŋ	n	0.058
ə	ə	0.86
ə	-	0.14
ɡ	χ	1.0
ɣ	χ	0.823
ɣ	-	0.14
ɪ	ə	0.707
ɪ	-	0.293
ɫ	ɫ	1.0
ˈa	ˈɛ	0.537
ˈa	ˈa	0.334
ˈa	ˈɔ	0.129
ˈaː	ˈa	0.591
ˈaː	ˈɪə̯	0.234
ˈaː	ˈəɪ̯	0.175
ˈaːi̯	ˈa	0.58
ˈaːi̯	ˈɔː	0.252
ˈaːi̯	ˈɛ	0.168
ˈaːu̯	-	0.406
ˈaːu̯	ˈʊə̯	0.392
ˈaːu̯	ˈɔ	0.202
ˈeː	ˈɪə̯	0.487
ˈeː	ˈʊə̯	0.36
ˈeː	ˈəɪ̯	0.066
ˈeːu̯	ˈɪə̯	1.0
ˈi	ˈəɪ̯	0.437
ˈi	ˈɪə̯	0.239
ˈi	ˈi	0.219
ˈi	ˈə	0.073
ˈiː	ˈɑː	0.304
ˈiː	ˈə	0.259
ˈiː	ˈəɪ̯	0.123
ˈiː	ˈɪə̯	0.071
ˈiː	ˈa	0.059
ˈiː	ˈi	0.057
ˈiː	ˈæː	0.056
ˈiːu̯	ˈɪə̯	1.0
ˈoː	-	0.418
ˈoː	ˈʊə̯	0.315
ˈoː	ˈɑː	0.098
ˈoː	ˈa	0.063
ˈoːu̯	ˈa	0.341
ˈoːu̯	ˈɑː	0.189
ˈoːu̯	ˈʊə̯	0.153
ˈoːu̯	ˈɔ	0.145
ˈoːu̯	ˈu	0.131
ˈu	ˈɔ	0.686
ˈu	ˈuːi̯	0.314
ˈuː	ˈœɪ̯	0.202
ˈuː	ˈɔ	0.178
ˈuː	ˈɪø̯	0.139
ˈuː	ˈyː	0.126
ˈuː	ˈʊə̯	0.096
ˈuː	ˈuː	0.079
ˈuː	-	0.07
ˈuː	ˈa	0.057
ˈuː	ˈu	0.054
ˈyː	ˈi	0.802
ˈyː	ˈœɪ̯	0.198
ˈøː	ˈœɪ̯	1.0
ˈœː	ˈʊə̯	1.0
ˈɔ	ˈɔ	0.447
ˈɔ	ˈa	0.295
ˈɔ	ˈɛ	0.228
ˈɔː	ˈɑː	0.285
ˈɔː	ˈa	0.229
ˈɔː	ˈɪə̯	0.12
ˈɔː	ˈɔ	0.118
ˈɔː	ˈɛ	0.093
ˈɔː	ˈə	0.085
ˈɛ	ˈɛ	0.471
ˈɛ	ˈa	0.135
ˈɛ	ˈɛː	0.134
ˈɛ	ˈɑː	0.105
ˈɛ	ˈəɪ̯	0.099
ˈɛ	-	0.057
ˈɛɪ̯	ˈɑː	0.385
ˈɛɪ̯	ˈu	0.243
ˈɛɪ̯	ˈi	0.129
ˈɛɪ̯	ˈɪə̯	0.123
ˈɛɪ̯	ˈuːi̯	0.074
ˈɛː	ˈœ	0.395
ˈɛː	ˈæː	0.314
ˈɛː	ˈɛ	0.107
ˈɛː	-	0.07
ˈɛː	ˈɑː	0.065
ˈɪ	ˈə	0.767
ˈɪ	ˈɪ	0.099
ˈɪ	ˈɛ	0.091
ˈʊ	ˈɔ	0.751
ˈʊ	ˈœ	0.126
ˈʊ	ˈɑː	0.07
