Eastern Lombard	Romanian	probability
b	b	1.0
p	p	1.0
w	-	1.0
ʋ	-	1.0
ˈy	ˈu	1.0
a	-	0.091
m	m	0.931
o	o	0.371
s	ʃ_t	0.071
ŋ	n	0.201
ɲ	m_n	0.111
ʧ	p_t_e	0.111
ˈo	ˈu	0.761
ˈu	ˈo	0.051
ˈø	u	0.1
ˈɔ	ˈo	0.501
a	a	0.072
d	t	0.172
i	e	0.782
n	n	0.982
ɡ	k	0.182
ˈa	ˈɨ	0.22
ˈe	ˈi	0.282
d	d	0.493
e	e	0.493
l	l	0.53
z	ʤ	0.663
ˈe	ˈe	0.463
ˈi	ˈe	0.143
ˈɔ	o̯ˈa	0.403
ˈɛ	e	0.053
e	ə	0.174
e	-	0.224
f	f	0.834
l	r	0.224
o	u	0.594
s	s	0.44
t	p_t	0.14
ɲ	j	0.534
ʤ	ʤ	0.374
ˈe	ˈi_n	0.104
ˈi	ˈi	0.294
ˈo	ˈo	0.114
ˈu	ˈu_n	0.104
ˈø	ˈu	0.294
a	e	0.115
d	z	0.175
j	-	0.475
r	r	0.825
ˈi	e_r	0.055
ˈi	ˈe_r	0.055
ˈi	ˈi_r	0.095
ˈø	ˈo	0.605
d	-	0.16
f	w	0.06
f	-	0.106
k	k	0.946
l	-	0.246
s	ʦ	0.086
s	ʧ	0.246
z	ʒ	0.16
ɡ	ɡ	0.686
ɲ	n	0.356
ʤ	-	0.626
ˈe	ˈu	0.066
ˈe	e̯ˈa	0.086
ˈu	o̯ˈa	0.246
ˈɔ	ˈu	0.096
ˈɛ	ˈa	0.226
ˈɛ	ˈe	0.366
a	ə	0.67
r	-	0.17
t	t	0.7
z	ʦ	0.177
ɡ	-	0.077
ˈa	ˈa_r	0.277
ˈo	ˈa	0.067
ˈɛ	j_ˈe	0.237
i	i	0.218
s	-	0.068
t	-	0.058
ˈi	j	0.08
ˈi	-	0.088
ˈo	o̯ˈa	0.058
ˈɛ	ˈi	0.118
e	i	0.109
j	l	0.509
m	m_e	0.069
ŋ	-	0.799
ʧ	kʲ	0.889
ˈa	ˈa	0.439
ˈi	ˈi_n	0.19
ˈu	ˈu	0.599
