Faroese	West Frisian	probability
a	ə	0.584
a	-	0.293
a	d_ə	0.068
a	j_ə	0.048
b̥	b	0.935
b̥	-	0.065
d̥	d	0.594
d̥	-	0.347
d̥	t	0.061
f	f	0.888
f	-	0.108
h	h	1.0
j	-	0.657
j	ˈɪə̯	0.125
j	z	0.095
j	j	0.06
j	t	0.06
k	k	0.924
k	-	0.071
kʰ	k	0.764
kʰ	ʋ	0.147
kʰ	-	0.078
kʰ_v	v	1.0
l	l	0.92
l	l_ə	0.046
l	-	0.045
l_ʊ	l	1.0
l̥	l	0.693
l̥	-	0.295
l̥_ʊ	l	1.0
m	m	1.0
m_ʊ	m	1.0
n	n	0.96
n	-	0.048
nː	n	0.751
nː	l	0.14
nː	-	0.1
n̥	n	0.711
n̥	r	0.283
p	p	1.0
r	ˈøə̯	1.0
s	s	0.937
s	ɕ	0.047
s	z	0.032
sː	s	1.0
t	t	0.777
t	-	0.22
tʰ	t	0.612
tʰ	d	0.289
tʰ	ʦ	0.096
tː	t	0.501
v	v	0.398
v	-	0.252
v	ʋ	0.243
v	f	0.061
v	p	0.044
v_ʊ	χ	0.517
v_ʊ	f	0.45
w	-	0.432
w	t	0.257
w	ˈɛi̯	0.194
w	ə	0.066
ŋ	ŋ	0.768
ŋ	-	0.115
ŋ	ɪ	0.115
ə	-	0.251
ɛ	ə	0.66
ɛ	ɪ	0.165
ɡ̊	-	0.545
ɡ̊	ɡ	0.274
ɡ̊	χ	0.073
ɡ̊	ŋ	0.048
ɡ̊	ɣ	0.048
ɡ̊_ʊ	ə	1.0
ɪ	ə	0.598
ɪ	-	0.396
ɪ_ɹ	r	1.0
ɲ	ŋ	0.251
ɹ	-	0.631
ɹ	r	0.353
ɹ_ʊ	ˈuə̯	1.0
ɹː	χ	1.0
ʃ	s_k	0.57
ʃ	s	0.272
ʃ	m	0.124
ʈ	t	1.0
ʊ	-	0.919
ʊ	ə	0.077
ʊ̯ˈiː	ˈiː	0.125
ʎ	ɣ	0.251
ʤ̊	j	0.386
ʤ̊	-	0.27
ʤ̊	n	0.2
ʤ̊	ɣ	0.067
ʤ̊	d	0.057
ʤ̊_a	ə	0.501
ʧ	ɡ	0.33
ʧ	k	0.165
ʧʰ	ʦ	0.699
ʧʰ	f	0.213
ʧː	ɣ	0.501
ʰkː	k	1.0
ʰp	p_ə	0.594
ʰp	p	0.392
ʰt	t	1.0
ʰtː	χ_t	0.85
ʰtː	χ	0.081
ʰtː_ʊ	χ	1.0
ʰʧ	k	1.0
ˈa	ˈa	0.215
ˈa	ˈɔː	0.185
ˈa	ˈɛ	0.129
ˈa	ˈɛː	0.112
ˈa	ˈaː	0.098
ˈai̯	ˈiə̯	0.53
ˈai̯	ˈɪ	0.265
ˈai̯	ˈiː	0.165
ˈaːi̯	ˈiə̯	0.5
ˈaːi̯	ˈɛi̯	0.25
ˈaːi̯	ˈi	0.25
ˈeə̯	ˈɛ	0.251
ˈeː	ˈi	0.412
ˈeː	ˈaː	0.169
ˈeː	ˈɪ	0.169
ˈeː	ˈɛi̯	0.106
ˈeː_v	ˈaː	1.0
ˈiː	ˈɪ	0.723
ˈiː	ˈuə̯	0.137
ˈiː	ˈeː	0.089
ˈoː	ˈiə̯	0.488
ˈoː	-	0.141
ˈoː	ˈuə̯	0.141
ˈuː	ˈy	0.561
ˈuː	ˈɔ	0.213
ˈuː	ˈiə̯	0.076
ˈøː	ˈiə̯	0.307
ˈøː	ˈoə̯	0.176
ˈøː	ˈɵ	0.176
ˈøː	ˈø	0.116
ˈøː	-	0.08
ˈœ	ˈɔ	0.412
ˈœ	ˈɛ	0.109
ˈœ	ˈoə̯	0.109
ˈœ	ˈuə̯	0.109
ˈœ	-	0.085
ˈɔ	ˈa	0.161
ˈɔ	ˈoə̯	0.143
ˈɔ	ˈyː	0.098
ˈɔ	ˈeː	0.098
ˈɔ	ˈiː	0.08
ˈɔ_t	ˈoə̯	1.0
ˈɔːi̯	ˈɪə̯	0.501
ˈɔːu̯	ˈuə̯	0.379
ˈɔːu̯	ˈiə̯	0.294
ˈɔːu̯	j	0.143
ˈɔːu̯	ˈoː	0.143
ˈɔːu̯_w	ˈuə̯	1.0
ˈɔ̯aː	ˈiə̯	0.309
ˈɔ̯aː	ˈoə̯	0.156
ˈɔ̯aː	ˈaː	0.139
ˈɔ̯aː	ˈuə̯	0.106
ˈɔ̯aː	ˈø	0.103
ˈɛ	ˈa	0.433
ˈɛ	ˈɪ	0.191
ˈɛ	ˈɛi̯	0.126
ˈɛ	ˈaː	0.11
ˈɛ	ˈeː	0.11
