Czech	Štokavian	probability
ʧ	ʧ	1.0
ʒ̊	ʒ	1.0
ʒ	ʒ	1.0
ɦ_ɛ	ɡ_a	1.0
ɟ	d	1.0
z̥	-	1.0
z	z	1.0
x	x	1.0
v	ʋ	1.0
u	uː	1.0
r̝̊	r	1.0
r_iː	a_r	1.0
p	p	1.0
n	n	1.0
m̩	a_m	1.0
m	m	1.0
l_u	uː	1.0
j_ɛ	eː	1.0
j	j	1.0
d̥	d̥	1.0
d_ɛ	d_e	1.0
c	t	1.0
b̥	b	1.0
b	b	1.0
d	d	0.928
k	k	0.915
ɦ	ɡ	0.906
s	s	0.903
r	r	0.865
a	a	0.789
l	l	0.739
t	t	0.715
o	o	0.707
aː	a_̂	0.662
ɲ	-	0.657
ɪ	i	0.647
r̩	r̩	0.6
r̝	r	0.576
l̩	-	0.506
ɛː	j_e	0.5
ɛː	-	0.5
l̩	u	0.494
uː	o_̂	0.446
ɛ	e	0.442
iː	i_̂	0.44
r̩	r̩ː	0.4
ʦ	ʦ	0.396
uː	oː	0.369
ɪ	iː_̂	0.353
ɛ	eː	0.345
ɲ	ɲ	0.343
ʦ	ʨ	0.34
aː	aː	0.338
ou̯	uː_̌	0.333
ou̯	uː	0.333
ou̯	u	0.333
t	t_i	0.285
ʦ	ʦ_j	0.264
r̝	r_j	0.237
iː	j_eː	0.216
iː	j_e	0.216
ɛ	a	0.202
r̝	r̩	0.187
uː	-	0.185
a	aː	0.177
o	oː	0.175
r	r̩ː	0.135
iː	eː	0.127
s	s_a	0.097
ɦ	-	0.094
l	ʎ	0.081
l	o	0.081
l	l_j	0.077
d	-	0.072
o	a	0.071
k	-	0.053
