Limburgish	Yiddish	probability
b	b	1.0
l	l	1.0
m	m	1.0
ɡ	ɡ	1.0
ɡ̊	ɡ	1.0
ɦ	h	1.0
ɪ	ɪ	1.0
ʃ	ʃ	1.0
ˈiː	ˈaɪ̯	1.0
ˈu	ˈɔɪ̯	1.0
ˈœ	ˈɪ	1.0
ˈœi̯	ˈaɪ̯	1.0
ˈɑː	ˈa	1.0
ˈɒː	ˈɔ	1.0
ˈɔu̯	ˈɔɪ̯	1.0
ˈɪː	ˈɪ	1.0
ˈʏ	ˈɪ	1.0
β	v	1.0
d	t	0.501
s	s_t	0.071
ŋ	ŋ	0.511
ˈɔː	ˈɔɪ̯	0.741
ˈɛːi̯	ˈɛɪ̯	0.521
x	ɡ	0.32
z	z	0.812
ˈi	ˈɛɪ̯	0.232
ˈɔ	ˈʊ	0.592
ˈɛː	ˈɪ	0.242
k	k	0.643
p	f	0.813
t	t	0.143
t	ʦ	0.363
v	f	0.823
v̥	l_b	0.813
ŋ	ŋ_ɡ	0.3
ˈaː	ˈɔ	0.143
ˈæː	ˈa	0.913
ˈɛ	ˈɪ	0.623
ˈʊː	ˈɔ	0.393
d̥	t	0.724
t	s	0.494
ə	ə_n	0.094
ə	-	0.094
ə	ə	0.364
ɣ	ɡ	0.884
ˈi	ˈɛ	0.34
ˈuː	ˈɔɪ̯	0.744
ˈæ	ˈɛ	0.284
ˈøː	ə	0.414
ˈɑ	ˈa	0.864
ˈɪ	ˈɪ	0.304
n	n	0.985
x	k	0.155
ŋ	-	0.145
ə	n	0.405
ˈoː	ˈɔɪ̯	0.155
ˈoː	ˈʊ	0.845
k	χ	0.336
ɣ	-	0.116
ˈeː	ˈɛ	0.476
ˈuː	ˈɔɪ̯_ə	0.256
ˈæ	ˈa	0.716
ˈøː	ˈɪ	0.586
ˈɑ	ˈɛ	0.136
ˈɪ	ˈɛ	0.696
j	l	0.217
p	p	0.187
s	k_s	0.067
s	ʃ	0.487
v	b	0.177
v̥	b	0.187
x	χ	0.127
ʀ	ʀ	0.987
ˈaː	ˈa	0.857
ˈæː	ˈɛ	0.087
ˈɛ	ˈɛ	0.377
ˈʊː	ˈʊ	0.607
j	-	0.168
x	χ_t	0.398
z	ʃ	0.188
ˈeː	ˈɪ	0.48
ˈɔ	ˈɔ	0.408
ˈɛː	ˈɛɪ̯	0.758
d	d	0.499
d̥	d	0.229
j	t	0.579
s	z	0.349
ˈi	ˈɪ	0.429
ˈɔː	ˈɔ	0.259
ˈɛːi̯	ˈaɪ̯	0.479
