Eastern Lombard	Galician	probability
w	w	1.0
ø	u	1.0
a	ɐ	0.731
i	i	0.831
k	k_ʊ	0.061
m	m	0.851
r	r	0.201
s	-	0.071
t	t_ɪ	0.11
t	ð	0.141
z	θ	0.151
ɲ	ɲ	0.531
ʋ	β	0.11
ʤ	ʃ	0.21
ʧ	-	0.451
ˈe	ˈɛ	0.231
ˈi	ˈi	0.481
ˈo	ˈo	0.341
ˈɔ	ˈo_j	0.051
ˈɔ	ˈo	0.591
b	b	0.692
d	-	0.292
e	ʊ	0.102
j	-	0.142
j	ʧ	0.212
j	ʎ	0.552
k	ɣ_ʊ	0.102
l	l_ʊ	0.142
n	n	0.792
o	-	0.212
ŋ	n	0.32
ɡ	-	0.122
ɲ	ɲ_ʊ	0.192
ˈi	ˈe_ɾ	0.092
ˈi	ˈi_ɾ	0.12
ˈo	ˈo_w	0.182
ˈu	ˈɔ	0.332
ˈy	ˈu_ŋ	0.082
ˈø	ˈɔ	0.372
e	-	0.13
j	ɾ	0.083
o	o	0.753
r	β_ɾ	0.053
ɡ	ɡ	0.353
ʧ	j_t	0.43
ˈe	b_ˈi	0.053
ˈø	ˈu	0.403
ˈɛ	ˈi	0.093
d	ð	0.304
d	d	0.404
e	j	0.064
f	β_ʊ	0.114
z	ʃ	0.804
ʤ	-	0.124
ˈa	ˈa_ɾ	0.154
ˈe	ˈi	0.124
ˈi	ˈe	0.174
r	ɾ	0.655
s	s	0.475
ɡ	ɣ	0.525
ˈe	ˈe	0.535
e	ɪ	0.16
f	β_ɪ	0.06
k	k	0.806
p	-	0.086
p	p	0.856
ɲ	ɲ_ɐ	0.276
ʤ	ʎ	0.666
ˈø	ˈo	0.146
f	-	0.067
l	-	0.167
t	ð_ʊ	0.117
t	t_ʊ	0.127
ˈi	ˈi_ɲ	0.057
ˈu	ˈu	0.097
a	a	0.098
b	β	0.308
e	ɐ	0.068
r	ɾ_ʊ	0.068
s	θ	0.298
ŋ	ŋ	0.68
ˈa	ˈa	0.58
ˈo	ˈu	0.138
ˈo	ˈɔ	0.338
ˈy	ˈu	0.918
ˈɔ	ˈɔ	0.358
ˈɛ	ˈɛ	0.348
e	e	0.419
f	f	0.759
i	e	0.169
l	l	0.69
m	m_ɪ	0.149
n	-	0.099
n	ɲ	0.109
t	t	0.409
ʋ	b	0.89
ʧ	ʧ	0.119
ˈa	ˈɑ	0.199
ˈu	ˈo	0.529
ˈɛ	ˈe	0.559
