Megleno-Romanian	Megleno-Romanian	probability
ˈɔ_j	ˈa	1.0
ˈɔ	ˈa	1.0
ˈi_m	ˈɛ_ŋ	1.0
ˈa_t	ˈa	1.0
ʤ	ʤ	1.0
ʃ	s	1.0
ɡ	ɡ	1.0
ə_#>	#>	1.0
ɔ	-	1.0
w	-	1.0
v	v	1.0
u_#>	#>	1.0
s	s	1.0
r_n	r_n	1.0
r_i	l	1.0
r	r	1.0
n_#>	ŋ_#>	1.0
m	m	1.0
kʲ	p	1.0
k_ʎ_u_#>	j_#>	1.0
j	-	1.0
i_#>	#>	1.0
f	f	1.0
e̯ˈa_w	ˈe	1.0
e̯ˈa	ˈɛ	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
#>	j_#>	1.0
ə	a	0.913
k	k	0.765
ˈe	ˈɛ	0.75
d	d	0.75
l	l	0.7
ʎ	j	0.667
t	t	0.667
k_#>	ɡ_#>	0.667
n	ŋ	0.632
u	u	0.6
p_t	t	0.6
o̯ˈa	ˈu	0.571
ˈu	ˈu	0.533
ˈi	ˈi	0.533
ˈa	ˈa	0.522
i	-	0.462
ʦ	s	0.455
p	v	0.444
ˈo	ˈø	0.429
o̯ˈa	ˈø	0.429
<#	<#_f	0.429
u	r	0.4
p_t	j_t	0.4
n	n	0.368
ʦ	-	0.364
ˈo	ˈɔ	0.357
ʎ	l	0.333
t	-	0.333
p	p	0.333
k_#>	#>	0.333
ˈa	ˈɛ	0.304
<#	<#_ʧ	0.286
<#	<#_p	0.286
ˈu	ˈy	0.267
ˈi	ˈɛ	0.267
ˈe	ˈe	0.25
d	-	0.25
k	-	0.235
i	e	0.231
p	-	0.222
ˈo	ˈu	0.214
ˈu	-	0.2
ˈi	-	0.2
ʦ	z	0.182
ˈa	ˈe	0.174
i	r	0.154
i	i	0.154
l	j	0.15
l	-	0.15
ə	e	0.087
