Sassarese	Sassarese	probability
β_i	w	1.0
ˈɛ_dː	ˈɛ_l	1.0
ˈɔ_r	ˈu	1.0
ˈɔ_n_u_#>	ˈu_#>	1.0
ˈi_n	ˈi	1.0
ˈi_#>	#>	1.0
ˈe_#>	ˈe_#>	1.0
ˈa_ɬ	w	1.0
ˈa_n	ˈa	1.0
ˈa_i	ˈa_t	1.0
ˈa_#>	ˈa_#>	1.0
ʧː	l	1.0
ʧ	k_l	1.0
ʦː_u	ʦ	1.0
ʤː	ʤ	1.0
ʤ	ʤ	1.0
ʣ	ʧ	1.0
ʒ	-	1.0
ʃː	j_s	1.0
ɮ	-	1.0
ɡː_u	k	1.0
ɡ_u_#>	k_#>	1.0
ɡ	ɣ	1.0
ɔ	-	1.0
ŋ	ŋ	1.0
z	z	1.0
x	s_k	1.0
w_ˈa	ˈa	1.0
v	b	1.0
u_r	u_l	1.0
t_i_#>	#>	1.0
t	t	1.0
sː	s	1.0
s_ˈɛ	s_ˈe	1.0
s_a	s_a	1.0
s	s	1.0
rː	ʀ	1.0
r_ˈɛ	ɾ_ˈe	1.0
r_u_#>	#>	1.0
pː	s_p	1.0
p_u_#>	#>	1.0
p_j	p_l	1.0
p_a	p_a	1.0
o	u	1.0
nː	n	1.0
n_t_u_#>	n_#>	1.0
mː_i_#>	m_#>	1.0
mː_i	nː	1.0
m_u	m_u	1.0
m	m	1.0
lː	l	1.0
l_i	l_e	1.0
kː	k	1.0
k	k	1.0
i_#>	#>	1.0
fː	-	1.0
f	f	1.0
e	-	1.0
a_r	ɾ	1.0
<#_ʦ	<#_s	1.0
<#_ɡ	<#_ɡ	1.0
<#_u	<#_e	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_i	<#_e	1.0
<#_a	<#_a	1.0
ˈa	ˈa	0.949
p	p	0.917
b	b	0.864
u_#>	#>	0.855
n	n	0.8
a	ɔ	0.76
<#_ˈa	<#_ˈa	0.714
ˈi	ˈi	0.686
ɲː	ɲ	0.667
ɬ	s	0.667
bː	β	0.667
ˈu	ˈy	0.65
d	d	0.636
β	β	0.6
ʦː	s	0.6
ʎː	ʎ	0.6
mː	m	0.6
#>	e_#>	0.571
ˈɛ	ˈɛ	0.565
ʦ	ʦ	0.545
tː	ʧ	0.538
i	e	0.536
ɡː	ˈɔ_k	0.5
ɡː	ɣ	0.5
xː	ʀ_k	0.5
xː	s_k	0.5
r	ɾ	0.5
ˈo	ˈu	0.481
ˈe	ˈɛ	0.48
tː	t	0.462
ˈɔ	ˈɔ	0.455
ˈɛ	ˈe	0.435
#>	s_#>	0.429
β	w	0.4
ʦː	l_s	0.4
ʎː	-	0.4
mː	m_b	0.4
ˈɔ	ˈu	0.364
u	u	0.353
ˈu	ˈu	0.35
dː	t	0.35
ɲː	-	0.333
ɬ	ʀ	0.333
bː	-	0.333
r	l	0.326
dː	ð	0.3
u	w	0.294
<#_ˈa	<#_a	0.286
ʦ	-	0.273
ˈo	ˈɔ	0.259
j	l	0.25
j	-	0.25
dː	l	0.25
ˈe	j_ˈɛ	0.24
n	-	0.2
ʦ	s	0.182
d	-	0.182
ˈi	ˈe	0.171
ˈe	ˈe	0.16
a	a	0.16
j	s	0.15
j	j	0.15
u_#>	e_#>	0.145
i	s	0.143
i	-	0.143
b	-	0.136
ˈe	j	0.12
u	ʀ	0.118
u	y	0.118
u	l	0.118
ˈo	ɥ	0.111
r	ʀ	0.109
i	w	0.107
j	ʀ	0.1
j	z_ˈa	0.1
dː	ɾ	0.1
d	ð	0.091
d	z	0.091
ˈi	e	0.086
p	β	0.083
a	e	0.08
ˈo	ˈa_w	0.074
ˈo	-	0.074
i	e_s	0.071
r	-	0.065
ˈɔ	ˈa_w	0.061
ˈɔ	ɥ_ˈɛ	0.061
ˈɔ	ɥ	0.061
ˈi	ɾ	0.057
ˈa	ˈa_s	0.051
