West Frisian	West Frisian	probability
ˈɪə̯_#>	ˈu_t_#>	1.0
ˈɛi̯	-	1.0
ˈɔ_χ	x	1.0
ˈøə̯	ˈai̯	1.0
ˈø	-	1.0
ˈyː	ˈɑi̯	1.0
ˈu̯o	ˈi	1.0
ˈuə̯	ˈʏ	1.0
ˈu	ˈu	1.0
ˈoː	-	1.0
ˈi_t	s	1.0
ʦ	k	1.0
ʋ	v	1.0
ɡ	ɡ	1.0
ə_χ	ɪ_k	1.0
ə_#>	#>	1.0
z	z	1.0
v_ə	n	1.0
s_t	s_t	1.0
s_k_j	ʧ	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
p_ə	f_a	1.0
p_#>	f_#>	1.0
p	p	1.0
m	m	1.0
k_#>	x_#>	1.0
j_ˈɪ	ˈi	1.0
j_ˈɛ	ˈɑ	1.0
j_ˈɔ	ˈɪ	1.0
j_ˈuə̯	ˈɑi̯_ɛ	1.0
j_ə	a	1.0
h	h	1.0
f	f	1.0
d̥	t	1.0
b	b	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#_d	<#_t	1.0
j	-	0.833
l	w	0.806
r	r	0.786
χ	x	0.778
ˈaː	-	0.778
n	n	0.756
ŋ	ŋ_ɡ̊	0.714
ˈɔ	ˈu	0.667
ɪ	-	0.667
v	v	0.667
ˈɪ	ˈɘ̟	0.6
ˈɛː	-	0.6
ˈɔː	ˈɑ	0.6
ˈeː	-	0.6
ɣ	-	0.6
ˈuː	ˈɑi̯	0.583
<#_t	<#_ʦ	0.583
d	d	0.571
s	ʃ	0.52
ˈɛ	-	0.5
ˈi	ˈai̯	0.5
ə_n	ə_t	0.5
ə_n	a	0.5
#>	ɡ̊_#>	0.5
#>	r_#>	0.5
ə	a	0.487
s	z	0.48
ˈa	ˈɑ	0.467
t	t	0.455
d	t	0.429
ˈuː	-	0.417
<#_t	<#_d	0.417
ˈɛː	ˈɔ	0.4
ˈɔː	ˈɑ_w	0.4
ˈeː	ˈɑ	0.4
ɣ	ɡ	0.4
ˈiː	ˈai̯	0.364
ˈiə̯	-	0.364
ˈɪə̯	-	0.333
ˈɔ	-	0.333
ˈoə̯	ˈø	0.333
ˈoə̯	ˈu	0.333
ˈoə̯	-	0.333
ˈa	ˈɔ	0.333
ɪ	ɑ	0.333
v	v_ˈɛ	0.333
t	s	0.333
k	x	0.333
k	k	0.333
ˈɛ	ˈɛ	0.3
ŋ	ŋ	0.286
ə	ɛ	0.282
ˈiː	ˈɘ̟	0.273
ˈiə̯	ˈɑ	0.273
ˈɪə̯	ˈɑi̯	0.25
ˈɪə̯	ˈɑ	0.25
ˈɪ	-	0.25
ˈi	ˈɘ̟	0.25
ˈi	ˈi	0.25
k	ç	0.25
χ	ɡ̊	0.222
ˈaː	ˈø	0.222
t	ʦ	0.212
ˈɛ	ˈɘ̟	0.2
ˈa	-	0.2
ˈiː	ˈɔ	0.182
ˈiː	-	0.182
ˈiə̯	ˈei̯	0.182
ˈiə̯	ˈa	0.182
ˈɪə̯	ˈɔ	0.167
r	-	0.167
j	ˈi	0.167
ˈɪ	ˈei̯	0.15
l	l	0.139
n	-	0.133
ə	ə	0.103
k	c	0.083
ə	-	0.077
n	n_d	0.067
l	-	0.056
ə	u	0.051
