Walloon	Walloon	probability
ˈɛ̃ː	-	1.0
ˈɛ̃_#>	#>	1.0
ˈɛ_ʀ	ˈa_ɾ	1.0
ˈɛ_s	t_ɜ	1.0
ˈɔ̃_#>	ˈo_#>	1.0
ˈœ̃	ˈu_ɲ	1.0
ˈy	ˈu	1.0
ˈẽ	ˈi	1.0
ˈa_ʀ	r_t	1.0
ʤ	ʤ	1.0
ʒ	-	1.0
ʀ_w	ɾ	1.0
ɲː	e_n	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɔ̃	u_n	1.0
ɔː	a	1.0
z	z_ˈa	1.0
uː	o	1.0
u	-	1.0
t	t	1.0
p	p	1.0
n_#>	#>	1.0
n	n	1.0
j_#>	ɐ_#>	1.0
i	-	1.0
ẽ	i	1.0
d	d	1.0
b	b	1.0
<#_ʀ	<#_r	1.0
<#_ɛ	<#_e	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#_a	<#_a	1.0
m	m	0.955
v	v	0.923
l	l	0.913
s	s	0.9
k	k	0.875
ɔ	o	0.812
ˈa	ˈa	0.786
f	f	0.75
<#	<#_e	0.75
ˈɔː	ˈa	0.636
ˈɑ̃	ˈa	0.625
ˈa_#>	ʎ_#>	0.615
ˈu	-	0.6
a	a	0.6
ʧ	k	0.591
ˈẽ_#>	ˈi_#>	0.571
ˈoː	ˈɒ	0.556
ʀ	ɾ	0.545
ˈøː	ˈo	0.5
t_#>	t_ɾ_e_s_#>	0.5
t_#>	t_ɾ_e_#>	0.5
ˈoː	l	0.444
ˈɛː	ˈæ	0.429
ˈẽ_#>	#>	0.429
ʃ	s	0.429
ˈɛ	ˈæ	0.424
ˈɔ	ˈɒ	0.412
#>	ɐ_#>	0.412
ʀ	r	0.409
ˈɛ̃	ˈe_n	0.4
ˈɛ̃	n	0.4
ˈu	ˈu	0.4
a	e	0.4
ˈe	ˈa_r	0.389
ˈi	ˈi	0.385
ˈa_#>	#>	0.385
ˈɑ̃	ˈa_n	0.375
ɛ	i	0.364
ˈɔ	ˈo	0.353
ˈɔ̃	ˈɒ_n	0.333
ˈuː	ˈɒ_w	0.333
ˈuː	ˈɒ	0.333
ˈuː	ˈu	0.333
ˈɛː	w	0.286
ˈɛː	-	0.286
w	-	0.281
ɛ	a	0.273
j	ˈe	0.265
ˈøː	ˈɒ_k	0.25
ˈøː	ˈæ	0.25
w	ˈɒ	0.25
<#	<#_ˈa	0.25
ˈiː	ˈi	0.238
j	ʎ	0.235
ˈi	ˈi_r	0.231
ˈi	-	0.231
ˈɔ̃	ˈu_n	0.222
ˈɔ̃	ˈu	0.222
ˈɔ̃	ˈo	0.222
ˈe	ˈa	0.222
ˈe	r	0.222
ˈa	r	0.214
ʃ	ʃ	0.214
ʃ	s_k	0.214
ˈɛ̃	ˈa	0.2
#>	s_#>	0.196
ˈiː	ˈe	0.19
ˈiː	ˈa	0.19
ɔ	ˈɒ	0.188
ˈɔː	ˈa_ɣ	0.182
ˈɔː	-	0.182
ɛ	e	0.182
ɛ	-	0.182
j	-	0.176
ˈe	-	0.167
f	-	0.156
ˈi	e	0.154
ˈɛ	ˈi	0.152
ˈɛ	ˈe	0.152
ˈɛ	ˈa	0.152
ʃ	w	0.143
ʧ	ʤ_e	0.136
ʧ	k_ˈa	0.136
ʧ	k_a	0.136
w	ˈæ	0.125
w	ˈa	0.125
w	w	0.125
k	ɡ	0.125
ˈɔ	ˈo_t	0.118
ˈɔ	-	0.118
s	z	0.1
#>	ʎ_#>	0.098
#>	l_#>	0.098
ˈiː	ˈi_w	0.095
ˈiː	ˈa_r	0.095
ˈiː	w	0.095
ˈiː	-	0.095
w	ˈe	0.094
f	ɾ	0.094
j	ʎ_ɐ	0.088
l	ʎ_ɜ	0.087
#>	k_#>	0.078
v	β	0.077
ˈɛ	ˈi_l	0.061
ˈɛ	j	0.061
j	ˈe_s	0.059
j	ð_ɐ	0.059
j	w	0.059
j	l	0.059
#>	ŋ_k_#>	0.059
#>	m_#>	0.059
