Dutch	North Frisian	probability
b	b	0.963
b	v	0.045
d	d	0.609
d	t	0.22
d	dʲ	0.067
d	tʲ	0.062
d	-	0.04
f	-	0.346
f	f	0.319
f	ə_v	0.218
f	v	0.094
j	j	0.326
j	ˈiː	0.326
k	k	0.859
k	-	0.058
k	ʃ	0.058
k	h	0.039
l	l	0.519
l	l_v	0.478
m	m	1.0
n	n	0.51
n	-	0.444
n	nʲ	0.045
n_d	n	1.0
n_t	n	0.506
n_t	nʲ	0.478
p	p	0.837
p	b	0.063
p	d	0.057
p	v	0.042
s	s	0.772
s	ʃ	0.188
s	z	0.036
s_χ	ʃ	1.0
t	t	0.534
t	d	0.163
t	-	0.103
t	tʲ	0.092
t	dʲ	0.061
v	f	0.848
v	v	0.148
w	ˈiː	0.66
w	ˈai̯	0.161
z	s	0.873
z	z	0.071
z	ʃ	0.054
ŋ	ŋ	1.0
ə	ə	0.828
ə	-	0.157
ə_χ	i	1.0
ɦ	h	1.0
ɪ	i	1.0
ɫ	l	0.918
ɫ	lʲ	0.047
ɫ	-	0.031
ɫ	j	0.03
ɾ	r	1.0
ʋ	v	0.854
ʋ	-	0.141
ʋ_ˈɔ	ˈʊ	1.0
ˈaː	ˈɛi̯	0.229
ˈaː	ˈɛː	0.174
ˈaː	ˈɒː	0.151
ˈaː	j_ˈa	0.119
ˈaː	ˈeː	0.119
ˈeː	ˈɛː	0.206
ˈeː	ˈiː	0.194
ˈeː	ˈi	0.113
ˈeː	ˈɔː	0.074
ˈeː	-	0.056
ˈi	ˈiː	0.758
ˈi	ˈɔu̯	0.076
ˈi	ˈyː	0.061
ˈi	ˈeː	0.061
ˈi	-	0.053
ˈoː	ˈuː	0.323
ˈoː	ˈyː	0.197
ˈoː	ˈiː	0.148
ˈoː	ˈɔ	0.125
ˈoː	ˈøː	0.059
ˈoː_v	ˈɔu̯	1.0
ˈu	ˈœ	0.38
ˈu	ˈɛi̯	0.201
ˈu	ˈɔu̯	0.175
ˈu	ˈɛ	0.131
ˈu	ˈyː	0.075
ˈyː	ˈøː	0.494
ˈøː	ˈɔː	0.494
ˈœy̯	ˈyː	0.731
ˈœy̯	ˈøː	0.132
ˈœy̯	ˈʏ	0.072
ˈœy̯	ˈuː	0.054
ˈɑ	ˈɒ	0.178
ˈɑ	ˈɒː	0.15
ˈɑ	ˈœ	0.121
ˈɑ	ˈeː	0.102
ˈɑ	ˈɔː	0.08
ˈɑu̯	ˈœ_lʲ	0.723
ˈɑu̯	ˈɒ	0.205
ˈɔ	ˈʊ	0.395
ˈɔ	ˈɔː	0.173
ˈɔ	ˈɔ	0.121
ˈɔ	ˈʏ	0.08
ˈɔ	-	0.08
ˈɔ_n	ˈyː	1.0
ˈɛ	ˈa	0.278
ˈɛ	ˈeː	0.248
ˈɛ	ˈʊ	0.136
ˈɛ	ˈœ	0.089
ˈɛ	ˈɛi̯	0.071
ˈɛi̯	ˈi	0.575
ˈɛi̯	ˈiː	0.218
ˈɛi̯	ˈeː	0.104
ˈɛi̯	ˈyː	0.057
ˈɛi̯	ˈɒ	0.049
ˈɪ	ˈa	0.333
ˈɪ	ˈi	0.279
ˈɪ	ˈʊ	0.16
ˈɪ	ˈai̯	0.112
ˈɪ	ˈaː	0.061
ˈʏ	ˈeː	0.242
ˈʏ	ˈʊ	0.242
ˈʏ	ˈʏ	0.158
ˈʏ	ˈa	0.149
ˈʏ	ˈɔː	0.097
χ	ɡ	0.263
χ	x	0.239
χ	j	0.176
χ	-	0.148
χ	w	0.073
