Bellunese	Latin	probability
ˈɛ_s	ˈɛ_s	1.0
ˈo_r	ˈoː_r	1.0
ˈo_n	ˈɔ_n	1.0
ˈe_ŋ	ˈɛ_n	1.0
ˈa_l	ˈa_ɫ	1.0
ʤ	ɡ_ʊ	1.0
ɡ_w	ɡʷ	1.0
v_e	b_ɛ	1.0
u	-	1.0
t_ˈa	t_ˈaː	1.0
r_ˈa	r_ˈa	1.0
r_o	r_ʊ̃ː	1.0
p	p	1.0
k_w	kʷ	1.0
k_a	k_a	1.0
j_ˈe	ˈɛ	1.0
j_ˈa	ɫ_ˈa	1.0
i_ŋ	ĩː	1.0
e_ɡ	ɪ_k	1.0
d_a	t_ãː	1.0
b	b	1.0
m	m	0.94
f	f	0.926
ˈɛ	ˈɛ	0.92
n	n	0.912
ð	ɡ	0.868
ɡ	k	0.818
r	r	0.796
v	w	0.776
ˈi	ˈiː	0.763
ˈɔ	ˈɔ	0.707
ˈu	ˈuː	0.696
k	k	0.649
a	ãː	0.63
i	iː	0.603
ɲ	n	0.6
ˈa	ˈaː	0.573
d	d	0.568
e	ɛ	0.537
θ	k	0.516
t	t	0.514
l	lʲː	0.495
s	s	0.483
z	k	0.465
d	t	0.432
ˈe	ˈɪ	0.417
ˈe	ˈeː	0.402
ɲ	n_i	0.4
i	-	0.397
ˈa	ˈa	0.385
ˈo	ˈɔ	0.381
ʧ	k_ʊ	0.374
ˈo	ˈʊ	0.371
k	kː	0.351
ʧ	ɫ	0.323
ŋ	n_ʊ̃ː	0.319
l	ɫ	0.316
o	ɔ	0.307
o	ʊ̃ː	0.306
ʧ	k_ɫ	0.303
s	sː	0.303
e	ɪ	0.3
ŋ	ŋ	0.293
j	lʲ_i	0.287
ŋ	n	0.249
j	ɫ	0.24
v	p	0.224
θ	t_i	0.217
s	s_k	0.214
ˈo	ˈoː	0.213
ˈɔ	ˈau̯	0.206
z	s_i	0.206
z	s	0.206
ˈu	ˈʊ	0.196
j	-	0.187
ɡ	ɡ	0.182
a	a	0.178
ˈi	-	0.174
t	k_t	0.171
t	tː	0.17
j	i	0.169
θ	k_i	0.163
l	lʲ	0.147
ð	j	0.132
o	ʊ_s	0.125
z	-	0.123
j	ˈae̯	0.117
e	r	0.109
ˈu	ˈoː	0.108
ˈe	-	0.108
a	aː	0.107
t	p_t	0.105
θ	kʷ	0.104
n	nː	0.088
ˈɔ	k_ʊ	0.087
ˈɛ	-	0.08
f	-	0.074
ŋ	m	0.071
o	-	0.071
r	ɛ	0.069
ŋ	ɡ_ˈɪ_n	0.068
r	t_r	0.065
o	r	0.065
m	mː	0.06
o	oː	0.051
