Scots	Old High German	probability
θ	d	1.0
ˈʌu̯	ˈo_l	1.0
ˈɪ_n	ˈi_n	1.0
ˈɛː	ˈɛ_ɡ	1.0
ˈɔɪ̯	ˈɛ_r	1.0
ˈøː	k_ˈuo̯	1.0
ˈu_m	mː	1.0
ˈo	ˈo	1.0
ˈiː_r	r_i	1.0
ˈaːɪ̯	ˈi_m	1.0
ˈaː	ˈi_x	1.0
ˈaɪ̯	rː	1.0
ʤ	kː_ɑ	1.0
ʍ	w	1.0
ʃ	s_k	1.0
ɡ	kː	1.0
ɛ	ɑ	1.0
ə_r	r	1.0
ç	x	1.0
w_ˈa	w	1.0
w	w	1.0
v	b	1.0
tʰ	ʦ	1.0
s_t	s_t	1.0
r_n	r_n	1.0
pʰ	p͡f	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k_s	x_s	1.0
h	h	1.0
f_ˈo	f_ˈu	1.0
f	f	1.0
e	ɑ_ɡ	1.0
d_r	t_r	1.0
b	b	1.0
s	s	0.96
n	n	0.936
r	r	0.898
d	t	0.797
ŋ	ŋ_ɡ	0.793
ˈu	ˈuː	0.769
ˈa	ˈɑ	0.766
ˈø	ˈuo̯	0.745
ˈɑː	ˈɑ	0.702
ˈəi̯	ˈiː	0.688
ˈeː	ˈɑ	0.68
ˈuː	ˈuː	0.67
ˈʌ	ˈu	0.617
ð	d	0.597
p	f	0.591
x	ɡ	0.588
ˈe	ˈei̯	0.579
j	ɡ	0.55
ə	ɑ	0.543
z	s_ɑ	0.5
z	s	0.5
j	j	0.45
x	x	0.412
ˈɛ	ˈɛ	0.409
ˈɪ	ˈi	0.404
ð	t	0.403
ˈʌ	-	0.383
t	s̻	0.383
k	x	0.34
ˈe	ˈɑ	0.339
ˈuː	ˈo_lː	0.33
ˈɛ	ˈe	0.327
p	f_ɑ	0.296
k	xː	0.291
ˈø	ˈɑ_n	0.255
ˈa	ˈɛ	0.234
ˈu	-	0.231
ˈɪ	ˈu	0.229
ˈi	ˈuo̯	0.225
ˈiː	r	0.21
ŋ	ŋ	0.207
ə	ɛ	0.199
k	k	0.195
ˈiː	ˈɑː	0.194
ˈiː	ˈou̯	0.191
t	ʦ	0.188
ˈiː	ˈio̯	0.186
ˈəi̯	ˈiu̯	0.185
ˈɛ	ˈɑ	0.183
ˈɑː	ˈɑ_l	0.18
t	t	0.18
k	kː	0.174
ˈi	ˈɑː	0.171
ˈeː	-	0.163
ˈeː	ˈɑː	0.157
t	s̻ː	0.137
ˈiː	ˈio̯_ɡ	0.134
ˈi	ˈoː	0.129
ˈi	-	0.129
ˈəi̯	ˈuː	0.128
ˈi	ˈio̯	0.128
ə	u	0.122
ˈɑː	ˈeː	0.118
d	d	0.117
p	fː	0.113
ˈɪ	ˈɛ	0.112
ˈi	ˈu	0.097
ə	t_ɑ	0.097
ˈi	ˈou̯	0.092
ˈiː	ˈie̯	0.087
ˈe	ˈoː	0.082
ˈɛ	ˈei̯	0.08
ˈɪ	ˈo	0.072
t	ʦː	0.065
d	d_ɑ	0.065
n	nː	0.064
r	r_i	0.059
ˈɪ	ˈɑ	0.054
