Bellunese	Bellunese	probability
ˈɛ_s	ˈe	1.0
ˈo_ŋ	ˈɔ̃	1.0
ˈo_r	ˈy	1.0
ˈi_ŋ	ˈĩ	1.0
ˈi_n	ˈe_n	1.0
ˈe_ŋ	ˈɛ̃	1.0
ˈe_r	ˈɛː_ʁ	1.0
ˈa_ŋ	ˈɑ̃	1.0
ˈa_r	ˈa	1.0
ˈa_#>	ˈaː_#>	1.0
ʧ_o	ʎ	1.0
ʧ	k	1.0
ʤ	ɡ_ʎ	1.0
ɲ	ɲ	1.0
ɡ_o_#>	#>	1.0
ɡ_o	ˈa	1.0
ð	-	1.0
z_e	ʃ	1.0
w_a	a	1.0
t_#>	#>	1.0
s_#>	#>	1.0
r_u	y	1.0
r_t	ʁ	1.0
r_a	ʁ_a	1.0
p	p	1.0
o_#>	#>	1.0
m	m	1.0
l_#>	#>	1.0
k_r	k_ʁ	1.0
i_ŋ	ĩ	1.0
i_#>	#>	1.0
i	i	1.0
f	f	1.0
e_ŋ	ɛ̃	1.0
e_#>	#>	1.0
b	b	1.0
a_ŋ	ɑ̃	1.0
a_s	ɑː	1.0
a_#>	#>	1.0
<#_ɡ	<#	1.0
<#_ð	<#_ð	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_l	<#_l	1.0
<#	<#_ɡ	1.0
t	t	0.882
v	v	0.867
l	l	0.792
n	n	0.783
θ	s	0.75
r_#>	#>	0.75
ɡ	ɡ	0.667
z	z	0.667
s	s	0.667
e_r	ə	0.667
r	ʁ	0.639
a	a	0.623
o	o	0.611
ˈu	-	0.6
ŋ	ˈɛ̃	0.6
w	w	0.5
w	-	0.5
d	d	0.476
ˈɛ	ˈe	0.45
k	ʃ	0.433
ˈi	ˈi	0.429
ˈi	ˈe	0.429
d	-	0.429
e	ə	0.409
e	-	0.409
ˈu	ˈu	0.4
ŋ	-	0.4
ˈa	ˈa	0.368
k	k	0.367
j	j	0.364
ˈe	ˈɛː	0.345
ɡ	-	0.333
z	-	0.333
e_r	ʁ_ə	0.333
s	e	0.286
ˈɔ	ˈø	0.278
a	ə	0.264
θ	-	0.25
ˈɛ	ˈɛ	0.25
r_#>	ˈe_#>	0.25
r	ð	0.25
ˈo	w	0.231
j	ʎ	0.227
j	l	0.227
ˈɔ	ˈoː	0.222
ˈɔ	w_ˈe	0.222
n	-	0.217
ˈa	ˈaː	0.211
l	-	0.208
ˈe	ˈɛ	0.207
ˈe	ˈe	0.207
ˈo	ˈɔ	0.192
ˈɔ	ˈu	0.167
o	ɔ	0.167
ˈo	ˈo	0.154
ˈo	w_ˈɛː	0.154
ˈɛ	ˈɛː	0.15
ˈɛ	-	0.15
ˈi	-	0.143
ˈe	ˈi	0.138
v	-	0.133
k	-	0.133
ˈa	ˈe	0.132
ˈa	-	0.132
t	-	0.118
ˈo	ˈu	0.115
ˈɔ	-	0.111
o	u	0.111
o	-	0.111
ˈa	ˈɑː	0.105
ˈe	-	0.103
d	ð	0.095
j	ð	0.091
j	-	0.091
e	ʃ	0.091
e	o	0.091
ˈo	ˈø	0.077
ˈo	-	0.077
k	ʃ_j	0.067
a	i	0.057
r	ð_ə	0.056
r	-	0.056
ˈa	j	0.053
