American English	Dutch	probability
b	b	1.0
p	p	1.0
pʰ	p	1.0
t	t	1.0
tː	t	1.0
ð	d	1.0
ŋ	ŋ	1.0
ɾ	t	1.0
ʃ	s	1.0
ʤ	χ	1.0
ʧ	k	1.0
f	v	0.761
h	ɦ	0.981
j	j	0.481
s	s	0.401
tʰ	t	0.891
w	ʋ	0.921
ə	-	0.201
ə	ə	0.71
ɫ	ɫ	0.971
ˈaɪ̯	ˈoː	0.081
ˈi	ˈeː	0.091
ˈi	ˈɛi̯	0.091
ˈoʊ̯	w	0.071
ˈoʊ̯	ˈɛi̯	0.171
ˈɔ	-	0.1
ˈɪ	ˈɪ	0.521
n	n	0.872
oʊ̯	-	0.72
ɚ	ə	0.382
ɚ	ɾ	0.502
ɡ	χ	0.952
ˈaɪ̯	ˈœy̯	0.062
ˈi	ˈi	0.212
ˈoʊ̯	ˈeː	0.452
ˈu	ˈu	0.322
ˈæ	ˈɑ	0.922
ˈɔ	ˈi	0.052
ˈɛ	ˈɑ	0.062
ˈʌ	ˈeː	0.052
ʔ	χ_t	0.183
ˈeɪ̯	ˈɑ	0.403
ˈi	ˈu	0.153
ˈoʊ̯	ˈoː	0.073
ˈoʊ̯	ˈɑu̯	0.083
ˈɔ	ˈɛ	0.053
ˈɛ	ˈeː	0.253
ˈʌ	ˈœy̯	0.083
ˈʌɪ̯	ˈɛi̯	0.23
d	d	0.554
i	ə	0.594
kʰ	k	0.964
m	m	0.974
z	z̥	0.14
ɪ	ə	0.524
ˈaɪ̯	ə	0.074
ˈaɪ̯	ˈɪ	0.254
ˈeɪ̯	ˈɛ	0.054
ˈeɪ̯	ˈaː	0.4
ˈi	ˈoː	0.234
ˈu	ˈeː	0.054
ˈu	w	0.054
ˈɑ	ˈɑ	0.324
ˈʌ	ˈoː	0.24
ˈʌ	ˈɔ	0.474
ˈʌɪ̯	ˈɑ	0.24
i	ɪ	0.15
n	ə_n	0.065
s	z	0.585
v	b	0.135
ˈu	ˈaː	0.075
ˈu	ˈɛi̯	0.245
ˈɔ	ˈɑ	0.175
ˈɛ	ˈi	0.125
ˈɛ	ˈoː	0.135
ˈʊ	ˈɔ	0.465
ˈʊ	ˈu	0.535
ˈʌ	ˈaː	0.055
θ	d	0.655
k	k	0.966
v	f	0.276
v	v	0.496
w	-	0.056
ɪ	-	0.476
ˈaɪ̯	ˈyː	0.056
ˈaɪ̯	ˈɛi̯	0.296
ˈaʊ̯	ˈyː	0.096
ˈaʊ̯	ˈœy̯	0.476
ˈu	ˈɑ	0.126
ˈɑ	ˈɛ	0.166
ˈɝ	ˈɛ	0.316
ˈɝ	ɾ	0.356
ˈʌɪ̯	ˈɛ	0.06
d	d̥	0.407
f	v̥	0.187
z	s	0.07
ɚ	-	0.067
ʔ	t	0.817
ˈaʊ̯	ˈɔ	0.087
ˈaʊ̯	ˈu	0.297
ˈɝ	ˈɔ	0.327
ˈɪ	ˈɛ	0.127
i	i	0.098
oʊ̯	ə	0.28
ˈeɪ̯	ˈeː	0.098
ˈi	ˈaː	0.148
ˈu	ˈɑu̯	0.078
ˈæ	ˈɛ	0.078
ˈɑ	ˈaː	0.268
ˈɔ	ˈɔ	0.08
ˈɔ	ʋ	0.08
ˈɛ	ˈaː	0.108
ˈɪ	ɪ	0.058
θ	d̥	0.308
i	-	0.159
j	χ	0.519
tʰ	b	0.109
z	z	0.79
ə	ˈɛ	0.089
ɹ	ɾ	0.909
ˈaɪ̯	ˈi	0.149
ˈɑ	ˈɔ	0.19
ˈɔ	ˈoː	0.459
ˈɛ	ˈɛ	0.19
ˈɪ	ˈʏ	0.139
ˈʌɪ̯	ˈɪ	0.469
