Zeelandic	Zeelandic	probability
ˈʊə̯_ɾ	ˈu_r	1.0
ˈʊə̯	ˈɑu̯	1.0
ˈɪ_k	ˈe_k	1.0
ˈɒː	ˈɑ	1.0
ˈɑu̯	ˈɑ_l	1.0
ˈɑ_n	ˈɑ_n	1.0
ˈɑ	ˈɑ	1.0
ˈøː	ˈu	1.0
ˈuː	ˈɔː	1.0
ˈiːə̯	ˈe_xʷ	1.0
ʋ_ˈeː	w_ˈi	1.0
ə_ɾ	r	1.0
ə_ɫ	l_ɑ	1.0
ə_v̥	β_ɑ	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z̥	s	1.0
z	s	1.0
x_t	x_t	1.0
w	w	1.0
s_x	s_k	1.0
m	m	1.0
l	l	1.0
iː	e	1.0
b	b	1.0
<#_ˈɔ	<#_ˈu	1.0
<#_ˈɑ	<#_ˈɑ	1.0
<#_ˈoː	<#_ˈu	1.0
<#_ɫ	<#_l	1.0
<#_x	<#_ɣ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#	<#_x	1.0
t	t	0.941
ˈʏ	ˈu	0.857
p	p	0.857
ʋ	w	0.826
ɾ	r	0.822
v	ɸ	0.821
n	n	0.818
ˈɪ	ˈi	0.8
ˈæi̯	ˈɑi̯	0.8
ˈɔ	ˈu	0.789
ˈyː	ˈuː	0.786
ˈɪə̯	ˈɑi̯	0.769
s	s	0.75
ɫ	l	0.719
ˈeː	ˈe	0.714
ɾ_#>	r_#>	0.692
k	k	0.619
ˈu	ˈu	0.6
ˈæ	ˈe	0.538
ə_n	n_ɑ	0.5
ə_n	n	0.5
d	d	0.485
x	ɣ	0.474
ˈi	ˈiː	0.467
ˈæ	ˈɑ	0.462
d	θ	0.455
ˈiː	ˈeu̯	0.444
v̥	ɸ	0.429
#>	ɑ̃_#>	0.406
ˈu	ˈɔː	0.4
ˈi	ˈi	0.4
ˈɛː	ˈɛː	0.36
#>	z_#>	0.335
ˈɛː	ˈɑ	0.32
ɾ_#>	#>	0.308
d̥	ð	0.3
ˈeː	ˈɑ	0.286
ə	ɑ_n	0.286
v̥	β_ɑ	0.286
v̥	β	0.286
k	ɡ	0.286
x	ɣ_ɑ	0.263
x	ɣ_j	0.263
s	s_k	0.25
ˈɪə̯	ˈe	0.231
ˈɔ	-	0.211
ˈɪ	-	0.2
ˈæi̯	jː	0.2
d̥	θ	0.2
#>	ɑ_z_#>	0.2
v	β	0.179
ʋ	xʷ	0.174
ˈiː	ˈiu̯	0.167
ˈiː	ˈe	0.167
ˈiː	-	0.167
d̥	d_ɑ	0.167
ˈʏ	ˈĩː	0.143
ˈyː	-	0.143
p	pː	0.143
ˈi	ˈi_j	0.133
d̥	ð_ɑ	0.133
d̥	d	0.133
ə	u	0.131
ˈɛː	ˈɑː	0.12
ˈɛː	ˈe	0.12
ə	ɔ̃ː	0.119
ə	ɔː	0.119
n	nː	0.114
k	kʷ	0.095
ɫ	ɑ_l	0.094
ɫ	lː	0.094
ɫ	l_ɑ	0.094
ɾ	r_ɑ	0.089
ə	ɔːː	0.083
ə	ɑ	0.083
ˈɛː	ˈɑ_x	0.08
ˈyː	wː	0.071
d̥	θ_ɑ	0.067
d	-	0.061
t	tː	0.059
#>	s_#>	0.059
ˈiː	ˈeː	0.056
