Swedish	East Frisian Low Saxon	probability
ˈɪ	ˈɪ	1.0
ˈɛː_d	ˈeːe̯	1.0
ˈœː	ˈøː	1.0
ˈæ	h_ˈɑː	1.0
ʊ	-	1.0
ʈː	ɐ_t	1.0
ʈ	t	1.0
ʂ	ˈœ_s	1.0
ɵ	-	1.0
ɪ	-	1.0
ɡː	ɣ̊	1.0
ɡ_ɛ	ɡ	1.0
ɡ_l	ɫ	1.0
ɖ	ɐ_d̥	1.0
ɔ	ɑɪ̯	1.0
ŋː	ŋ	1.0
ŋ	-	1.0
tʰ	d	1.0
t_a	t_n	1.0
t	t	1.0
sː	z_n	1.0
rː	-	1.0
r_a	ɐ	1.0
pː	p	1.0
pʰ	p	1.0
p	p	1.0
nː	n	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
jː	ɡ	1.0
h	h	1.0
f	f	1.0
d_ɛ	ɐ	1.0
b	b	1.0
ˈiː	ˈiː	0.93
a	n	0.875
d	d̥	0.827
k	k	0.806
ˈɛː	-	0.741
ɕ	k	0.735
tː	t	0.719
ɛ	ɐ	0.712
v	v	0.709
ˈyː	-	0.695
kː	k	0.663
ˈʊ	ˈʊ	0.649
ˈœ	-	0.626
ˈɵ	ˈʊ	0.598
ˈæː	-	0.596
ˈa	ˈɑ	0.57
r	ɐ	0.568
ɳ	ɐ_n	0.567
ɧ	s_k	0.558
ˈuː	ˈɑʊ̯	0.556
s	s	0.544
ˈɑː	ˈɒː	0.542
ˈeː	ˈæɪ̯	0.54
ɡ	ɡ	0.54
ˈɔ	-	0.5
ˈoː	ˈɒː	0.461
ɡ	ɣ̊	0.46
s	z	0.456
ˈøː	ˈoː	0.444
ɧ	z	0.442
ɳ	ɐ	0.433
j	-	0.421
r	r	0.413
ˈæː	ˈeː	0.404
ˈɵ	-	0.402
ˈʊ	ˈœːy̯	0.351
ˈøː	-	0.343
kː	ŋ_k	0.337
ˈʉː	ˈuː	0.332
ˈeː	-	0.329
ˈɔ	ˈoː	0.326
j	ɡ	0.313
ˈyː	ˈæɪ̯	0.305
ˈuː	ˈoː	0.304
ˈʏ	ˈʏə̯	0.301
ˈʏ	-	0.297
ˈʉː	-	0.295
ɛ	-	0.288
tː	χ_t	0.281
ˈɛ	ˈɛ	0.268
ɕ	d	0.265
ˈɛː	ˈɛ	0.259
ˈʉː	ˈæɪ̯	0.252
ˈœ	ˈøː	0.24
ˈɑː	-	0.234
ˈoː	ˈɔː	0.225
ˈɑː	ˈɑ	0.223
ˈʏ	ˈʏ	0.201
ˈʏ	ˈyː	0.201
k	χ	0.194
ˈɛ	-	0.181
ˈɔ	ˈɔ	0.174
d	d	0.173
ˈøː	ˈœy̯	0.171
ˈa	ˈɑː	0.166
v	w	0.164
ˈoː	ˈøː	0.157
ˈoː	-	0.156
ˈɛ	ˈɪ	0.154
ˈuː	ʊ	0.14
ˈa	ˈɑːɑ̯	0.137
ˈœ	ˈɔ	0.134
j	l	0.133
j	d	0.133
ˈeː	n	0.132
a	ɐ	0.125
ˈʉː	ˈøː	0.121
ˈɛ	ˈʏ	0.11
ˈɛ	ˈeː	0.11
ˈɛ	ˈɑ	0.108
ˈa	ˈɒː	0.098
ˈiː	ˈiːi̯	0.07
ˈɛ	ˈæɪ̯	0.069
v	-	0.06
