Nynorsk Norwegian	Nynorsk Norwegian	probability
ˈʉː_#>	ˈuː_#>	1.0
ˈɑ_nː	ˈoː	1.0
ˈœ	-	1.0
ˈøː_t	ˈiː_s	1.0
ˈøː	ˈiː	1.0
ˈæː	ˈɛ	1.0
ˈæʉ̯_#>	ˈuː_d̥_#>	1.0
ˈæʉ̯	ˈaː	1.0
ˈæɪ̯	ˈaː	1.0
ˈæ	ˈɛ	1.0
ˈuː_ɾ	ɐ_d̥	1.0
ˈuː	ˈuː	1.0
ˈoː_#>	ˈiː_n_#>	1.0
ʰpː	ˈɒ_f	1.0
ʰkː	ɡ̊	1.0
ʋ_ɑ	m	1.0
ʋ_e	β	1.0
ʋ_#>	b̥_#>	1.0
ɾ_n	ɐ_n	1.0
ɾ_e	ɐ	1.0
ɾ_#>	#>	1.0
ɲ	ŋ	1.0
ɡ_ɑ	ŋ	1.0
ɛ	-	1.0
ə_ɾ	ɐ	1.0
ə	-	1.0
ɑ_#>	#>	1.0
ŋː	ŋ	1.0
ŋ	i_ç	1.0
v	v	1.0
tː	ʦ	1.0
t_#>	s_#>	1.0
sː	n_s	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
s_e	s	1.0
s_#>	s_#>	1.0
pʰ	b̥͡v̥	1.0
p_#>	f_#>	1.0
p	f	1.0
nː_ɑ	n_a	1.0
nː_#>	n_d̥_#>	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
l_#>	l_#>	1.0
l	l	1.0
kʰ	ɡ̊	1.0
k_ˈɑ	ˈa	1.0
k_e	n	1.0
jː	ŋ	1.0
j_ɑ	ŋ	1.0
h	h	1.0
f	f	1.0
e_ɡ	ɪ	1.0
e_n	eː	1.0
b	b̥	1.0
<#_ˈɑ	<#_ˈɒ	1.0
<#_ɾ	<#_r	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
d	d̥	0.909
ˈɑ	ˈɒ	0.875
ʋ	v	0.842
ˈɪ	ˈɪ	0.818
ˈoː	ˈoː	0.75
ɑ	n	0.737
ʂ	ʃ	0.7
ˈiː	ˈaɪ̯	0.688
ˈɛ	ˈɛ	0.667
ˈœʏ̯	-	0.667
ˈɑː	ˈoː	0.625
tʰ	d̥	0.625
k	x	0.625
t	z̥	0.6
n	n	0.6
<#	<#_v	0.6
e	-	0.591
ˈʉː	ˈaʊ̯	0.588
ˈʏ	ˈɪ	0.583
ɡ	ç	0.545
ɾ	ɐ	0.512
ˈʊ	ˈɔ	0.5
ˈʊ	-	0.5
ˈyː	ˈiː	0.5
ˈyː	ˈaɪ̯	0.5
ɡː	ɡ̊_n	0.5
ɡː	ɡ̊	0.5
lː	l_d̥	0.5
lː	l	0.5
j	-	0.5
s	s	0.485
ɡ	x	0.455
ˈʉ	ˈʊ	0.438
ç	ɡ̊	0.4
ç	d̥	0.4
n	-	0.4
ɾ	r	0.39
tʰ	ʦ	0.375
k	ç	0.375
#>	n_#>	0.375
#>	a_#>	0.375
ˈœʏ̯	ˈɛː	0.333
ʰtː	d̥	0.333
s	ʃ	0.333
ˈʉ	ˈɔ	0.312
ˈeː	ˈiː	0.308
ˈɔ	ˈʊ	0.3
ˈɔ	-	0.3
ʂ	s	0.3
j	l	0.3
ˈʉː	ˈiː	0.294
ɑ	a	0.263
ˈʏ	-	0.25
ˈʉ	-	0.25
ˈɑː	ˈɒ	0.25
ˈoː	-	0.25
#>	b̥_#>	0.25
ˈeː	ˈeː	0.231
e	a	0.227
ʰtː	ç_d̥	0.222
ʰtː	x_d̥	0.222
ʰtː	s	0.222
ˈɛ	ˈaɪ̯	0.2
ˈɔ	ˈuː	0.2
ˈɔ	x	0.2
ç	t	0.2
t	ʦ	0.2
t	d̥	0.2
j	ɡ̊	0.2
<#	<#_ˈɒ	0.2
<#	<#_j	0.2
ˈiː	ˈiː	0.188
ˈɪ	ˈiː	0.182
ˈʏ	ˈʊ	0.167
ʋ	f	0.158
ˈeː	ˈɛ	0.154
ˈeː	ɣ̊	0.154
ˈeː	-	0.154
ˈɛ	ˈɪ	0.133
ˈɑː	ˈɒː	0.125
ˈɑ	ˈoː	0.125
ˈiː	-	0.125
ˈʉː	-	0.118
ɾ	ɾ_ɐ	0.098
e	ɐ	0.091
e	n	0.091
d	-	0.091
s	ʃ_v	0.061
s	d̥	0.061
s	-	0.061
