Bellunese	Bellunese	probability
ˈɛ_ð	i	1.0
ˈɛ_s	ɛ	1.0
ˈɛ_r	ɛ_ʁ	1.0
ˈɛ_l	o	1.0
ˈɔ_ʧ	u	1.0
ˈɔ_t	ɥ_i	1.0
ˈɔ_s	o	1.0
ˈo_ɡ	ø	1.0
ˈo_ŋ	ɔ̃	1.0
ˈi_ŋ	ɛ̃	1.0
ˈe_ŋ	ɑ̃	1.0
ˈa_ŋ	ɛ̃	1.0
ˈa_r	e	1.0
ʧ_o	j	1.0
ʧ	k_l	1.0
ʤ	ɡ	1.0
ɲ	ɲ	1.0
z_a	z	1.0
w	-	1.0
v_o	f	1.0
u	-	1.0
t_a_#>	t_#>	1.0
t_#>	#>	1.0
s_e	t	1.0
s_#>	#>	1.0
r_ˈi	ʁ_i	1.0
p	p	1.0
o_#>	#>	1.0
m_a_#>	m_#>	1.0
m	m	1.0
l_a	l	1.0
l_#>	#>	1.0
k_ˈa	ʃ	1.0
k_w	k	1.0
k_a	ʃ	1.0
j_ˈe	j_ɛ	1.0
i_#>	#>	1.0
i	-	1.0
f	f	1.0
d_e	a	1.0
b	b	1.0
a_#>	#>	1.0
<#_ˈa	<#_a	1.0
<#_t	<#_t	1.0
<#_s	<#_e	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
<#	<#_ɡ	1.0
r	ʁ	0.9
l	l	0.846
θ	s	0.824
v	v	0.793
t	t	0.786
s	s	0.762
e	-	0.75
ð	ʒ	0.714
n	n	0.714
ˈɛ	ɛ	0.667
a	a	0.647
ˈɔ	ɔ	0.636
ˈu	y	0.625
d	d	0.625
j	l	0.583
k	k	0.577
ɡ	ɡ	0.571
ˈi	i	0.562
ŋ	ɑ̃	0.5
z	z	0.5
z	-	0.5
#>	i_#>	0.5
#>	e_#>	0.5
ɡ	-	0.429
k	ʃ	0.423
j	j	0.417
ˈo	œ	0.409
ˈa	ɛ	0.406
ˈu	u	0.375
d	-	0.375
ˈo	-	0.364
ˈa	a	0.344
ˈɛ	-	0.333
ˈi	-	0.312
o	u	0.3
ð	-	0.286
n	-	0.286
ˈe	ɛ	0.276
ˈe	w_a	0.276
ŋ	ɛ̃	0.25
ŋ	-	0.25
o	ɔ	0.25
s	-	0.238
a	-	0.235
t	-	0.214
ˈe	-	0.207
v	-	0.207
o	-	0.2
ˈɔ	u	0.182
ˈɔ	o	0.182
θ	-	0.176
ˈa	e	0.156
l	-	0.154
o	ʁ	0.15
ˈo	ɔ	0.136
ˈi	s_i	0.125
e	ə	0.125
e	a	0.125
a	ə	0.118
ˈe	w	0.103
o	ø	0.1
ˈa	-	0.094
ˈo	ɥ	0.091
ˈe	ɑ̃	0.069
ˈe	a	0.069
