Portuguese	Spanish	probability
b	b	0.914
b	-	0.057
d	d	1.0
ẽ	e_n	1.0
f	-	0.781
f	f	0.219
i	e	0.698
i	i	0.227
i	o	0.057
ĩ	i	1.0
j	j	0.352
j	e	0.191
j	-	0.186
j	ˈe	0.132
j	ʝ	0.125
j̃	ˈe_n	0.337
j̃	e	0.296
j̃	n	0.188
j̃	-	0.179
k	k	0.947
l	l	0.628
l	ʝ	0.329
m	m	1.0
n	n	0.787
n	ɲ	0.203
o	o	1.0
õ	o	1.0
p	p	0.949
p	β	0.051
s	s	0.498
s	θ	0.351
s	x	0.051
s	ɣ	0.051
t	t	0.681
t	n_t	0.201
t	ʧ	0.057
u	o	0.987
ũ	m	1.0
v	b	0.53
v	β	0.261
v	ˈe_β	0.087
w	w	0.441
w	l	0.294
w	ˈo	0.206
w	-	0.059
w̃	n_o	0.538
w̃	n	0.395
w̃	-	0.066
z	θ	0.645
z	s	0.355
ð	ð	0.979
ɐ	a	0.967
ɐ̃	e	0.557
ɐ̃	ɾ	0.32
ɐ̃	m	0.074
ɔ	o	1.0
ɡ	ɡ	1.0
ɣ	ɣ	0.942
ɨ	e	0.742
ɨ	-	0.149
ɨ	i	0.056
ɫ	l	1.0
ɲ	n	0.607
ɲ	ɲ	0.262
ɲ	ŋ_ɡ	0.13
ɾ	ɾ	0.975
ʁ	r	0.892
ʁ	ɾ	0.108
ʃ	s	0.549
ʃ	θ	0.188
ʃ	ɟ͡ʝ	0.142
ʃ	ˈe_θ	0.055
ʎ	x	0.92
ʎ	l	0.08
ʒ	θ	0.389
ʒ	x	0.284
ʒ	-	0.194
ʒ	ɟ͡ʝ	0.079
ʒ	ʝ	0.054
ˈa	ˈa	0.939
ˈa	-	0.061
ˈe	ˈe	0.762
ˈe	ˈi	0.119
ˈe	e_ˈe	0.077
ˈẽ	j_ˈe	0.501
ˈẽ	ˈe_n	0.202
ˈẽ	ˈe	0.151
ˈẽ	ˈi	0.089
ˈẽ	ˈa	0.057
ˈi	ˈi	0.913
ˈĩ	ŋ	0.457
ˈĩ	ˈi	0.392
ˈĩ	j	0.152
ˈo	ˈo	0.572
ˈo	w	0.373
ˈõ	ˈo_n	0.511
ˈõ	w	0.319
ˈõ	ˈu	0.097
ˈõ	ˈo	0.073
ˈu	ˈu	0.913
ˈu	ˈo	0.087
ˈũ	ˈu_n	0.781
ˈũ	ˈu	0.219
ˈɐ	ˈe	0.72
ˈɐ	ˈa	0.226
ˈɐ	-	0.054
ˈɐ̃	ˈa	0.346
ˈɐ̃	j	0.224
ˈɐ̃	ˈa_n	0.199
ˈɐ̃	ˈo	0.146
ˈɐ̃	ˈa_ŋ	0.085
ˈɔ	ˈo	0.475
ˈɔ	w	0.436
ˈɔ	ˈa	0.088
ˈɛ	j	0.843
ˈɛ	ˈi	0.107
ˈɨ	ˈe	1.0
β	β	0.912
β	p	0.088
