Western Lombard	Aragonese	probability
i	e	1.0
p	p	1.0
u	o	1.0
w	w	1.0
z	θ	1.0
ʃ	s	1.0
ˈaː	ˈa	1.0
ˈeː	ˈe	1.0
ˈẽː	-	1.0
ˈĩː	ˈi_n	1.0
ˈɛ̃ː	j_ˈe	1.0
a	e	0.051
a	a	0.911
d	d	0.411
ʦ	-	0.621
ˈa	ˈe	0.111
ˈãː	ˈa_n	0.811
ˈe	ˈe	0.701
ˈɛ	j_ˈe	0.691
b	b	0.862
j	-	0.12
l	l_o	0.072
n	n_w	0.062
r	-	0.072
s	s	0.582
t	t_o	0.342
ɲ	n	0.552
ʧ	θ	0.192
ˈu	ˈo	0.732
ˈyː	ˈo	0.352
d	ð	0.373
l	l	0.713
r	r	0.123
ɡ	ɣ	0.333
ˈy	ˈe	0.153
f	w	0.224
j	j	0.104
l	ʎ_o	0.124
s	s_o	0.064
s	θ	0.234
t	n_t	0.054
t	t	0.604
ʋ	β	0.334
ʧ	j	0.234
ʧ	-	0.574
ˈũː	ˈo_n	0.844
ˈø	w_ˈe	0.524
ˈɔ	ˈo	0.194
e	e	0.685
ˈøː	ˈe	0.465
ˈøː	-	0.535
ˈɛ	ˈe	0.25
f	f	0.776
m	m	0.966
r	ɾ_o	0.096
ʋ	b	0.666
ʤ	-	0.056
ʤ	ʧ	0.896
ˈi	ˈi	0.736
ˈũː	ŋ	0.156
ˈø	o	0.476
d	-	0.157
e	-	0.127
j	ʎ	0.117
k	k	0.847
ɡ	ɡ	0.667
ˈa	ˈa_ɾ	0.227
ˈa	ˈa	0.587
ˈe	j_ˈe	0.257
ˈi	ˈi_ʎ	0.107
ˈi	ˈi_ɾ	0.157
ˈy	ˈu	0.847
ˈɔ	ˈa	0.127
b	β	0.138
e	j	0.188
j	l	0.658
n	n	0.938
s	j_ʃ	0.058
ɲ	ɲ	0.448
ˈu	ˈu	0.218
ˈyː	ˈu	0.648
d	ʝ	0.059
k	ɣ_o	0.089
r	ɾ	0.699
ʦ	θ	0.379
ˈãː	ˈa	0.189
ˈɔ	w_ˈe	0.679
ˈɛ	ˈe_ɾ	0.059
