Proto-Germanic	Proto-Germanic	probability
β	v	1.0
ˈɑ_x	ˈɔ̯aː	1.0
ˈuː_z	ˈɪ_ɡ̊	1.0
ˈu_r	ɹ	1.0
ˈĩː	ˈa	1.0
ˈiː	ˈʊ̯iː	1.0
ˈiu̯	-	1.0
ˈeː	ˈeː	1.0
ɣ_ɑ	ɡ̊_v̥	1.0
ɡʷ	ʤ̊	1.0
ɡ_r	ɡ̊	1.0
ɛː	ɪ	1.0
ɔːː_#>	#>	1.0
ɔːu̯	a	1.0
ɔː	-	1.0
ɑ̃_#>	#>	1.0
ɑː	-	1.0
ɑ_z	ɹ	1.0
ɑ_n	a	1.0
ŋ_k	ʰk	1.0
z_#>	#>	1.0
z	ɹ	1.0
x_ˈe	j	1.0
x_t	ʰt	1.0
x_r	ɹ	1.0
wː	-	1.0
w_ɑ	ʊ	1.0
u_z	ɪ	1.0
tː	-	1.0
t_ɔː	ʰt͡n̥	1.0
t_s_#>	t_#>	1.0
sː	sː	1.0
s_ɔːː	ɹ_a	1.0
s_ɑ̃	s_ʊ	1.0
s_w	s	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r_ˈi	ɹ_ˈɛ	1.0
r_ɑ̃_#>	ʊ_ɹ_#>	1.0
r_n	t͡n̥	1.0
nː	nː	1.0
n_θ	nː	1.0
n_ɑ̃	a	1.0
n_#>	#>	1.0
mː	-	1.0
lː	t͡l̥	1.0
l_θ	t͡l̥	1.0
kː	ʰʧ	1.0
kʷ	kʰ	1.0
k_s	k	1.0
k_#>	#>	1.0
jː	ɡ̊ː	1.0
j	-	1.0
iː	-	1.0
b	b̥	1.0
a	-	1.0
<#_ɣ	<#_ɡ̊	1.0
<#_x	<#	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_ɹ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#	<#_ʧʰ	1.0
r	ɹ	0.956
ŋ	ŋ	0.923
d	d̥	0.92
s	s	0.882
m	m	0.862
ɸ	f	0.833
ɔ̃ː	a	0.833
l	l	0.833
ˈuː	ˈʉːu̯	0.8
n	n	0.8
ɡ	ɡ̊	0.778
x	h	0.769
ɑ	ʊ	0.761
ˈɛː	ˈɔ̯aː	0.75
t	t	0.733
u	ʊ	0.714
ˈɑu̯	ˈɛːi̯	0.667
<#_w	<#_v	0.667
p	p	0.625
<#_ˈu	<#_ˈʊ	0.6
#>	ɹ_#>	0.6
ˈi	ˈɪ	0.591
i	-	0.576
ɔːː	a	0.556
xʷ	-	0.556
k	k	0.556
ˈɔː	ˈɔːu̯	0.5
ɣ_j	ʤ̊ː	0.5
ɣ_j	ɡ̊ː	0.5
ð	-	0.5
w	v	0.5
w	-	0.5
e	ɪ	0.5
e	-	0.5
θ	tʰ	0.478
ɔːː	ɪ	0.444
xʷ	kʰ_v	0.444
ˈu	ˈʊ	0.417
<#_ˈu	<#_ˈɔ	0.4
#>	ʊ_ɹ_#>	0.4
ˈɑi̯	ˈai̯	0.389
p	ʰp	0.375
ˈeu̯	ˈɔːu̯	0.364
ˈɔː	ˈøː	0.333
ˈɑu̯	ˈɔːi̯	0.333
i	ʊ	0.333
<#_w	<#	0.333
ˈɑ	ˈa	0.316
ð	j	0.312
ɣ	ʤ̊	0.308
ɣ	ɡ̊	0.308
θ	-	0.304
u	-	0.286
ˈi	ˈiː	0.273
ˈeu̯	ˈʉːu̯	0.273
t	ʰt	0.267
ˈɛː	-	0.25
ˈɑ	ˈɛːa̯	0.246
ɣ	v	0.231
x	-	0.231
ˈɑi̯	ˈɛ	0.222
ˈɑi̯	ˈaːi̯	0.222
ɡ	ɡ̊_ʊ	0.222
ˈuː	-	0.2
ˈe	ˈeː	0.2
ˈu	ˈɔ	0.194
ð	w	0.188
ˈeu̯	j_ˈɔːu̯	0.182
ˈeu̯	-	0.182
ˈɔː	-	0.167
ˈɑi̯	ˈɔ̯aː	0.167
ɸ	v	0.167
ɔ̃ː	-	0.167
k	ʰk	0.167
k	ʧʰ	0.167
ɣ	-	0.154
ˈɑ	ˈɛ	0.14
ˈu	ˈɪ	0.139
ˈi	ˈʊ̯iː	0.136
ˈe	-	0.133
θ	w	0.13
ˈɑ	ˈɔ	0.123
ɑ	-	0.119
n	-	0.114
l	l̥	0.111
k	ʧ	0.111
ˈe	ˈʊ_ʤ̊ː	0.1
ˈe	ˈɛːa̯	0.1
ˈe	ˈoː	0.1
ˈe	j	0.1
i	ɪ	0.091
ɑ	a	0.09
θ	ʧʰ	0.087
n	n̥	0.086
ˈu	ˈœ	0.083
d	ʤ̊	0.08
s	ʃ	0.078
ŋ	ɲ	0.077
m	mː	0.069
m	-	0.069
ˈe	ˈɛ	0.067
ˈe	ˈœ	0.067
ˈe	ˈøː	0.067
ˈe	j_ˈœ	0.067
ˈu	ˈuː	0.056
ˈu	ˈiː	0.056
ˈu	-	0.056
l	t͡l̥	0.056
ˈɑ	ˈœ	0.053
ˈɑ	ˈeː	0.053
