Danish	Northern Low Saxon	probability
b̥	b	0.911
d̥	d	1.0
e	-	0.667
e	ɪ	0.333
f	f	0.974
h	h	0.958
i	ɪ	1.0
j	-	0.468
j	ɡ	0.14
j	x	0.13
j	ˈɛ	0.128
j	ç	0.051
jˀ	ˈoː	0.618
jˀ	ŋ	0.382
k	ɡ	0.79
k	k	0.129
k	-	0.08
kʰ	kʰ	0.871
kʰ	f	0.07
kʰ	d	0.059
l	l	0.802
l	ɡ_l	0.105
l	-	0.07
lˀ	l	0.494
lˀ	ɐ	0.188
lˀ	f	0.163
lˀ	l_d	0.155
m	m	1.0
mˀ	m	0.621
mˀ	f	0.379
n	n	0.869
n	-	0.118
nˀ	n	0.516
nˀ	n_d	0.407
nˀ	d	0.065
p	b	1.0
s	s	0.404
s	z	0.33
s	ʃ	0.226
t	t	0.472
t	x_d	0.181
t	-	0.118
t	ç	0.112
t	d	0.084
w	m	0.481
w	-	0.358
w	ɡ	0.101
w	i	0.061
wˀ	m	1.0
ð̞ˠ	d	0.923
ŋ	ŋ	0.498
ŋ	n	0.393
ŋ	ç	0.109
ŋˀ	ŋ	1.0
ɐ	ɐ	0.743
ɐ	-	0.248
ɐˀ	ɐ	0.437
ɐˀ	ɐ_d	0.361
ɐˀ	-	0.202
ə	-	0.604
ə	n	0.238
ə	ɐ	0.056
ə	m	0.056
ɡ̊	ɡ	0.828
ɡ̊	-	0.134
ʁ	r	0.827
ʁ	-	0.111
ʁ	b	0.062
ʋ	v	0.886
ʋ	-	0.1
ʦʰ	d	0.637
ʦʰ	tʰ	0.219
ʦʰ	-	0.077
ʦʰ	tʰ_v	0.068
ʨ	d	1.0
ˈa	ˈa	0.601
ˈa	ˈeː	0.141
ˈa	ˈoː	0.113
ˈa	ˈaː	0.107
ˈaː	ˈoː	1.0
ˈe	ˈɪ	0.885
ˈeˀ	ˈaɪ̯	0.585
ˈeˀ	ˈaʊ̯	0.102
ˈeˀ	ə	0.079
ˈeˀ	ˈɪ	0.071
ˈeˀ	ˈa	0.065
ˈeː	ˈaɪ̯	0.656
ˈeː	ˈa	0.344
ˈi	ˈiː	0.323
ˈi	ˈyː	0.323
ˈi	ˈaː	0.178
ˈi	ˈɛː	0.107
ˈi	ˈʏ	0.068
ˈiˀ	ˈiː	0.562
ˈiˀ	ˈeː	0.194
ˈiˀ	ˈɪ	0.17
ˈiˀ	ˈaɪ̯	0.073
ˈiː	ˈiː	0.608
ˈiː	ˈɛ	0.174
ˈiː	ˈaɪ̯	0.119
ˈiː	ˈeː	0.099
ˈo	ˈaʊ̯	0.717
ˈo	-	0.158
ˈo	ˈɔː	0.125
ˈoˀ	ˈaʊ̯	0.485
ˈoˀ	ˈaɪ̯	0.241
ˈoˀ	ˈuː	0.138
ˈoˀ	ˈøː	0.136
ˈoː	-	0.262
ˈoː	ˈɔ	0.194
ˈoː	ˈa	0.186
ˈoː	ˈøː	0.186
ˈoː	ˈaʊ̯	0.171
ˈu	ˈʊ	0.678
ˈu	ˈœː	0.22
ˈu	ˈuː	0.055
ˈuˀ	ˈuː	0.691
ˈuˀ	ˈoː	0.149
ˈuˀ	ˈyː	0.107
ˈuˀ	ˈeː	0.053
ˈuː	ˈuː	0.6
ˈuː	-	0.204
ˈuː	ˈaɪ̯	0.196
ˈy	ˈyː	0.593
ˈy	ˈɪ	0.212
ˈy	ˈʏ	0.195
ˈyˀ	ˈaɪ̯	0.476
ˈyˀ	ˈyː	0.269
ˈyˀ	ˈøː	0.105
ˈyˀ	ˈɪ	0.105
