Aromanian	Occitan	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_j	<#_v	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_t	<#_t	1.0
<#_u	<#_a_w	1.0
<#_v	<#_v	1.0
<#_ç	<#_f	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɲ	<#_m	1.0
<#_ʃ	<#_s	1.0
<#_ʤ	<#_ʤ	1.0
<#_ʦ	<#_s	1.0
<#_ʧ	s	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈu	<#_ˈy	1.0
a	-	1.0
b	β	1.0
e_#>	#>	1.0
i_d_e̯ˈa	j	1.0
i_m	m	1.0
i_n	e_n	1.0
j	-	1.0
k_#>	k_#>	1.0
l_#>	l	1.0
n_#>	#>	1.0
p_#>	p_#>	1.0
p_t_i	ʧ	1.0
r_#>	l_#>	1.0
r_i	ˈa_#>	1.0
r_i_#>	e_#>	1.0
r_u	ɾ_e	1.0
r_ˈi	ɾ_ˈi	1.0
s	s	1.0
s_t	s_t	1.0
u_#>	#>	1.0
v	w	1.0
w_#>	w_#>	1.0
w_ə_#>	w_#>	1.0
z_b	v	1.0
ŋ	ŋ	1.0
ə_t	a_ð	1.0
ɲ	ɲ	1.0
ʃ	ɾ	1.0
ʃ_t_i	j_s	1.0
ʎ	l	1.0
ʣ	-	1.0
ʤ	ʤ	1.0
ʦ_i_#>	ʦ_#>	1.0
ˈa_r_i_#>	ˈa_#>	1.0
ˈi_r_i_#>	ˈi_#>	1.0
ˈo_j	ˈu_s	1.0
ˈu_k	ˈu	1.0
ˈu_n	ˈu_n	1.0
ˈɨ	ˈa	1.0
ˈɨ_n	ˈa	1.0
e̯ˈa	-	0.111
e̯ˈa	ˈe	0.611
i_#>	e_#>	0.271
k	ɣ	0.111
k	ˈɛ	0.111
t	ð	0.161
ə	-	0.571
ˈe	ˈɛ	0.471
ˈo	ɥ_ˈɔ	0.231
#>	i_#>	0.2
l	l_ˈa	0.2
m	-	0.312
m	m	0.562
u	-	0.2
ə_#>	ɔ_#>	0.812
ˈi	ˈɛ	0.192
#>	e_#>	0.533
<#_a	<#_a	0.333
<#_ˈo	<#_ˈɔ	0.333
i	e_z	0.143
i	ˈɛ	0.143
i	w	0.143
k	-	0.333
l	w	0.133
o̯ˈa	ˈu	0.333
p	β	0.333
r	l	0.113
ˈe	ˈe	0.353
ˈu	ˈi	0.083
ˈu	ˈy	0.333
ˈu	ˈu	0.583
<#_s	<#_s	0.714
d	-	0.714
i	-	0.214
i_r	d_ɾ	0.4
k	k	0.444
l	l	0.4
n	n	0.724
ˈo	ˈu	0.154
<#	<#_a	0.25
<#	<#_k	0.25
<#	<#_p	0.5
<#_ʣ	<#_ʤ	0.5
<#_ʣ	<#_d	0.5
m	ɲ	0.125
o̯ˈa	ɥ_ˈɛ	0.25
r	-	0.075
r	r	0.415
t	t_#>	0.065
t	j_ɾ	0.065
ɡ	ɣ	0.5
ɡ	ɡ	0.5
ʦ_ˈi	ˈi	0.5
ʦ_ˈi	s_ˈi	0.5
ˈa	ˈɛ	0.185
ˈa	ˈa	0.815
ˈi	-	0.115
ˈi	ˈi	0.385
ˈo	ˈɔ	0.615
<#_s	<#_e	0.286
d	t	0.286
i_r	ɾ	0.6
r	ɾ	0.396
t	-	0.226
ˈe	j_ˈɛ	0.176
#>	s_#>	0.267
<#_a	<#	0.667
<#_ˈo	<#_ɥ	0.667
i	e	0.357
l	-	0.267
n	-	0.207
o̯ˈa	ˈɔ	0.417
p	-	0.667
t	n	0.097
t	ʧ	0.097
e̯ˈa	ˈɛ	0.278
i_#>	#>	0.688
u	u	0.8
ə_#>	#>	0.188
ˈi	ˈe	0.308
n	ŋ	0.069
t	t	0.29
ə	a	0.429
