Bellunese	Gascon	probability
p	p	1.0
u	y	1.0
ˈe	ˈe	1.0
ˈu	ˈy	1.0
d	ð	0.441
i	e	0.31
ɡ	ɣ	0.351
ˈi	ˈi	0.981
ˈɛ	ˈe	0.351
ˈɛ	ˈɛ	0.621
n	n	0.732
o	w	0.082
r	ɾ_ˈa	0.052
v	β	0.392
ŋ	ɲ	0.052
θ	s	0.762
a	ɔ	0.73
e	e	0.423
f	h	0.93
i	-	0.183
j	l	0.843
l	w	0.243
w	w	0.213
ð	ʒ	0.643
ɡ	ɡ	0.533
ɲ	n	0.223
ˈa	ˈa	0.933
ˈo	ˈu	0.723
ˈɔ	ˈa_w	0.173
l	t	0.334
n	nː	0.054
s	ʦ	0.094
t	t	0.904
ʧ	-	0.064
e	-	0.505
s	s	0.65
v	b	0.565
ŋ	n	0.055
ŋ	m	0.085
ˈo	ˈɔ	0.145
b	b	0.976
i	i	0.506
o	u	0.186
o	e	0.606
ɡ	k	0.06
ʧ	ʎ	0.936
a	a	0.17
f	e_h	0.07
j	ˈɛ	0.067
k	k	0.957
m	m	0.897
n	ŋ	0.187
s	e_s	0.177
w	-	0.787
ð	-	0.357
ɡ	-	0.057
ɲ	ɲ	0.777
ˈo	ˈy	0.097
s	j_ʃ	0.08
θ	-	0.238
a	-	0.079
d	d	0.559
l	l	0.379
m	-	0.059
o	-	0.099
r	r	0.429
r	ɾ	0.519
t	-	0.059
z	-	0.099
z	z	0.879
ŋ	-	0.069
ŋ	ŋ	0.739
ˈɔ	ˈu	0.059
ˈɔ	w_ˈe	0.219
ˈɔ	ˈɔ	0.549
