Old English	German	probability
a	-	1.0
b	b	0.99
bː	b	1.0
d	t	0.651
d	tʰ	0.262
dː	t	1.0
e	ə	0.561
e	ɐ	0.439
eo̯	-	1.0
f	f	0.793
f	p	0.195
h	h	0.945
h	-	0.055
i	ɪ	0.722
i	-	0.278
iː	ɪ	1.0
iːy̯	eː	1.0
j	ɡ	0.367
j	ç	0.217
j	k	0.204
j	j	0.111
j	-	0.101
k	kʰ	0.384
k	k	0.331
k	ç	0.174
k	x	0.062
kː	k	1.0
l	l	0.975
lː	l	1.0
l̥	l	1.0
m	m	0.971
mː	m	1.0
n	n	0.953
nː	n	1.0
o	ɐ	0.786
o	-	0.142
o	ə	0.072
p	f	0.704
p	p	0.15
p	p͡f	0.146
pː	f	0.914
pː	p͡f	0.086
r	ɐ	0.479
r	ʁ	0.435
r	-	0.087
rː	-	0.559
rː	ɐ	0.361
rː	k	0.08
r̥	ʁ	1.0
s	z	0.49
s	s	0.239
s	ʃ	0.212
t	s	0.483
t	ʦ	0.26
t	t	0.245
tː	ʦ	1.0
u	ə	0.804
u	-	0.196
v	b	0.668
v	f	0.225
v	p	0.062
w	v	0.817
w	-	0.151
x	x	0.54
x	ç	0.46
z	z	0.881
z	ʁ	0.119
ç	x	0.507
ç	ç	0.384
ç	-	0.109
ð	d	1.0
ŋ	ŋ	0.835
ŋ	ç	0.165
ɑ	ə	0.551
ɑ	-	0.448
ɡ	ɡ	0.68
ɡ	-	0.32
ɣ	ɡ	0.676
ɣ	k	0.191
ɣ	-	0.133
ɫ	l	0.926
ɫ	n	0.074
ʃ	ʃ	1.0
ʃː	ʃ	1.0
ʍ	v	1.0
ʤ	k	1.0
ʤː	ɡ	1.0
ʧ	kʰ	0.461
ʧ	ç	0.309
ʧ	x	0.23
ʧː	k	1.0
ˈe	ˈɛ	0.445
ˈe	ˈeː	0.235
ˈe	-	0.171
ˈe	ˈɛː	0.069
ˈe	ˈaː	0.051
ˈeo̯	ˈɛ	0.886
ˈeo̯	ˈeː	0.055
ˈeː	ˈyː	0.377
ˈeː	ˈiː	0.349
ˈeː	ˈuː	0.091
ˈeː	ˈa	0.082
ˈeː	ˈɪ	0.069
ˈeːo̯	ˈiː	0.555
ˈeːo̯	ˈɔʏ̯	0.161
ˈeːo̯	ˈaɪ̯	0.114
ˈi	ˈɪ	0.821
ˈi	ˈa	0.056
ˈiy̯	ˈa	0.451
ˈiy̯	ˈeː	0.411
ˈiy̯	ˈɪ	0.138
ˈiː	ˈaɪ̯	0.92
ˈiː	ˈʏ	0.08
ˈiːy̯	ˈøː	0.446
ˈiːy̯	ˈɔʏ̯	0.324
ˈiːy̯	ˈeː	0.17
ˈiːy̯	ˈɛː	0.06
ˈo	ˈɔ	0.627
ˈo	ˈyː	0.164
ˈo	ˈʊ	0.123
ˈo	ˈoː	0.053
ˈoː	ˈuː	0.519
ˈoː	ˈoː	0.245
ˈoː	ˈa	0.113
ˈoː	ˈʊ	0.07
ˈoː	ˈaː	0.053
ˈu	ˈʊ	0.495
ˈu	ˈɔ	0.213
ˈu	ˈoː	0.165
ˈu	ˈœ	0.081
ˈuː	ˈaʊ̯	0.697
ˈuː	ˈuː	0.141
ˈuː	ˈʊ	0.116
ˈy	ˈʏ	0.497
ˈy	ˈøː	0.254
ˈy	ˈʊ	0.213
ˈyː	ˈaʊ̯	0.273
ˈyː	ˈʏ	0.273
ˈyː	ˈɔʏ̯	0.262
ˈyː	ˈɔ	0.191
ˈæ	ˈaː	0.603
ˈæ	ˈa	0.354
ˈæɑ̯	ˈa	1.0
ˈæː	ˈaː	0.593
ˈæː	ˈaɪ̯	0.276
ˈæː	ˈeː	0.059
ˈæːɑ̯	ˈaʊ̯	0.307
ˈæːɑ̯	ˈoː	0.288
ˈæːɑ̯	ˈaː	0.268
ˈæːɑ̯	ˈɛː	0.077
ˈɑ	ˈa	0.89
ˈɑ	ˈaː	0.11
ˈɑː	ˈaɪ̯	0.657
ˈɑː	ˈeː	0.289
ˈɑː	ˈoː	0.055
ˈɛ	ˈɛ	1.0
θ	d	0.708
θ	t	0.224
