Québécois French	Québécois French	probability
ʦ	ʦ	1.0
ʣ	ʣ	1.0
ʒ	ʒ	1.0
ʏ	ʏ	1.0
ʊ	ʊ	1.0
ʃ	ʃ	1.0
ʁ_s	ʁ_s	1.0
ʁ_m	ʁ_m	1.0
ʁ	ʁ	1.0
ɲ	ɲ	1.0
ɪ	ɪ	1.0
ɥ	ɥ	1.0
ɡ	ɡ	1.0
ɛɪ̯	ɛɪ̯	1.0
ɛ	ɛ	1.0
ɔ	ɔ	1.0
ɒ̃ʊ̯̃	ɒ̃ʊ̯̃	1.0
ɑɔ̯	ɑɔ̯	1.0
ɑ	ɑ	1.0
œ̃ʏ̯̃	œ̃ʏ̯̃	1.0
œ	œ	1.0
øʏ̯	øʏ̯	1.0
æɛ̯	æɛ̯	1.0
z	z	1.0
y	y	1.0
w	w	1.0
v	v	1.0
u	u	1.0
t	t	1.0
s	s	1.0
p	p	1.0
oʊ̯	oʊ̯	1.0
o	o	1.0
n	n	1.0
m	m	1.0
l	l	1.0
k	k	1.0
j	j	1.0
i	i	1.0
f	f	1.0
ẽɪ̯̃	ẽɪ̯̃	1.0
e	e	1.0
d	d	1.0
b	b	1.0
ã	ã	1.0
aœ̯	aœ̯	1.0
a	a	1.0
