Middle High German	Eastphalian	probability
ˈɛ_h	ˈɛɪ̯	1.0
ˈɑː	ˈɒː	1.0
ˈøy̯	ˈøː	1.0
ˈæː	ˈɛɪ̯	1.0
ˈyə̯	ˈɔʏ̯	1.0
ˈuː	ˈuː	1.0
ˈoː	ˈeo̯	1.0
ˈeː	-	1.0
ʦː	-	1.0
ʦ	t	1.0
ʃː	ʃ	1.0
ɛ_h	ɒː	1.0
ə_r	ɐ	1.0
ə_l	l	1.0
ɑ	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
xː_ə	k	1.0
xː	k	1.0
v	f	1.0
tː	d	1.0
s̻ː	t	1.0
s̻	t	1.0
rː	ˈøː_ɣ	1.0
r_ə	ɐ	1.0
p͡f	p	1.0
p	p	1.0
oː	-	1.0
nː	n	1.0
n_ə	n	1.0
mː	-	1.0
m	m	1.0
l_ə	l_ə	1.0
l	l	1.0
kː	k	1.0
kʰ	k	1.0
k_ə	k	1.0
k	k	1.0
j	j	1.0
i	ɪ	1.0
h	h	1.0
fː	p	1.0
f_ə	b	1.0
d̥	d̥	1.0
n	n	0.953
ˈi	ˈɪ	0.918
ə_n	n	0.917
ə	ə	0.857
ɡ̊	ç	0.845
ˈiə̯	ˈɛɪ̯	0.827
ˈuə̯	ˈaʊ̯	0.819
ˈiː	ˈiː	0.765
ˈei̯	ˈɛɪ̯	0.762
b̥	f	0.762
b	b	0.761
s	z	0.754
ˈou̯	ˈeo̯	0.732
w	v	0.727
d	d	0.722
f	p	0.717
ɡ_ə	ɡ	0.66
ˈɑ	ˈa	0.596
kː_ə	k	0.583
r	ɐ	0.579
ˈe	-	0.54
ʃ	ʃ	0.524
s_ə	z	0.519
x	x	0.503
ɡ	ɣ	0.5
x	ç	0.497
s_ə	z_ə	0.481
ʃ	s	0.476
ˈu	ˈʊ	0.469
ˈe	ˈɛ	0.46
ˈy	ˈʏ	0.456
kː_ə	ə	0.417
r	r	0.4
t	d	0.376
ˈyː	-	0.372
ˈo	-	0.368
ˈy	-	0.366
ˈyː	ˈyː	0.351
ˈo	ˈɔ	0.342
ɡ_ə	j	0.34
t	t	0.338
ɡ	j	0.328
ˈɛ	ˈeː	0.29
ˈo	ˈʊ	0.29
f	f	0.283
d	-	0.278
ˈyː	ˈʏ	0.277
ˈou̯	-	0.268
s	s	0.246
b	-	0.239
b̥	v̥	0.238
ˈɛ	ˈɛ	0.219
t	d̥	0.213
ˈɛ	ˈɛː	0.212
ˈei̯	ˈɪ	0.183
ˈuə̯	ˈʊ	0.181
ˈy	ˈoː	0.178
ˈiə̯	-	0.173
ɡ	ŋ	0.171
ˈu	ˈɔ	0.17
ˈɛ	ˈa	0.169
w	w	0.168
ˈɑ	ˈɒː	0.163
ɡ̊	ɣ̊	0.155
ˈu	ˈœ	0.125
ˈu	ˈoː	0.125
ə	ɪ	0.119
ˈiː	ˈɪ	0.118
ˈiː	-	0.118
ˈu	ˈʏ	0.112
ˈɛ	-	0.11
w	-	0.105
ə_n	m	0.083
ˈi	ˈɛ	0.082
ˈɑ	ˈɛː	0.076
ˈɑ	ˈaː	0.075
t	-	0.073
ˈei̯	ˈaɪ̯	0.055
ˈɑ	ˈɔ	0.054
