Faroese	Swabian	probability
a	a	0.577
a	-	0.403
b̥	b	0.982
d̥	d	0.972
f	f	0.856
f	b	0.074
f	-	0.07
h	h	0.937
h	-	0.063
j	-	0.876
j	h	0.094
k	x	0.726
k	ç	0.217
k	ɡ	0.057
kʰ	kʰ	0.71
kʰ	-	0.29
l	l	0.986
l̥	l	1.0
m	m	1.0
n	n	0.735
n	-	0.224
nː	n	0.46
nː	ˈao̯	0.345
nː	n_d	0.121
nː	-	0.074
n̥	a	0.4
n̥	n	0.23
n̥	ʌ	0.23
n̥	-	0.141
p	f	1.0
r	ʁ	0.689
r	-	0.311
s	s	0.669
s	ʃ	0.32
sː	s	1.0
t	ʕ	0.288
t	s	0.269
t	d	0.186
t	ʦ	0.17
t	-	0.071
tʰ	ʦ	0.463
tʰ	d	0.214
tʰ	b	0.19
tʰ	-	0.132
tː	p͡f	1.0
v	ʋ	0.455
v	b	0.248
v	-	0.146
v	f	0.076
v	d	0.059
w	-	0.541
w	ˈu	0.303
w	a	0.156
ŋ	ŋ	0.847
ŋ	-	0.118
ɑ	a	1.0
ə	ʌ	1.0
ɛ	ɪ	1.0
ɡ̊	ɡ	0.538
ɡ̊	-	0.462
ɡ̊ː	-	0.5
ɡ̊ː	ɡ	0.5
ɪ	-	0.922
ɪ	ɐ	0.078
ɲ	ŋ	1.0
ɹ	-	0.672
ɹ	ʕ	0.145
ɹ	ʌ	0.124
ɹː	ˈɔ	1.0
ʃ	ʃ	0.901
ʃ	s	0.099
ʈ	ʦ	1.0
ʊ	-	0.906
ʊ̯ˈiː	ˈəi̯	1.0
ʎ	l	1.0
ʤ̊	ɡ	0.384
ʤ̊	-	0.332
ʤ̊	d	0.284
ʤ̊ː	-	0.768
ʤ̊ː	ɡ	0.232
ʧ	x	0.673
ʧ	ç	0.163
ʧ	ɡ	0.163
ʧʰ	d	0.746
ʧʰ	kʰ	0.254
ʧː	n	1.0
ʰkː	ŋ_ɡ	0.8
ʰkː	ɡ	0.2
ʰp	f	0.749
ʰp	b̥͡f	0.251
ʰpː	f	1.0
ʰt	s	1.0
ʰtː	x	0.493
ʰtː	ʦ	0.246
ʰtː	ç	0.171
ʰtː	x_d	0.09
ʰʧ	t	1.0
ʰʧː	ɡ	1.0
ˈa	ˈa	0.707
ˈa	ˈae̯	0.099
ˈa	ˈe	0.081
ˈai̯	ˈae̯	0.868
ˈai̯	ˈɔe̯	0.132
ˈaːi̯	ˈɔe̯	1.0
ˈeə̯	ˈɛ	1.0
ˈeː	ˈɛ	0.392
ˈeː	ˈi	0.243
ˈeː	ˈa	0.193
ˈeː	ˈɛː	0.172
ˈiː	ˈi	0.571
ˈiː	ˈaː	0.15
ˈiː	ˈo	0.095
ˈiː	ˈɛː	0.095
ˈiː	ˈɪ	0.089
ˈoː	ˈɔ	0.9
ˈoː	ˈɔː	0.1
ˈuː	ˈoː	0.61
ˈuː	ˈeə̯	0.195
ˈuː	ˈɔ	0.195
ˈøː	ˈɛ	0.531
ˈøː	ˈuə̯	0.183
ˈøː	ˈiə̯	0.109
ˈøː	ˈeə̯	0.071
ˈøː	ˈɛː	0.056
ˈøː	ˈɔː	0.051
ˈœ	ˈi	0.259
ˈœ	ˈɛː	0.189
ˈœ	ˈɔ	0.173
ˈœ	ˈɛ	0.139
ˈœ	ˈuː	0.131
ˈœ	ˈe	0.063
ˈɔ	ˈaː	0.235
ˈɔ	ˈa	0.22
ˈɔ	ˈoː	0.158
ˈɔ	ˈɛ	0.123
ˈɔ	ˈeː	0.105
ˈɔ	ˈo	0.088
ˈɔ	ˈɔ	0.07
ˈɔːi̯	ˈoː	0.45
ˈɔːi̯	ˈae̯	0.368
ˈɔːi̯	ˈeː	0.182
ˈɔːu̯	ˈɔə̯	0.257
ˈɔːu̯	ˈiə̯	0.224
ˈɔːu̯	ˈi	0.201
ˈɔːu̯	ˈuə̯	0.127
ˈɔːu̯	-	0.12
ˈɔːu̯	ˈiː	0.072
ˈɔ̯aː	ˈɔː	0.2
ˈɔ̯aː	ˈo	0.19
ˈɔ̯aː	ˈoː	0.19
ˈɔ̯aː	-	0.102
ˈɔ̯aː	j	0.092
ˈɔ̯aː	ˈaː	0.071
ˈɔ̯aː	ˈao̯	0.064
ˈɛ	ˈa	0.28
ˈɛ	ˈɛ	0.267
ˈɛ	ˈɔe̯	0.118
ˈɛ	ˈeː	0.096
ˈɛ	ˈae̯	0.066
ˈɛ	ˈi	0.066
ˈɛːa̯	ˈa	0.371
ˈɛːa̯	ˈaː	0.157
ˈɛːa̯	ˈi	0.14
ˈɛːa̯	ˈiː	0.14
ˈɛːa̯	ˈɔː	0.059
