Faroese	Swabian	probability
a	a	0.474
a	-	0.459
a	ʌ	0.033
a	ɪ	0.033
b̥	b	1.0
d̥	d	1.0
d̥_ʊ	d	1.0
f	f	0.777
f	-	0.115
f	f_ʁ	0.1
h	h	1.0
j	-	0.807
j	ə	0.105
j	l	0.083
k	ç	0.57
k	x	0.278
k	ɡ	0.096
kʰ	kʰ	0.559
kʰ	ʋ	0.258
kʰ	ʁ	0.107
kʰ	-	0.053
l	l	1.0
l_ʊ	l	1.0
l̥	l	1.0
m	m	1.0
n	n	0.659
n	-	0.334
nː	n_d	0.351
nː	ˈao̯	0.187
nː	-	0.157
nː	n	0.15
n̥	a	0.416
n̥	ʌ	0.155
n̥	-	0.155
n̥	n	0.115
p	f	1.0
r	ˈae̯	0.491
s	s	0.614
s	ʃ	0.351
s	ç	0.035
s_k	ʃ	1.0
sː	s	1.0
t	d	0.39
t	s	0.182
t	ʕ	0.172
t	ʦ	0.097
t	-	0.079
t_ʊ	s	1.0
tʰ	ʦ	0.604
tʰ	d	0.351
tː	b	1.0
v	ʋ	0.42
v	-	0.262
v	b	0.168
v	f	0.094
v	x	0.047
v_ʊ	ɡ	0.484
v_ʊ	f	0.32
v_ʊ	b	0.148
w	-	0.752
w	a	0.242
ŋ	ŋ	0.715
ŋ	-	0.138
ŋ	i	0.138
ə	ʌ	0.491
ɛ	ɪ	1.0
ɡ̊	ɡ	0.55
ɡ̊	-	0.447
ɪ	-	0.898
ɪ	ɐ	0.093
ɪ_ɹ	ʌ	1.0
ɲ	ŋ	0.491
ɹ	-	0.64
ɹ	ʁ	0.196
ɹ	ʕ	0.109
ɹ	d_ʌ	0.047
ɹ_a	ʕ	1.0
ɹː	ˈɔ	0.241
ʃ	ʃ	1.0
ʈ	ʦ	1.0
ʊ	-	0.96
ʊ	a	0.032
ʊ	e	0.031
ʊ_ɹ	ʌ	1.0
ʊ̯ˈiː	ˈəi̯	0.491
ʎ	l	0.241
ʤ̊	-	0.487
ʤ̊	ɡ	0.279
ʤ̊	d	0.219
ʤ̊_a	a	1.0
ʧ	ɡ	0.574
ʧ	ç	0.282
ʧʰ	d	0.683
ʧʰ	kʰ	0.221
ʧː	n	1.0
ʰkː	ɡ	0.45
ʰkː	ŋ_ɡ	0.335
ʰp	f	0.574
ʰp	b̥͡f	0.282
ʰt	s	1.0
ʰtː	x	0.517
ʰtː	ç	0.192
ʰtː	x_d	0.125
ʰʧ	t	1.0
ˈa	ˈa	0.661
ˈa	ˈɔː	0.07
ˈa	ˈaː	0.07
ˈa	ˈəi̯	0.06
ˈa	-	0.059
ˈai̯	ˈae̯	0.66
ˈai̯	ˈɔe̯	0.159
ˈai̯_n	ˈɔe̯	1.0
ˈaːi̯	ˈɔe̯	1.0
ˈeə̯	ˈɛ	0.491
ˈeː	ˈɛː	0.325
ˈeː	ˈi	0.283
ˈeː	ˈɛ	0.246
ˈeː	ˈa	0.11
ˈiː	ˈi	0.474
ˈiː	ˈɛː	0.206
ˈiː	ˈɪ	0.133
ˈiː	ˈaː	0.094
ˈoː	ˈao̯	0.372
ˈoː	ˈɔː	0.183
ˈuː	ˈoː	0.392
ˈuː	ˈɔ	0.221
ˈuː	ˈeə̯	0.221
ˈøː	ˈɛ	0.351
ˈøː	ˈiə̯	0.232
ˈøː	ˈɛː	0.131
ˈøː	ˈeə̯	0.092
ˈøː	ˈɔː	0.088
ˈœ	ˈɛ	0.21
ˈœ	ˈuː	0.139
ˈœ	ˈao̯	0.139
ˈœ	ˈe	0.139
ˈœ	ˈɛː	0.097
ˈɔ	ˈa	0.26
ˈɔ	ˈo	0.193
ˈɔ	ˈaː	0.155
ˈɔ	ˈoː	0.127
ˈɔ	ˈeː	0.127
ˈɔːi̯	ˈae̯	0.24
ˈɔːi̯	ˈoː	0.24
ˈɔːi̯	ˈeː	0.155
ˈɔːu̯	ˈuə̯	0.254
ˈɔːu̯	ˈu	0.168
ˈɔːu̯	ˈiː	0.168
ˈɔːu̯	ˈi	0.118
ˈɔːu̯	ˈiə̯	0.118
ˈɔːu̯_w	ˈuə̯	1.0
ˈɔ̯aː	ˈɔː	0.295
ˈɔ̯aː	ˈaː	0.257
ˈɔ̯aː	ˈeː	0.147
ˈɔ̯aː	ˈao̯	0.107
ˈɔ̯aː	ˈo	0.103
ˈɛ	ˈɛ	0.289
ˈɛ	ˈa	0.214
ˈɛ	ˈeː	0.123
ˈɛ	ˈɪ	0.094
ˈɛ	ˈi	0.094
ˈɛːa̯	ˈa	0.686
ˈɛːa̯	ˈaː	0.122
ˈɛːa̯	ˈɔː	0.083
ˈɛːa̯	ˈɛ	0.066
ˈɛːi̯	ˈao̯	0.596
ˈɛːi̯	ˈɔe̯	0.155
