Icelandic	Saterland Frisian	probability
a	ə	0.874
a	-	0.126
aːu̯	i	1.0
b̥	b	0.99
c	k	1.0
cʰ	s	0.89
cʰ	k	0.11
d̥	d	0.895
d̥	-	0.083
f	f	0.974
h	h	0.943
h	k	0.057
i	-	1.0
j	-	0.676
j	j	0.306
k	k	1.0
kʰ	k	0.674
kʰ	-	0.326
l	l	0.88
l	ə_l	0.071
l̥	l	1.0
m	m	0.916
m	w	0.055
n	n	0.945
n	-	0.055
nː	n	0.867
nː	ˈuː	0.133
n̥	ə_n	0.423
n̥	n	0.269
n̥	ə	0.245
n̥	-	0.062
p	p	0.927
r	r	0.94
rː̥	x	1.0
r̥	-	0.744
r̥	r	0.219
s	s	0.945
sː	s	1.0
t	t	0.767
t	-	0.233
tʰ	t	1.0
u	-	0.5
u	ɪ	0.5
v	v	0.674
v	-	0.11
v	w	0.07
x	-	0.794
x	k	0.206
ç	h	0.975
ð	d	0.634
ð	-	0.259
ð	t	0.107
ŋ	ŋ	0.795
ŋ	-	0.16
ɑu̯	ə	1.0
ɛ	-	1.0
ɛː	-	1.0
ɟ̊	ɣ	0.746
ɟ̊	ŋ	0.136
ɟ̊	j	0.119
ɟ̊ː	x	0.663
ɟ̊ː	z	0.337
ɡ̊	-	0.362
ɡ̊	x	0.272
ɡ̊	ɣ	0.238
ɡ̊	k	0.092
ɡ̊ː	-	0.788
ɡ̊ː	x	0.212
ɣ	-	0.469
ɣ	ɣ	0.408
ɣ	k	0.101
ɪ	ə	0.701
ɪ	-	0.173
ɪ	r	0.126
ɲ	ˈʊ	1.0
ʏ	-	0.885
ʏ	ə	0.104
ʰk	ŋ_k	0.632
ʰk	k	0.368
ʰp	p	1.0
ʰt	x	0.656
ʰt	t	0.344
ˈa	ˈoːu̯	0.195
ˈa	ˈiː	0.171
ˈa	ˈɛɪ̯	0.123
ˈa	ˈoː	0.119
ˈa	ˈɔː	0.094
ˈa	ˈɔ	0.094
ˈa	ˈɛː	0.085
ˈa	ˈaː	0.075
ˈai̯	ˈyː	0.542
ˈai̯	ˈɔ	0.279
ˈai̯	ˈaːi̯	0.089
ˈai̯	ˈɛɪ̯	0.089
ˈau̯	ˈʊ	0.358
ˈau̯	ˈɛ	0.3
ˈau̯	ˈoː	0.274
ˈau̯	-	0.067
ˈaː	ˈɔː	0.347
ˈaː	ˈɛ	0.19
ˈaː	ˈɛː	0.186
ˈaː	ˈaːi̯	0.107
ˈaː	ˈɔ	0.107
ˈaː	ˈeː	0.064
ˈaːi̯	ˈɛɪ̯	0.496
ˈaːi̯	ˈaː	0.317
ˈaːi̯	ˈoːu̯	0.11
ˈaːi̯	ˈa	0.078
ˈaːu̯	ˈoː	0.822
ˈaːu̯	ˈoːu̯	0.178
ˈeːi̯	ˈeː	1.0
ˈi	ˈɪ	0.651
ˈi	ˈuː	0.159
ˈi	j	0.15
ˈiː	ˈi	0.34
ˈiː	ˈɛɪ̯	0.217
ˈiː	-	0.158
ˈiː	ˈiː	0.146
ˈiː	ˈuː	0.063
ˈou̯	ˈœː	0.388
ˈou̯	ˈeː	0.306
ˈou̯	ˈoːu̯	0.306
ˈoːu̯	ˈeː	0.244
ˈoːu̯	ˈoːu̯	0.218
ˈoːu̯	ˈaːu̯	0.161
ˈoːu̯	ˈʊ	0.123
ˈoːu̯	ˈoː	0.09
ˈoːu̯	ˈɛɪ̯	0.076
