Bulgarian	Slovak	probability
<#	<#_j	1.0
<#_k	<#_k	1.0
<#_m	<#_m	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_x	<#_x	1.0
<#_z	<#_z	1.0
<#_ɡ	<#_ɦ	1.0
<#_ʃ	<#_ʃ	1.0
<#_ʒ	<#_ʒ	1.0
<#_ʧ	<#_ʧ	1.0
<#_ˈɔ	<#_ˈɔ	1.0
b	b	1.0
j_ɐ	ˈi_c	1.0
k	k	1.0
l	l	1.0
l_ˈɛ	ʎ	1.0
m	m	1.0
m_#>	m_#>	1.0
n_#>	ɲ_#>	1.0
o	ˈɔ	1.0
o_#>	ɔ_#>	1.0
p_#>	p_#>	1.0
r	r	1.0
r_#>	r_#>	1.0
r_ˈɤ	ˈr̩	1.0
s	s	1.0
s_#>	s_#>	1.0
v	ʋ	1.0
vʲ_ˈa	ʋ_ˈɛ	1.0
x_#>	x_iː	1.0
z	z	1.0
ɐ_#>	a_#>	1.0
ɐ_k	k_iː	1.0
ɛ_n	n_iː	1.0
ɡ	ɦ	1.0
ɫ_ˈa	ɫ_ˈa	1.0
ʃ	ʃ	1.0
ʦ	ʦ	1.0
ˈa_ɫ	ˈɛ_ɫ	1.0
ˈɔ_#>	ɔ_#>	1.0
ˈɛ_#>	ɛ_#>	1.0
ˈɤ_r	ˈr̩	1.0
ˈɤ_ɫ	ˈɫ̩	1.0
<#_t	<#_c	0.571
t_#>	t_#>	0.471
ɛ	ˈɛ	0.471
k_#>	iː	0.2
ɐ	ɛ	0.182
ɐ	a	0.182
ɐ	c	0.182
ɐ	ɔ	0.182
<#_d	<#_ɟ	0.333
k_#>	x_#>	0.3
n	ɛ_n	0.333
t	t	0.833
ɐ	-	0.273
ɛ	ɛ	0.353
ˈa_#>	ˈa_#>	0.143
ˈi	ˈi	0.583
ˈɛ	-	0.143
ˈɛ	ˈa	0.143
<#_n	<#_ɲ	0.4
ɫ	l	0.364
ɫ_#>	ɫ_#>	0.4
ˈa	ɪ̯ˈɛ	0.364
ˈɛ	ɛ	0.214
ˈɤ	ˈu	0.4
<#_p	<#_f	0.25
<#_p	<#_p	0.75
<#_v	<#_v	0.5
<#_v	<#_ʋ	0.5
d	ɟ	0.25
d	d	0.75
f	v	0.5
f	ʋ_#>	0.5
k_#>	k_#>	0.5
lʲ_ˈa	l_ɪ̯ˈɛ	0.5
lʲ_ˈa	l	0.5
ˈi	-	0.25
ˈɛ	ˈɛ	0.5
<#_n	<#_n	0.6
ɛ	ɪ̯ˈɛ	0.176
ɫ	ɫ	0.636
ɫ_#>	ʎ_#>	0.6
ˈa	ˈa	0.636
ˈɤ	-	0.6
<#_d	<#_d	0.667
n	n	0.667
t	c	0.167
ˈa_#>	a_#>	0.857
ˈi	i	0.167
ˈɔ	ʊ̯ˈɔ	0.167
ˈɔ	-	0.167
ˈɔ	ˈɔ	0.667
<#_t	<#_t	0.429
t_#>	c_#>	0.529
