North Frisian	Icelandic	probability
b	b̥	0.898
b	ʰp	0.057
b	-	0.047
d	ð	0.474
d	d̥	0.296
d	θ	0.102
d	t	0.036
d	ʰt	0.036
dʲ	ð	0.717
dʲ	ð_ʏ	0.272
f	f	0.932
f	ç	0.054
f	kʰ	0.028
h	h	0.777
h	ç	0.151
h	-	0.064
i	-	0.168
i	ɛː	0.165
i	u	0.165
i	ʏ	0.155
i	i	0.102
j	j	0.189
j	ɡ̊	0.189
j	-	0.178
j	ɟ̊	0.112
j	rː̥	0.074
k	k	0.391
k	kʰ	0.222
k	c	0.132
k	-	0.1
k	ɣ	0.066
l	l	0.575
l	l̥	0.313
l	-	0.052
l	l_ʏ	0.036
l	l̥_ʏ	0.029
l_ə	l	0.468
lʲ	l̥	0.478
lʲ	l	0.195
lʲ	l_d̥	0.17
m	m	0.597
m	m_ʏ	0.344
m	p	0.054
n	n	0.504
n	n̥	0.211
n	-	0.165
n	nː	0.09
n	ʏ	0.031
nʲ	n	0.578
nʲ	-	0.276
nʲ	n̥	0.112
p	p_ʏ	0.392
p	p	0.211
p	ʰp	0.121
p	v	0.121
r	r	0.516
r	r̥	0.369
r	-	0.097
s	s	0.91
s	nː	0.037
s	sː	0.035
s	v	0.026
t	t	0.41
t	tʰ	0.158
t	-	0.13
t	r̥	0.088
t	θ	0.065
t_v	tʰ	1.0
tʲ	t_ʏ	0.879
tʲ	θ	0.078
v	v	0.716
v	-	0.196
v	p	0.045
v	f	0.04
w	j	0.574
w	ɣ	0.269
x	ʰt_ʏ	0.377
x	ʰt	0.329
x	s	0.148
x	-	0.102
z	t	0.457
z	s	0.263
z	ð	0.141
z	r	0.056
ŋ	ŋ	0.82
ŋ	ɲ	0.101
ŋ	-	0.072
ŋ_k	ʰk	1.0
ə	a	0.538
ə	-	0.168
ə	ɪ	0.153
ə	ʏ	0.067
ə	ɡ̊_ʏ	0.036
ə_l	l	1.0
ə_n	ʏ	1.0
ɡ	ɡ̊	0.761
ɡ	ɟ̊	0.233
ʃ	s_k	0.357
ʃ	c	0.357
ʃ	cʰ	0.174
ʃ	s	0.1
ˈa	ˈa	0.31
ˈa	ˈɛ	0.182
ˈa	ˈaː	0.164
ˈa	ˈɪː	0.124
ˈa	ˈai̯	0.063
ˈai̯	ˈɛ	0.176
ˈai̯	ˈi	0.133
ˈai̯	ˈiː	0.133
ˈaː	ˈɔː	0.361
ˈaː	ˈɪː	0.361
ˈaː	ˈɪ	0.194
ˈeː	ˈɛː	0.249
ˈeː	ˈa	0.23
ˈeː	ˈaː	0.137
ˈeː	ˈɛ	0.09
ˈeː	ˈɑːu̯	0.09
ˈi	ˈiː	0.617
ˈi	ˈɪ	0.135
ˈi	ˈɛ	0.089
ˈi	ˈɪː	0.06
ˈi	-	0.047
ˈiː	ˈɛːi̯	0.223
ˈiː	ˈiː	0.191
ˈiː	j	0.191
ˈiː	ˈɑːu̯	0.086
ˈiː	j_ˈuː	0.074
ˈuː	ˈœːy̯	0.304
ˈuː	ˈa	0.137
ˈuː	ˈɑːu̯	0.114
ˈuː	ˈɔ	0.104
ˈuː	ˈuː	0.077
ˈyː	ˈuː	0.344
ˈyː	ˈiː	0.152
ˈyː	ˈœːy̯	0.14
ˈyː	ˈaːu̯	0.097
ˈyː	ˈœy̯	0.08
ˈøː	ˈʏ	0.558
ˈøː	ˈiː	0.306
ˈøː	ˈʏː	0.08
ˈœ	ˈoːu̯	0.273
ˈœ	ˈa	0.273
ˈœ	ˈɪ	0.083
ˈœ	ˈɔu̯	0.064
ˈœ	ˈiː	0.064
ˈɒ	ˈɑu̯	0.243
ˈɒ	ˈoːu̯	0.14
ˈɒ	ˈɛi̯	0.14
ˈɒ	ˈa	0.096
ˈɒ	ˈɛ	0.096
ˈɒː	ˈaː	0.273
ˈɒː	ˈɛ	0.238
ˈɒː	ˈɔ	0.157
ˈɒː	ˈa	0.105
ˈɒː	ˈaːi̯	0.105
ˈɔ	ˈɔ	0.803
ˈɔ	ˈou̯	0.126
ˈɔ	ˈɪ	0.035
ˈɔi̯	ˈɛ	0.468
ˈɔu̯	ˈoːu̯	0.32
ˈɔu̯	ˈɔ	0.13
ˈɔu̯	ˈa	0.13
ˈɔu̯	ˈi	0.13
ˈɔu̯	ˈœː	0.059
ˈɔː	ˈɔu̯	0.214
ˈɔː	ˈœː	0.186
ˈɔː	ˈʏ	0.089
ˈɔː	ˈa	0.089
ˈɔː	ˈœ	0.087
ˈɛ	ˈaːi̯	0.561
ˈɛ	ˈi	0.28
ˈɛ	ˈɛ	0.095
ˈɛi̯	ˈɛː	0.292
ˈɛi̯	ˈai̯	0.193
ˈɛi̯	ˈɑːu̯	0.193
ˈɛi̯	ˈɔː	0.125
ˈɛi̯	ˈœ	0.125
ˈɛː	ˈɛː	0.262
ˈɛː	ˈœː	0.199
ˈɛː	ˈɛ	0.173
ˈɛː	ˈɑːu̯	0.173
ˈɛː	ˈœ	0.173
ˈʊ	ˈu	0.343
ˈʊ	ˈa	0.136
ˈʊ	ˈʏ_t	0.103
ˈʊ	ˈɪ	0.09
ˈʊ	ˈi	0.078
ˈʏ	ˈɪ	0.302
ˈʏ	ˈu	0.216
ˈʏ	ˈi	0.116
