Bokmål Norwegian	Bokmål Norwegian	probability
ˈʊ	-	1.0
ˈɑ_nː	ˈoː	1.0
ˈœʏ̯	ˈaː	1.0
ˈøː_#>	ˈuː_d̥_#>	1.0
ˈyː_ɾ	ˈaɪ̯_ɐ	1.0
ˈyː	ˈiː	1.0
ˈuː_#>	ˈuː_d̥_#>	1.0
ʋ_#>	b̥_#>	1.0
ʈː	ɐ_ʦ	1.0
ʂ	ʃ	1.0
ɾ_ˈœ	r	1.0
ɾ_ɡ	ɐ_ç	1.0
ɾ_ə	ɐ	1.0
ɳ	ɐ_n	1.0
ɡ_ə	ŋ	1.0
ɡ	ɡ̊	1.0
ə_ɾ	ɐ	1.0
ə_n	eː	1.0
ŋː	ŋ	1.0
ç	ɡ̊	1.0
tː_#>	ç_d̥_#>	1.0
tː	ʦ	1.0
t_j	t	1.0
sː	-	1.0
s_t	ʃ_d̥	1.0
s_k_#>	ʃ_#>	1.0
s_k	ʃ	1.0
pː	f	1.0
p_#>	f_#>	1.0
n_#>	#>	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
l_ʋ	l_f	1.0
l	l	1.0
kː_ə	ɡ̊_n	1.0
kʰ	ɡ̊	1.0
k_ˈɑ	ˈa	1.0
k_ə	n	1.0
i	-	1.0
h	h	1.0
f	f	1.0
b	b̥	1.0
<#_ɾ	<#_r	1.0
<#_n	<#_n	1.0
d	d̥	0.864
ˈɑ	ˈɒ	0.857
ˈɪ	ˈɪ	0.833
ˈoː	ˈoː	0.833
ˈœ	-	0.75
<#	<#_v	0.75
ˈʏ	ˈɪ	0.714
ˈæɪ̯	ˈaː	0.714
ʋ	v	0.696
ˈʉ	ˈʊ	0.667
ˈiː	ˈaɪ̯	0.667
lː	l	0.636
ˈʉː	ˈaʊ̯	0.6
ˈæː	ˈɛ	0.6
p	f	0.6
tʰ	d̥	0.588
s	s	0.581
ˈeː	-	0.556
nː	n	0.529
ˈɛ	ˈɛ	0.524
ɡː	ɡ̊_n	0.5
ɡː	ɡ̊	0.5
tː_ə	x_d̥	0.5
tː_ə	s	0.5
k	x	0.5
nː	n_d̥	0.471
ˈuː	ˈuː	0.467
ˈøː	-	0.455
ˈɔ	ˈʊ	0.444
ˈɑː	ˈoː	0.429
t	s	0.429
tʰ	ʦ	0.412
ˈæː	-	0.4
p	-	0.4
ɾ	ɐ	0.395
j	h	0.375
j	-	0.375
ɾ	r	0.368
lː	l_d̥	0.364
ˈʉ	ˈɔ	0.333
ˈɔ	ˈɒ	0.333
k	ç	0.333
s	ʃ	0.326
ə	a	0.319
ə	-	0.319
#>	n_#>	0.308
ˈʏ	ˈʊ	0.286
ˈɑː	ˈɒ	0.286
ˈɑː	-	0.286
ˈæɪ̯	ˈaː_x	0.286
t	z̥	0.286
t	d̥	0.286
ə	n	0.277
ˈøː	ˈuː	0.273
ˈøː	ˈaː	0.273
ˈʉː	-	0.267
ˈuː	ˈɔ	0.267
ˈuː	-	0.267
ˈœ	ˈiː	0.25
j	x	0.25
<#	<#_j	0.25
#>	ŋ_#>	0.231
ˈɔ	-	0.222
ˈeː	ˈɛ	0.222
ˈeː	ˈaː	0.222
ʋ	-	0.217
ˈiː	-	0.2
ˈɪ	ˈiː	0.167
ˈoː	ˈɒ	0.167
k	-	0.167
#>	s_#>	0.154
#>	f_#>	0.154
#>	b̥_#>	0.154
ˈɛ	ˈaː	0.143
ˈɛ	ˈaɪ̯	0.143
ˈɑ	ˈɔ	0.143
d	-	0.136
ˈʉː	ˈuː	0.133
ˈiː	ˈiː	0.133
ɾ	ɾ_ɐ	0.132
ɾ	-	0.105
ˈɛ	ˈɪ	0.095
ˈɛ	s	0.095
ʋ	v_ˈɪ	0.087
