Lengadocian	Lengadocian	probability
β_e	ẽ	1.0
ˈɛ_ʀ	ˈɛ_r	1.0
ˈɛ_n	ˈẽ_t	1.0
ˈɛ_l	ʧ	1.0
ˈu_n	ˈũ	1.0
ˈe_j	ˈɛ	1.0
ˈa_ŋ	ˈã	1.0
ˈa_t	ˈɑː_t	1.0
ˈa_j	ˈɑː_d	1.0
ˈa_#>	ˈa_#>	1.0
ʦ	s	1.0
ʎ_ɔ	a	1.0
ʎ	j	1.0
ʀ_t	r_t	1.0
ʀ	r	1.0
ɲ	ɲ	1.0
ɥ_ˈɔ	ˈøː	1.0
ɣ	ɡ	1.0
ɡ	ɡ	1.0
ɔ_#>	#>	1.0
ɔ	a	1.0
ŋ_k	k	1.0
z	-	1.0
y	y	1.0
w_ɾ	v_e	1.0
u_n	ũ	1.0
t_ɔ	t_a	1.0
s_e	s_e	1.0
p	p	1.0
nː	e_n	1.0
n_#>	t_#>	1.0
mː	m	1.0
m	m	1.0
lː	z	1.0
l_#>	l_#>	1.0
k_l	ʧ	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ˈɛ	ˈɛ	1.0
j_s	s	1.0
f	f	1.0
e_s	s	1.0
d	d	1.0
a_l	a_l	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʀ	<#_r	1.0
<#_t	<#_t	1.0
<#_s	<#_ʧ	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a_w	<#_u	1.0
s	s	0.951
n	n	0.941
ˈy	ˈyː	0.857
t	t	0.842
s_#>	#>	0.778
w_#>	f_#>	0.75
j	-	0.75
ð	d	0.7
ʧ	t	0.667
ɾ	r	0.639
β	v	0.615
ˈa_w	ˈoː	0.6
w	l	0.6
u	u	0.6
e_#>	r_#>	0.588
e	e	0.52
ˈɛ	ˈɛ	0.519
ˈɔ	ˈɔ	0.5
ˈe_#>	ˈɛ_#>	0.5
ˈe_#>	ˈẽ_#>	0.5
i	ĩ	0.5
i	i	0.5
b	v	0.5
b	b	0.5
ˈa	ˈɑː	0.451
e_#>	#>	0.412
l	l	0.407
l	j	0.407
ˈa_w	ˈɔ	0.4
w	-	0.4
ˈe	ˈeː	0.393
β	b	0.385
ˈi	ˈi	0.379
ʤ	ʒ	0.375
#>	r_#>	0.37
ˈa	ˈa	0.353
ʧ	ʧ	0.333
ɥ	ˈœ	0.333
ɥ	ˈøː	0.333
ɥ	-	0.333
ð	-	0.3
ˈu	ˈuː	0.286
ˈu	ˈu	0.286
ˈi	ˈiː	0.276
ˈɔ	ˈøː	0.25
ʤ	-	0.25
w_#>	#>	0.25
j	j	0.25
ɾ	e	0.222
s_#>	p_#>	0.222
ˈɔ	-	0.2
u	y	0.2
u	-	0.2
ˈa	ˈã	0.196
ʤ	ʤ	0.188
ʤ	d	0.188
ˈɛ	ˈeː	0.185
ˈɛ	-	0.185
ˈe	ˈɛ	0.179
ˈi	ˈĩ	0.172
t	-	0.158
#>	ʧ_#>	0.148
#>	a_#>	0.148
ˈy	-	0.143
ˈu	ˈũ	0.143
ˈe	ˈiː	0.143
ˈe	ˈe	0.143
ˈe	-	0.143
ɾ	-	0.139
e	i	0.12
e	-	0.12
ˈu	ˈyː	0.114
ˈɛ	ˈe	0.111
l	-	0.111
#>	ˈi_#>	0.111
ˈi	-	0.103
e	ˈɛ	0.08
e	ɛ	0.08
e	o	0.08
l	ʧ	0.074
#>	t_#>	0.074
#>	l_#>	0.074
#>	k_#>	0.074
ˈi	j_ˈøː	0.069
n	-	0.059
ˈu	ˈɔ	0.057
ˈu	ˈy	0.057
ˈu	-	0.057
