Limburgish	Eastphalian	probability
b	b	0.963
b	-	0.046
d	d	0.899
d	-	0.097
f	f	0.831
f	v	0.168
j	-	0.38
j	ə	0.188
j	j	0.151
j	l	0.132
j	ˈaʊ̯	0.087
k	k	0.807
k	-	0.145
k	ɣ	0.046
l	l	0.971
l	-	0.035
m	m	1.0
n	n	1.0
p	p	0.809
p	b	0.18
s	s	0.65
s	ʃ	0.253
s	z_ə	0.084
t	t	0.692
t	d	0.266
t	-	0.039
v	f	0.762
v	v	0.166
v	-	0.067
w	l	1.0
x	x	0.432
x	ç	0.211
x	ɣ	0.101
x	ç_t	0.088
x	j	0.076
z	z	0.753
z	s	0.237
ŋ	ŋ	0.938
ŋ	ç	0.062
ə	n	0.379
ə	ɐ	0.298
ə	-	0.282
ə	ɪ	0.033
ɡ	j	0.245
ɣ	ɣ	0.569
ɣ	j	0.249
ɣ	ŋ	0.07
ɣ	-	0.058
ɣ	ɡ	0.058
ɦ	h	0.983
ɦ	k	0.037
ɪ	ɪ	0.245
ɪː	ˈɪ	1.0
ʀ	r	0.4
ʀ	-	0.332
ʀ	ɐ	0.265
ʃ	ʃ	1.0
ʦ	ʃ	0.495
ˈaː	ˈa	0.346
ˈaː	ˈɒː	0.256
ˈaː	ˈɔ	0.103
ˈaː	-	0.068
ˈaː	ˈɛə̯	0.057
ˈeː	ˈɛɪ̯	0.27
ˈeː	ˈeː	0.257
ˈeː	ˈɪ	0.127
ˈeː	ˈɛː	0.124
ˈeː	ˈiː	0.092
ˈi	ˈɛɪ̯	0.516
ˈi	ˈɒː	0.153
ˈi	ˈeː	0.105
ˈi	ˈiː	0.074
ˈi	ˈɛ	0.061
ˈiː	ˈiː	0.783
ˈiː	ˈɛɪ̯	0.215
ˈoː	ˈaʊ̯	0.461
ˈoː	ˈʊ	0.151
ˈoː	ˈɔ	0.098
ˈoː	ˈoː	0.098
ˈoː	ˈuː	0.064
ˈu	ˈeo̯	0.838
ˈu	ˈøː	0.162
ˈuː	ˈuː	0.77
ˈuː	ˈeo̯	0.106
ˈuː	ˈʊ	0.1
ˈv	f	1.0
ˈyː	ˈyː	0.517
ˈyː	ˈɔʏ̯	0.21
ˈyː	ˈøː	0.12
ˈæ	ˈaː	0.297
ˈæ	ˈa	0.183
ˈæ	ˈœ	0.183
ˈæ	ˈɛ	0.183
ˈæː	ˈa	1.0
ˈøː	ˈɔʏ̯	0.614
ˈøː	ˈoː	0.163
ˈøː	ˈaʊ̯	0.111
ˈøː	ˈyː	0.082
ˈœ	ˈʏ	0.461
ˈœ	ˈɛ	0.461
ˈœ	ˈɔ	0.048
ˈœi̯	ˈuː	0.304
ˈœi̯	ˈiː	0.188
ˈœi̯	ˈøː	0.173
ˈœi̯	ˈʏ	0.173
ˈœː	ˈɔ	0.66
ˈœː	ˈoː	0.162
ˈɑ	ˈa	0.974
ˈɑ	ˈaː	0.04
ˈɑː	ˈa	0.796
ˈɑː	ˈɛː	0.202
ˈɒː	ˈɒː	0.738
ˈɒː	ˈaː	0.142
ˈɒː	ˈɛː	0.101
ˈɔ	ˈɔ	0.484
ˈɔ	ˈʊ	0.282
ˈɔ	ˈaʊ̯	0.146
ˈɔu̯	ˈeo̯	0.375
ˈɔu̯	ˈuː	0.092
ˈɔː	ˈeo̯	0.422
ˈɔː	ˈɔ	0.206
ˈɔː	ˈʊ	0.206
ˈɔː	ˈoː	0.127
ˈɛ	ˈɪ	0.496
ˈɛ	ˈœ	0.229
ˈɛ	ˈiː	0.098
ˈɛ	ˈɛ	0.098
ˈɛi̯	ˈɛɪ̯	1.0
ˈɛː	ˈɛɪ̯	0.561
ˈɛː	ˈɛ	0.242
ˈɛː	ˈɛː	0.098
ˈɛː	ˈɪ	0.055
ˈɛːi̯	ˈɛɪ̯	0.375
ˈɛːi̯	ˈiː	0.186
ˈɪ	ˈɪ	0.663
ˈɪ	ˈœ	0.138
ˈɪ	ˈɛ	0.138
ˈɪː	ˈɪ	0.879
ˈɪː	ˈʏ	0.106
ˈʊ	ˈʊ	1.0
ˈʊː	ˈʊ	0.36
ˈʊː	ˈaʊ̯	0.274
ˈʊː	ˈoː	0.203
ˈʊː	ˈeo̯	0.078
ˈʊː	ˈɔ	0.063
ˈʏ	ˈʏ	0.375
ˈʏ	ˈɪ	0.092
ˈʏː	ˈʏ	0.629
ˈʏː	w	0.361
β	v	0.875
β	w	0.117
