Limburgish	Eastphalian	probability
i	ɒː	1.0
m	m	1.0
t	t	1.0
w	l	1.0
ɪ	ɪ	1.0
ʃ	ʃ	1.0
ˈʊ	ˈʊ	1.0
d̥	-	0.071
x	j	0.11
ə	-	0.481
ˈaː	-	0.161
ˈi	ˈɛɪ̯	0.61
ˈiː	ˈiː	0.751
ˈu	ˈøː	0.121
ˈæ	ˈa	0.131
ˈœː	ˈɔ	0.891
ˈɔ	-	0.101
ˈʊː	ˈoː	0.231
z	s	0.222
ɣ	ɣ	0.52
ˈæː	ˈa	0.802
ˈøː	ˈyː	0.072
ˈøː	ˈoː	0.152
ˈœi̯	ˈøː	0.132
ˈɛ	ˈœ	0.062
ˈɛː	ˈeː	0.072
ˈɛː	ˈaɪ̯	0.092
ˈɪ	ˈœ	0.172
ˈɪː	ˈʏ	0.082
ˈʊː	ˈɒː	0.072
p	b	0.143
s	s	0.53
v	v	0.163
ŋ	ç	0.063
ˈaː	ˈeː	0.103
ˈeː	-	0.063
ˈoː	ˈœ	0.173
ˈoː	ˈʊ	0.263
ˈoː	ˈaʊ̯	0.323
ˈøː	ˈaʊ̯	0.213
ˈøː	ˈɔʏ̯	0.383
ˈɒː	ˈɒː	0.963
ˈɔ	ˈɔ	0.313
ˈɔː	ˈoː	0.293
ˈɛːi̯	ˈiː	0.343
ˈʊː	ˈœ	0.063
ˈʊː	ˈɔ	0.073
ˈʊː	ˈʊ	0.353
ˈʏː	w	0.093
f	f	0.904
ʀ	ɐ	0.574
ˈeː	ˈɛ	0.054
ˈeː	ˈɪ	0.104
ˈeː	ˈɛː	0.174
ˈi	ˈoː	0.094
ˈyː	ˈyː	0.784
ˈæ	ˈœ	0.134
ˈœ	ˈʏ	0.684
ˈœi̯	ˈʏ	0.284
ˈɑː	ˈɛː	0.104
ˈɛ	ˈiː	0.144
ˈɛː	ˈɛɪ̯	0.524
d	-	0.155
d	d	0.845
j	j	0.125
j	ə	0.15
l	l	0.995
n	n	0.985
s	ʃ	0.285
v̥	f	0.65
x	k	0.175
ɡ	j	0.5
ɡ	ɡ	0.5
ɣ	j	0.255
ɦ	k	0.05
ɦ	h	0.95
ʀ	r	0.405
ˈaː	ˈɔ	0.15
ˈoː	ˈoː	0.075
ˈɔ	ˈʊ	0.425
ˈɔu̯	ˈeo̯	0.265
ˈɔu̯	ˈuː	0.735
ˈɔː	ˈeo̯	0.515
ˈɛː	ˈɪ	0.105
ˈʊː	-	0.055
ˈʏ	ˈʏ	0.5
ˈʏ	ˈɪ	0.5
β	w	0.145
b	b	0.956
f	v	0.096
j	ˈɔʏ̯	0.06
x	ɣ	0.06
ˈuː	ˈeo̯	0.166
ˈæ	ˈaː	0.456
ˈœi̯	ˈuː	0.376
ˈɑː	ˈa	0.896
ˈɔ	ˈaʊ̯	0.16
ˈɔː	ˈʊ	0.096
ˈɔː	ˈɔ	0.096
ˈɛː	ˈɛ	0.16
d̥	t	0.277
j	-	0.447
p	p	0.857
v̥	l_f	0.27
x	ç	0.357
ŋ	ŋ	0.937
ə	n	0.467
ˈaː	ˈa	0.387
ˈoː	ˈuː	0.067
ˈyː	ˈɔʏ̯	0.187
ˈœ	ˈɛ	0.247
ˈɛ	ˈɛ	0.167
ˈɛːi̯	ˈɛɪ̯	0.657
ˈʏː	ˈʏ	0.907
d̥	d	0.608
j	l	0.138
s	-	0.078
s	z	0.108
v	f	0.808
v̥	v	0.08
x	x	0.298
z	z	0.778
ɣ	ŋ	0.118
ˈeː	ˈiː	0.108
ˈeː	ˈeː	0.138
ˈeː	ˈɛɪ̯	0.358
ˈi	ˈɒː	0.098
ˈœi̯	ˈiː	0.208
ˈɑ	ˈa	0.878
ˈɛ	ˈɪ	0.628
ˈɪː	ˈɪ	0.918
β	v	0.828
k	k	0.889
ɣ	-	0.089
ˈaː	ˈɒː	0.119
ˈi	ˈeː	0.059
ˈi	ˈɪ	0.089
ˈiː	ˈɛɪ̯	0.249
ˈoː	ˈɔ	0.099
ˈu	ˈeo̯	0.879
ˈuː	ˈuː	0.789
ˈæ	r	0.229
ˈæː	ˈɛ	0.099
ˈæː	ˈʏ	0.099
ˈøː	ˈøː	0.179
ˈœ	ˈɔ	0.069
ˈœː	ˈoː	0.109
ˈɑ	ˈɔ	0.09
ˈɪ	ˈɛ	0.299
ˈɪ	ˈɪ	0.529
ˈʊː	ˈaʊ̯	0.09
