Western Lombard	Western Lombard	probability
ˈɛ_r	ˈɛ_rː	1.0
ˈœ	k_ʊ	1.0
ˈøː_f	w	1.0
ˈøː	ˈɔ	1.0
ˈỹ	ˈuː	1.0
ˈy	-	1.0
ˈoː	ˈau̯	1.0
ˈo	ˈɔ_m	1.0
ˈĩ	ˈiː_n	1.0
ˈa_s	ˈa_sː	1.0
ɡ_w	kʷ	1.0
ɛ	-	1.0
w	kʷ	1.0
s_t	s_t	1.0
r_ˈɑː	r_ˈaː	1.0
r_t	r_t	1.0
r_n	r_n	1.0
r_m	r_m	1.0
p_#>	p_ʊ̃ː_#>	1.0
p	p	1.0
o	-	1.0
k_ˈa	k_ˈa	1.0
k_r	k_r	1.0
k_#>	k_ʊ̃ː_#>	1.0
j_ˈøː	ˈiː_lʲ	1.0
ẽ	w_ɛ	1.0
d_e	t_r	1.0
b	b	1.0
ã	a	1.0
a_r	a_r	1.0
<#_ˈa	<#_ˈa	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
<#_k	<#_k	1.0
<#_d	<#_d	1.0
m	m	0.967
f	f	0.889
n	n	0.864
ˈiː	ˈiː	0.75
a	ãː	0.723
ˈyː	ˈuː	0.722
i	ɪ	0.714
ˈɔ	ˈɔ	0.684
v	w	0.679
ˈẽ	ˈɛ_n	0.667
ʤ	ɡ	0.667
ĩ	-	0.667
ˈɛ	ˈɛ	0.647
<#	<#_h	0.6
r	r	0.583
j	ɫ	0.562
ˈɑː	ˈa	0.556
ɡ	ɡ	0.529
t	t	0.516
l	ɫ	0.511
ˈũ	ˈɔ_n	0.5
y	ʊ	0.5
y	-	0.5
ˈuː	ˈʊ	0.462
ˈi	ˈiː_r	0.462
ˈɑː	ˈaː	0.444
ˈe	ˈɛ	0.444
#>	ʊ̃ː_#>	0.444
ˈu	ˈʊ	0.429
ʒ	j	0.429
z	s	0.429
u	ɔ	0.429
ˈa	ˈaː_r	0.423
ˈa	ˈa	0.423
d	t	0.421
d	d	0.421
k	k	0.412
ˈeː	ˈɪ	0.4
e	ɛ	0.4
<#	<#_ˈɔ	0.4
ˈã	ˈa_n	0.364
ɡ	k	0.353
ˈẽ	n	0.333
ˈe	ˈɪ	0.333
ʤ	-	0.333
ɲ	n_i	0.333
ĩ	ĩː	0.333
l	lʲː	0.311
ˈuː	ˈoː	0.308
s	s	0.297
ˈu	ˈɔ	0.286
ʧ	k	0.286
ʒ	ɡ	0.286
ʒ	-	0.286
z	ɛ	0.286
z	-	0.286
i	eː	0.286
ˈã	ˈaː_n	0.273
ˈeː	ˈɛ	0.267
ˈeː	ˈeː	0.267
ˈũ	ˈʊ_ŋ	0.25
ˈũ	ˈoː_n	0.25
ˈiː	-	0.25
s	k_ɛ̃ː	0.243
e	ɪ	0.24
k	kː	0.235
ˈuː	-	0.231
ɲ	ŋ_n	0.222
ɲ	n_e	0.222
ɲ	n	0.222
#>	ɛ_#>	0.215
u	ʊ	0.214
u	-	0.214
ˈɔ	-	0.211
t	k_t	0.194
a	a	0.193
j	lʲ_i	0.188
#>	ɛ̃ː_#>	0.185
ˈã	ˈa_ŋ	0.182
ˈã	ˈa	0.182
k	ŋ	0.176
k	kʷ	0.176
ˈyː	ˈoː	0.167
r	r_ɛ̃ː	0.167
e	-	0.16
ˈi	ˈuː	0.154
ˈi	ˈiː	0.154
ˈi	ˈeː	0.154
ˈa	ˈaː	0.154
r	r_ʊ̃ː	0.146
ˈu	ˈoː	0.143
ˈu	-	0.143
ʧ	ɫ_ʊ̃ː	0.143
v	p	0.143
u	ɪ	0.143
n	-	0.136
j	ʊ_ɫ	0.125
j	i	0.125
e	eː	0.12
ˈɛ	ˈɪ	0.118
ˈɛ	ˈeː	0.118
ɡ	k_s	0.118
ˈyː	-	0.111
ˈe	ˈe	0.111
ˈe	ˈae̯	0.111
f	w_ɛ̃ː	0.111
s	t_i	0.108
s	sː	0.108
v	b	0.107
ˈɔ	ˈa	0.105
d	-	0.105
t	tː	0.097
ʧ	ɡ_ɛ	0.095
ʧ	ɡ	0.095
ʧ	t	0.095
ʧ	kʷ	0.095
ʧ	k_ɫ	0.095
ʧ	k_t	0.095
s	s_k	0.081
e	r	0.08
ˈi	ˈĩː	0.077
v	p_ɛ	0.071
ˈeː	ˈoe̯	0.067
l	ɫ_ɛ̃ː	0.067
l	lʲ	0.067
t	n_t	0.065
t	d_ʊ̃ː	0.065
t	d_ɛ̃ː	0.065
r	ʊ̃ː	0.062
a	aː	0.06
ˈɛ	ˈeː_r	0.059
ˈɛ	r	0.059
s	t_e	0.054
s	t	0.054
s	k	0.054
d	tʰ	0.053
