French	Piedmontese	probability
ɲ	ɲ	1.0
ʃ	k	1.0
d	n	0.081
f	v	0.151
i	e	0.161
j	ˈi	0.071
n	n	0.51
p	p	0.851
w	ˈɔ	0.1
ø	ˈø	0.501
œ	-	0.051
œ	ˈø	0.491
ɑ̃	n	0.061
ɑ̃	a	0.061
ɑ̃	ŋ	0.081
ɔ̃	m	0.091
a	a	0.342
i	-	0.22
i	ˈi	0.422
j	-	0.352
m	m	0.932
s	-	0.092
u	ˈi	0.092
w	ˈi	0.072
w	ˈe	0.282
z	s	0.152
ɑ̃	ə	0.092
ɔ	ˈø	0.062
ə	-	0.092
ə	a	0.132
ə	e	0.292
ɛ	ˈi	0.052
a	ˈa	0.223
e	ˈe	0.513
j	ˈɛ	0.053
l	j	0.163
o	ˈa	0.133
ø	ˈɔ	0.083
ɔ	ˈɔ	0.703
ɛ̃	ŋ	0.083
ɡ	ɡ	0.903
ɥ	u	0.123
ʁ	r	0.773
b	b	0.964
d	d	0.854
e	-	0.204
l	-	0.064
n	ŋ	0.334
o	ˈɔ	0.274
o	ˈɛ	0.384
s	ʧ	0.054
t	s_t	0.274
ɔ	u	0.224
ɔ̃	ˈu	0.524
ɛ̃	ˈa	0.234
ɛ̃	ˈi	0.294
ʒ	-	0.054
ʒ	d	0.14
ʒ	ʤ	0.724
d	-	0.065
j	j	0.525
l	l	0.755
u	ˈy	0.155
w	ˈɛ	0.245
ø	j	0.095
ø	w	0.155
s	s	0.816
u	u	0.156
u	ˈu	0.456
v	v	0.966
w	ˈu	0.16
z	z	0.806
ø	-	0.136
œ	ˈu	0.346
ə	ˈe	0.196
ɛ	ˈa	0.386
ʁ	-	0.196
a	-	0.187
i	ˈe	0.057
k	s_k	0.137
k	k	0.837
p	s_p	0.127
t	t	0.497
y	ˈi	0.097
y	ˈy	0.877
œ	ˈɔ	0.07
ɔ̃	u	0.177
ɛ	ˈe	0.137
ɡ	ʤ	0.097
e	ˈa	0.228
m	-	0.068
o	w	0.208
u	ˈɔ	0.098
ɑ̃	ˈɛ_ŋ	0.368
ɔ̃	ŋ	0.088
ə	ˈi	0.288
ɛ	ˈɛ	0.218
ɥ	ˈy	0.28
a	j	0.179
f	f	0.849
n	-	0.059
t	s	0.229
w	-	0.099
ɑ̃	ˈa	0.339
ɔ̃	-	0.119
ɛ̃	n	0.079
ɛ̃	ɲ	0.299
ɥ	ˈu	0.119
ɥ	-	0.119
ɥ	ˈø	0.359
